,what,is,most,of,warsaw,'s,modern,growth,based,on,?
most,0.3219912350177765,0.41165053844451904,1.0,0.4178851246833801,0.06817606836557388,0.024445664137601852,0.3127482533454895,0.23817776143550873,0.24925106763839722,0.28303956985473633,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.4178851246833801,1.0,0.19253842532634735,-0.03817026689648628,0.3482828736305237,0.2679378092288971,0.3033197224140167,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.47635307908058167,0.733189046382904,0.23137180507183075,-0.01540423184633255,0.3283970355987549,0.2912366986274719,0.29860720038414,0.5107308030128479,0.22068053483963013
modern,0.2655639946460724,0.24170172214508057,0.3127482533454895,0.3482828736305237,0.10366358608007431,0.03816800191998482,0.9999999403953552,0.16222387552261353,0.24341998994350433,0.17548997700214386,0.12475407868623734
day,0.2990210950374603,0.17517195641994476,0.22797398269176483,0.2934032380580902,0.09991520643234253,0.03448042273521423,0.3104002773761749,0.11422831565141678,0.1240115836262703,0.3332281708717346,0.2141837179660797
population,0.2000674307346344,0.2727566361427307,0.21684317290782928,0.3060894012451172,0.1863958090543747,0.012951160781085491,0.19619593024253845,0.4132501482963562,0.15165822207927704,0.14850834012031555,0.14449454843997955
growth,0.1739405393600464,0.2256266176700592,0.23817776143550873,0.2679378092288971,0.19353468716144562,-0.008487226441502571,0.16222387552261353,1.0000001192092896,0.1813904345035553,0.11376523971557617,0.07547862827777863
is,0.28837618231773376,1.0,0.41165053844451904,0.4854315221309662,0.09741193056106567,0.02396530658006668,0.24170172214508057,0.2256266176700592,0.3248139023780823,0.3635730445384979,0.22961433231830597
based,0.274813175201416,0.3248139023780823,0.24925106763839722,0.3033197224140167,0.09495636075735092,0.06600074470043182,0.24341998994350433,0.1813904345035553,1.0000001192092896,0.36055147647857666,0.134929820895195
on,0.34226128458976746,0.3635730445384979,0.28303956985473633,0.3966929316520691,0.19170401990413666,0.0026888418942689896,0.17548997700214386,0.11376523971557617,0.36055147647857666,0.9999999403953552,0.2714994251728058
internal,0.2065390944480896,0.14705020189285278,0.18528670072555542,0.273920476436615,0.1916346400976181,-0.05071868747472763,0.20479106903076172,0.20192080736160278,0.16042162477970123,0.1702718287706375,0.1665428727865219
migration,0.24132461845874786,0.1879594326019287,0.22012124955654144,0.27637460827827454,0.15375766158103943,0.005929221399128437,0.18161728978157043,0.35719791054725647,0.1431688517332077,0.2174849659204483,0.1366364061832428
and,0.31309178471565247,0.3859752118587494,0.4309377074241638,0.5116966962814331,0.2083624005317688,0.06895173341035843,0.3277876079082489,0.2731747627258301,0.2660958170890808,0.4077630043029785,0.20544172823429108
urbanisation,0.24274297058582306,0.2909526526927948,0.2739708721637726,0.3417915105819702,0.22556143999099731,0.056929729878902435,0.29567790031433105,0.3645756244659424,0.2666100859642029,0.2401336282491684,0.1930549293756485
.,0.3567904531955719,0.4569662809371948,0.35404038429260254,0.5352458953857422,0.26825499534606934,-0.003708066651597619,0.22790057957172394,0.2825547754764557,0.29699069261550903,0.49257001280784607,0.4130953550338745
