,what,are,the,three,primary,expressions,used,to,represent,case,complexity,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.25688621401786804,0.25529181957244873,0.3718377649784088,0.535392165184021,0.3288072943687439,0.31022098660469055,0.21171598136425018,0.22068053483963013
best,0.3036847710609436,0.20069833099842072,0.3134109377861023,0.2050526887178421,0.18347783386707306,0.16753268241882324,0.17320029437541962,0.21715646982192993,0.1131320372223854,0.17166443169116974,0.22558753192424774,0.2799045741558075
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.2565748989582062,0.2617310881614685,0.3120402991771698,0.44245919585227966,0.26053929328918457,0.2977246046066284,0.27822354435920715,0.31091248989105225
worst,0.2650845944881439,0.1279674470424652,0.21166902780532837,0.14484070241451263,0.1086653470993042,0.10245425999164581,0.13345447182655334,0.14048011600971222,0.0554809495806694,0.26580122113227844,0.21248532831668854,0.21551604568958282
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.2539214491844177,0.30066296458244324,0.3150506615638733,0.48971283435821533,0.2796897888183594,0.2394348531961441,0.2520415782928467,0.20544172823429108
average,0.24068789184093475,0.25111138820648193,0.27058175206184387,0.2407672107219696,0.16419252753257751,0.16010403633117676,0.13365626335144043,0.2572915256023407,0.14681479334831238,0.1706133931875229,0.29495373368263245,0.21764592826366425
case,0.30770957469940186,0.26273006200790405,0.31022098660469055,0.14444349706172943,0.18000704050064087,0.2913827896118164,0.26815250515937805,0.3172709345817566,0.21884211897850037,1.0000001192092896,0.33170047402381897,0.33232852816581726
complexity,0.33747240900993347,0.27680158615112305,0.21171598136425018,0.20467406511306763,0.1772792488336563,0.4038257300853729,0.2618294954299927,0.28336837887763977,0.24635639786720276,0.33170047402381897,1.0,0.23062916100025177
refer,0.17466352880001068,0.28655025362968445,0.22268381714820862,0.06699841469526291,0.16549274325370789,0.26166683435440063,0.45630067586898804,0.24100381135940552,0.3504529595375061,0.11384499818086624,0.22194083034992218,0.12567369639873505
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.3043823838233948,0.27388349175453186,0.28926175832748413,0.40058770775794983,1.0,0.2675820589065552,0.3172709345817566,0.28336837887763977,0.29463258385658264
