,what,is,the,upper,range,of,annual,fees,for,non-boarding,students,in,british,public,schools,?
fees,0.19752082228660583,0.12863782048225403,0.22297759354114532,0.17031362652778625,0.16257800161838531,0.15170428156852722,0.26903289556503296,1.0000001192092896,0.2745085060596466,0.3597820997238159,0.43046268820762634,0.17004510760307312,0.18867649137973785,0.40761372447013855,0.38298195600509644,0.18385712802410126
range,0.19613829255104065,0.2467041313648224,0.2311336100101471,0.1732248067855835,1.0,0.234999418258667,0.16220185160636902,0.16257800161838531,0.2565288841724396,0.17751741409301758,0.20144768059253693,0.2084861844778061,0.17729903757572174,0.12676987051963806,0.181489035487175,0.1204894632101059
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.21286499500274658,0.2519944906234741,0.4249346852302551,0.18915630877017975,0.11800471693277359,0.314039945602417,0.1800844818353653,0.20272988080978394,0.4274188280105591,0.21991202235221863,0.22383596003055573,0.1357884258031845,0.19969791173934937
under,0.20154598355293274,0.21294879913330078,0.3348022699356079,0.15263262391090393,0.10921667516231537,0.32766106724739075,0.05884701386094093,0.16777710616588593,0.2930702269077301,0.17580866813659668,0.14875805377960205,0.2535393238067627,0.14973320066928864,0.23320595920085907,0.13950802385807037,0.18233340978622437
"£3,000",0.06787791103124619,0.07411292940378189,0.10496972501277924,-0.015554800629615784,-0.10659132897853851,0.15121616423130035,-0.07776955515146255,-0.07172301411628723,0.07730253040790558,-0.09414421766996384,-0.04368145391345024,-0.023159507662057877,0.05021987482905388,-0.009082798846065998,-0.0643194168806076,0.01710655726492405
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.21445727348327637,0.2767433524131775,0.41548454761505127,0.2023409903049469,0.27193203568458557,0.4451248347759247,0.288992702960968,0.2905822694301605,0.45010748505592346,0.22690963745117188,0.2672370672225952,0.2362271547317505,0.29463258385658264
"£21,000",-0.08237423002719879,0.12018995732069016,0.08366702497005463,0.05076538398861885,0.08164334297180176,0.07208897918462753,0.10356389731168747,0.07935293763875961,0.06338903307914734,0.15296663343906403,0.14624498784542084,0.09156107157468796,0.15653814375400543,0.15096217393875122,0.13096393644809723,0.021137582138180733
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2172592729330063,0.27470090985298157,0.5116966962814331,0.20847271382808685,0.23771890997886658,0.5064792633056641,0.36728882789611816,0.28111961483955383,0.4954058527946472,0.325880765914917,0.3227643668651581,0.29319998621940613,0.20544172823429108
above,0.32341626286506653,0.3090769648551941,0.33988961577415466,0.30232366919517517,0.2899680435657501,0.24890293180942535,0.17658337950706482,0.17251546680927277,0.23925727605819702,0.20103001594543457,0.12109018862247467,0.22744394838809967,0.10186371207237244,0.1559964269399643,0.12462137639522552,0.2521739900112152
per,0.21384303271770477,0.22395510971546173,0.21691934764385223,0.1207168772816658,0.17611050605773926,0.17468707263469696,0.25775980949401855,0.27540794014930725,0.22882020473480225,0.21058566868305206,0.13741245865821838,0.1975519210100174,0.06905875355005264,0.1564653515815735,0.13300858438014984,0.22323818504810333
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.09775688499212265,0.1844051629304886,0.2578314542770386,0.37299844622612,0.2849954664707184,0.29294124245643616,0.22972583770751953,0.22642718255519867,0.3359307050704956,0.16501371562480927,0.1742739975452423,0.1730971336364746,0.18315006792545319
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.12166716158390045,0.2565288841724396,0.4185989499092102,0.28860941529273987,0.2745085060596466,0.9999999403953552,0.32375746965408325,0.2460945099592209,0.4322226941585541,0.1970057189464569,0.3092794418334961,0.2320515662431717,0.264628142118454
day,0.2990210950374603,0.17517195641994476,0.3062323033809662,0.07174897938966751,0.11261355131864548,0.2934032380580902,0.27682098746299744,0.1958077847957611,0.23720888793468475,0.1659323126077652,0.22155366837978363,0.2671984136104584,0.1301315277814865,0.1604219377040863,0.13669390976428986,0.2141837179660797
