,rather,than,the,fuel,",",what,is,oxygen,to,a,fire,?
oxygen,0.2150929570198059,0.25305241346359253,0.20428593456745148,0.4038860499858856,0.21812842786312103,0.16781960427761078,0.21825239062309265,0.9999999403953552,0.24193501472473145,0.21662019193172455,0.2802748680114746,0.16786395013332367
is,0.2886356711387634,0.2839990258216858,0.5823672413825989,0.1733948439359665,0.4691906273365021,0.28837618231773376,1.0,0.21825239062309265,0.42745086550712585,0.658733606338501,0.20205499231815338,0.22961433231830597
the,0.31983619928359985,0.3227543234825134,1.0,0.18534968793392181,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.20428593456745148,0.535392165184021,0.5829201340675354,0.2911929488182068,0.22068053483963013
oxidant,0.21353039145469666,0.18966342508792877,0.11597110331058502,0.3699948191642761,0.196798637509346,0.18022389709949493,0.2354770302772522,0.5967409014701843,0.14381618797779083,0.17918261885643005,0.2169567346572876,0.1495976597070694
",",0.276650071144104,0.3371901512145996,0.4933079481124878,0.19458916783332825,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.21812842786312103,0.44245919585227966,0.427140474319458,0.24915234744548798,0.31091248989105225
not,0.4821464419364929,0.3858577013015747,0.4310511648654938,0.221099391579628,0.3769696354866028,0.5449194312095642,0.3776007890701294,0.2703026235103607,0.5149973034858704,0.3791346549987793,0.16487717628479004,0.41942933201789856
the,0.31983619928359985,0.3227543234825134,1.0,0.18534968793392181,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.20428593456745148,0.535392165184021,0.5829201340675354,0.2911929488182068,0.22068053483963013
fuel,0.20392221212387085,0.2662421464920044,0.18534968793392181,0.9999999403953552,0.19458916783332825,0.1848171502351761,0.1733948439359665,0.4038860499858856,0.20716820657253265,0.199651837348938,0.28269287943840027,0.10583324730396271
",",0.276650071144104,0.3371901512145996,0.4933079481124878,0.19458916783332825,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.21812842786312103,0.44245919585227966,0.427140474319458,0.24915234744548798,0.31091248989105225
but,0.528715193271637,0.5279248356819153,0.4859698414802551,0.21947205066680908,0.48126736283302307,0.5029441118240356,0.4106791317462921,0.262522429227829,0.5542377829551697,0.44750767946243286,0.20752230286598206,0.27921953797340393
nevertheless,0.38358554244041443,0.2706332504749298,0.29583513736724854,0.14588849246501923,0.21394267678260803,0.3331672251224518,0.21570613980293274,0.11140132695436478,0.31655287742614746,0.25812849402427673,0.11396527290344238,0.12207362055778503
the,0.31983619928359985,0.3227543234825134,1.0,0.18534968793392181,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.20428593456745148,0.535392165184021,0.5829201340675354,0.2911929488182068,0.22068053483963013
source,0.22992642223834991,0.18204517662525177,0.30258262157440186,0.2415904551744461,0.2657822072505951,0.2553733289241791,0.2948454022407532,0.18365855515003204,0.2501981854438782,0.18778453767299652,0.14725971221923828,0.2462312877178192
of,0.3045461177825928,0.33036211133003235,0.733189046382904,0.18857792019844055,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.16848602890968323,0.41548454761505127,0.5052502155303955,0.20259131491184235,0.1826142966747284
most,0.33057838678359985,0.42108985781669617,0.47635307908058167,0.16912871599197388,0.3636029064655304,0.3219912350177765,0.41165053844451904,0.21728017926216125,0.321603000164032,0.3508910834789276,0.1695970743894577,0.2107497900724411
of,0.3045461177825928,0.33036211133003235,0.733189046382904,0.18857792019844055,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.16848602890968323,0.41548454761505127,0.5052502155303955,0.20259131491184235,0.1826142966747284
the,0.31983619928359985,0.3227543234825134,1.0,0.18534968793392181,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.20428593456745148,0.535392165184021,0.5829201340675354,0.2911929488182068,0.22068053483963013
chemical,0.1666405349969864,0.1426687389612198,0.18641819059848785,0.34517359733581543,0.20593619346618652,0.26249468326568604,0.2387559562921524,0.46001601219177246,0.19030416011810303,0.24089328944683075,0.1683976948261261,0.2040288895368576
energy,0.22569258511066437,0.2246422916650772,0.26756542921066284,0.4932292401790619,0.21156731247901917,0.190252885222435,0.2171693742275238,0.4261608421802521,0.27179354429244995,0.21513298153877258,0.18769775331020355,0.14860127866268158
released,0.1751421093940735,0.18425039947032928,0.24578391015529633,0.15337412059307098,0.2775750756263733,0.20228935778141022,0.21587204933166504,0.17016007006168365,0.21765387058258057,0.23456448316574097,0.18919892609119415,0.20329579710960388
in,0.26646825671195984,0.3270052373409271,0.6662389636039734,0.17527905106544495,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.1672476977109909,0.45010748505592346,0.539380669593811,0.2514701783657074,0.20430970191955566
combustion,0.22989752888679504,0.2349906861782074,0.2447446882724762,0.6050742268562317,0.2079315334558487,0.2678600549697876,0.27011600136756897,0.4784593880176544,0.21775685250759125,0.3238258957862854,0.2860585153102875,0.2177530825138092
.,0.3084547221660614,0.3594527542591095,0.5934505462646484,0.17959722876548767,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.2554275095462799,0.4645031690597534,0.50484299659729,0.2511917054653168,0.4130953550338745
