,what,type,of,microscope,is,used,by,petrologists,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.18032634258270264,0.5394441485404968,0.3090210556983948,0.370934396982193,0.2137315720319748,0.20430970191955566
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.20328226685523987,0.4654068350791931,0.25728896260261536,0.2719563841819763,0.21739022433757782,0.19793890416622162
optical,0.22512708604335785,0.1848996877670288,0.22943036258220673,0.517842173576355,0.19399869441986084,0.28359994292259216,0.19709117710590363,0.21053728461265564,0.1144736036658287
mineralogy,0.23280811309814453,0.12008851021528244,0.2883201241493225,0.38655588030815125,0.2585245668888092,0.21577118337154388,0.11676476895809174,0.3771355152130127,0.2055518925189972
analysis,0.2842639982700348,0.1811133772134781,0.24679350852966309,0.37477245926856995,0.23970499634742737,0.2083756923675537,0.17521482706069946,0.3217929005622864,0.15352053940296173
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
thin,0.20593488216400146,0.332596093416214,0.2089119255542755,0.39735352993011475,0.2730252742767334,0.28535720705986023,0.20034094154834747,0.17345944046974182,0.18669506907463074
sections,0.29098522663116455,0.22349490225315094,0.20906880497932434,0.2125684767961502,0.1958819478750229,0.22539405524730682,0.1566195785999298,0.20209212601184845,0.2495482712984085
of,0.33290785551071167,0.18112817406654358,1.0,0.20974206924438477,0.4854315221309662,0.3075267970561981,0.3646814823150635,0.2154196947813034,0.1826142966747284
rock,0.1923677921295166,0.18739546835422516,0.2653365731239319,0.1485467106103897,0.1981455236673355,0.18291133642196655,0.20411992073059082,0.2001747339963913,0.13172835111618042
samples,0.23286624252796173,0.20548096299171448,0.19450756907463074,0.32803574204444885,0.22968509793281555,0.21863846480846405,0.32231226563453674,0.23677071928977966,0.1777840405702591
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.22724616527557373,0.5330929756164551,0.3322218656539917,0.37842893600463867,0.34169429540634155,0.24591213464736938
analyzed,0.2656330168247223,0.22048434615135193,0.21299321949481964,0.3431614935398102,0.20961660146713257,0.34904366731643677,0.3277846872806549,0.3232644498348236,0.17981493473052979
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.2634051740169525,0.27805060148239136,0.20277023315429688,0.3433202803134918,0.15350961685180664,0.16913433372974396
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22386546432971954,0.658733606338501,0.3864384889602661,0.32094135880470276,0.22755464911460876,0.23916715383529663
petrographic,0.15395814180374146,0.1481642723083496,0.3276790976524353,0.33793750405311584,0.20599012076854706,0.2732703685760498,0.2422051876783371,0.436787873506546,0.1389790177345276
microscope,0.25449398159980774,0.20455022156238556,0.20974206924438477,1.0,0.17549996078014374,0.2687111496925354,0.18252061307430267,0.30670639872550964,0.1694040596485138
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
where,0.4457937180995941,0.2292499989271164,0.38066378235816956,0.20768651366233826,0.3586711287498474,0.31140151619911194,0.2641284465789795,0.21158987283706665,0.24793872237205505
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23423968255519867,0.5823672413825989,0.3718377649784088,0.4408751428127289,0.2966664731502533,0.22068053483963013
minerals,0.24195240437984467,0.1691332757472992,0.2877640724182129,0.3272898495197296,0.2842824459075928,0.27327004075050354,0.1610909253358841,0.41237789392471313,0.19654792547225952
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.3249408006668091,0.44256699085235596,0.48128408193588257,0.29642900824546814,0.29045093059539795,0.3226337134838104
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.26402828097343445,0.4819129705429077,0.3731876611709595,0.43158695101737976,0.28446927666664124,0.3324260413646698
identified,0.16489295661449432,0.18679288029670715,0.30219629406929016,0.2214718461036682,0.23267489671707153,0.3027721643447876,0.2985071539878845,0.31201857328414917,0.18080152571201324
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.2634051740169525,0.27805060148239136,0.20277023315429688,0.3433202803134918,0.15350961685180664,0.16913433372974396
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.2068420648574829,0.2101074606180191,0.3259406089782715,0.3242124021053314,0.23489941656589508,0.1898253709077835
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.27424192428588867,0.24624870717525482,0.4402783513069153,0.2739490568637848,0.33605557680130005,0.24476227164268494
properties,0.23360128700733185,0.27833178639411926,0.2832101881504059,0.28394192457199097,0.22585535049438477,0.29135963320732117,0.2039947509765625,0.28443029522895813,0.12601029872894287
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.18032634258270264,0.5394441485404968,0.3090210556983948,0.370934396982193,0.2137315720319748,0.20430970191955566
plane-polarized,0.26433366537094116,0.2591325342655182,0.2824239730834961,0.4614170789718628,0.272533655166626,0.3513089716434479,0.28512731194496155,0.28156620264053345,0.12806320190429688
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.15801039338111877,0.3859752118587494,0.3150506615638733,0.4289871156215668,0.19473004341125488,0.20544172823429108
cross-polarized,0.2738150358200073,0.2873266935348511,0.2798210084438324,0.4557068347930908,0.2766220271587372,0.34323957562446594,0.3317953944206238,0.25596731901168823,0.12713730335235596
light,0.22953972220420837,0.21801303327083588,0.18257063627243042,0.3742603361606598,0.2457275241613388,0.27522099018096924,0.16924326121807098,0.1249128207564354,0.17429810762405396
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
including,0.18328791856765747,0.12051080167293549,0.44195112586021423,0.11047987639904022,0.25093933939933777,0.2749961316585541,0.30155983567237854,0.18308953940868378,0.1633303165435791
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.2068420648574829,0.2101074606180191,0.3259406089782715,0.3242124021053314,0.23489941656589508,0.1898253709077835
birefringence,0.29470735788345337,0.18937352299690247,0.28883475065231323,0.34709522128105164,0.24144871532917023,0.3239286243915558,0.1053847223520279,0.2927200198173523,0.27652695775032043
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
pleochroism,0.29948359727859497,0.24809344112873077,0.29516610503196716,0.3892480432987213,0.22229230403900146,0.27186110615730286,0.16198398172855377,0.34366488456726074,0.2662431299686432
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
twinning,0.13348537683486938,0.08408630639314651,0.29623210430145264,0.18145759403705597,0.24105966091156006,0.21126814186573029,0.15401501953601837,0.196411594748497,0.13377229869365692
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20143339037895203,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.2381996214389801,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.15801039338111877,0.3859752118587494,0.3150506615638733,0.4289871156215668,0.19473004341125488,0.20544172823429108
interference,0.28147435188293457,0.1982327252626419,0.22058822214603424,0.31766679883003235,0.1635204702615738,0.2714214324951172,0.20849736034870148,0.2072094976902008,0.11166875064373016
properties,0.23360128700733185,0.27833178639411926,0.2832101881504059,0.28394192457199097,0.22585535049438477,0.29135963320732117,0.2039947509765625,0.28443029522895813,0.12601029872894287
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.16859935224056244,0.3250955045223236,0.3047430217266083,0.39731505513191223,0.19777452945709229,0.2433311939239502
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22386546432971954,0.658733606338501,0.3864384889602661,0.32094135880470276,0.22755464911460876,0.23916715383529663
conoscopic,0.2754967212677002,0.2188674509525299,0.2831384837627411,0.598157525062561,0.23085954785346985,0.26542723178863525,0.20202240347862244,0.30888527631759644,0.2437567263841629
lens,0.1790107637643814,0.1807490885257721,0.22899305820465088,0.4377821385860443,0.30136236548423767,0.2005099356174469,0.08640530705451965,0.16878272593021393,0.1168646588921547
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2098962515592575,0.4569662809371948,0.33111312985420227,0.3936232924461365,0.22133567929267883,0.4130953550338745
