,what,did,the,islamic,state,proclaim,itself,in,2014,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.19633598625659943,0.33316072821617126,0.15269191563129425,0.28042417764663696,1.0,0.13996225595474243,0.20430970191955566
2014,0.041483160108327866,-0.002547524170950055,0.059490643441677094,-0.007466994691640139,0.003066784469410777,0.0068716262467205524,0.010511424392461777,0.13996225595474243,1.0000001192092896,0.058127544820308685
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.2654155492782593,0.2783147692680359,0.5201468467712402,0.19350162148475647,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.27231070399284363,0.3097178041934967,0.22478388249874115,0.45971640944480896,0.6662389636039734,0.059490643441677094,0.22068053483963013
group,0.2114069163799286,0.13719572126865387,0.30795547366142273,0.18744540214538574,0.16570743918418884,0.018207712098956108,0.20261962711811066,0.2304753065109253,0.0359211266040802,0.13827809691429138
proclaimed,0.1719808578491211,0.22170822322368622,0.24787339568138123,0.33751365542411804,0.3313463628292084,0.918615460395813,0.20709308981895447,0.19771026074886322,0.03628510236740112,0.203518345952034
itself,0.3625122308731079,0.21505345404148102,0.45971640944480896,0.1568928211927414,0.2505201995372772,0.2478930652141571,1.0,0.28042417764663696,0.010511424392461777,0.17933900654315948
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.20177602767944336,0.25097307562828064,0.09384572505950928,0.4065200984477997,0.539380669593811,0.13504788279533386,0.23916715383529663
caliphate,0.2149973064661026,0.21856436133384705,0.25527113676071167,0.5823772549629211,0.2872356176376343,0.3803420960903168,0.24405750632286072,0.15227052569389343,0.0028106679674237967,0.1574885994195938
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.2654155492782593,0.2783147692680359,0.5201468467712402,0.19350162148475647,0.31091248989105225
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.1242700070142746,0.2062043994665146,0.12131214886903763,0.20826537907123566,0.4080928862094879,0.16056452691555023,0.2433311939239502
religious,0.26794421672821045,0.2198762446641922,0.22950971126556396,0.5138638615608215,0.18839411437511444,0.24368807673454285,0.16545194387435913,0.24099457263946533,0.08057119697332382,0.15727058053016663
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.2654155492782593,0.2783147692680359,0.5201468467712402,0.19350162148475647,0.31091248989105225
political,0.21846716105937958,0.21022029221057892,0.20477235317230225,0.39808326959609985,0.26535144448280334,0.23627081513404846,0.1501518338918686,0.22136160731315613,0.060559194535017014,0.17130474746227264
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2192772477865219,0.2653750479221344,0.16559676826000214,0.2663651406764984,0.4954058527946472,0.14333748817443848,0.20544172823429108
military,0.18809624016284943,0.17979979515075684,0.2290858030319214,0.3229793608188629,0.26352035999298096,0.24353636801242828,0.09930986911058426,0.2402431070804596,-0.0798037052154541,0.1890317052602768
authority,0.23046736419200897,0.23189641535282135,0.2645063102245331,0.2327481210231781,0.32687169313430786,0.316938579082489,0.2761959135532379,0.214982271194458,-0.025215838104486465,0.18404170870780945
over,0.28007611632347107,0.2535076439380646,0.39856547117233276,0.17131300270557404,0.20602752268314362,0.15614381432533264,0.30271589756011963,0.3605569899082184,0.03722882270812988,0.25742942094802856
all,0.41981086134910583,0.33943864703178406,0.4860881567001343,0.20581579208374023,0.2085113525390625,0.17237523198127747,0.24729391932487488,0.3335905969142914,-0.09364420920610428,0.29575422406196594
muslims,0.26523277163505554,0.23549841344356537,0.2657718360424042,0.6305913329124451,0.18910183012485504,0.2854781448841095,0.2216058373451233,0.18662098050117493,-0.03007933869957924,0.18742211163043976
worldwide,0.20704631507396698,0.13039597868919373,0.2698158025741577,0.19861054420471191,0.15796589851379395,0.11919993162155151,0.2025371640920639,0.30781108140945435,-0.01873793639242649,0.2253960371017456
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.20520655810832977,0.31380724906921387,0.19559040665626526,0.28960058093070984,0.5591574311256409,0.14509223401546478,0.4130953550338745
