,when,did,henry,issue,the,edict,of,nantes,?
the,0.5091903209686279,0.34736719727516174,0.2542637586593628,0.22164808213710785,1.0,0.17931364476680756,0.733189046382904,0.20705030858516693,0.22068053483963013
warfare,0.15248744189739227,0.18637101352214813,0.09368284046649933,0.19685587286949158,0.257932186126709,0.2949613332748413,0.23136936128139496,0.15497544407844543,0.1583555042743683
was,0.37326499819755554,0.41399896144866943,0.31945720314979553,0.22246617078781128,0.48711544275283813,0.20409467816352844,0.4069072902202606,0.222469300031662,0.18412111699581146
definitively,0.2783328592777252,0.188424214720726,0.10034602135419846,0.2643035054206848,0.319673091173172,0.21517126262187958,0.2706347405910492,0.14923574030399323,0.27648991346359253
quelled,0.2701570987701416,0.29515984654426575,0.2423732876777649,0.2527104914188385,0.31034690141677856,0.255603164434433,0.27845528721809387,0.2182048112154007,0.2877355217933655
in,0.4431333839893341,0.2593238651752472,0.21735817193984985,0.1525554060935974,0.6662389636039734,0.18521805107593536,0.5696388483047485,0.19122108817100525,0.20430970191955566
1598,0.016367200762033463,-0.021222494542598724,-0.07070232927799225,-0.06821440905332565,-0.0076618134044110775,0.0023877096828073263,-0.04988880455493927,-0.0992056354880333,-0.002321802545338869
",",0.36674630641937256,0.3015086054801941,0.25662001967430115,0.22797159850597382,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.2712658941745758,0.31091248989105225
when,0.9999999403953552,0.3228907287120819,0.28485748171806335,0.2642996609210968,0.5091903209686279,0.22003233432769775,0.3757161796092987,0.17704027891159058,0.22841128706932068
henry,0.28485748171806335,0.22827239334583282,1.0,0.13984030485153198,0.2542637586593628,0.3239153325557709,0.2390729784965515,0.293926477432251,0.16836383938789368
of,0.3757161796092987,0.2513895630836487,0.2390729784965515,0.2598971724510193,0.733189046382904,0.2533416450023651,1.0,0.21890923380851746,0.1826142966747284
navarre,0.20558495819568634,0.15701428055763245,0.3598501682281494,0.23799914121627808,0.22569294273853302,0.2771916687488556,0.27995768189430237,0.4431259334087372,0.18471768498420715
",",0.36674630641937256,0.3015086054801941,0.25662001967430115,0.22797159850597382,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.2712658941745758,0.31091248989105225
having,0.4296937882900238,0.3157401978969574,0.1795787215232849,0.2765425741672516,0.3821379244327545,0.1694280505180359,0.38889452815055847,0.17664048075675964,0.22418256103992462
succeeded,0.24497203528881073,0.22779136896133423,0.2484428435564041,0.21303167939186096,0.2137616127729416,0.22330065071582794,0.26539725065231323,0.15615782141685486,0.12414717674255371
to,0.5423505902290344,0.4452643394470215,0.2152724415063858,0.25523412227630615,0.535392165184021,0.22104638814926147,0.41548454761505127,0.22604770958423615,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.2542637586593628,0.22164808213710785,1.0,0.17931364476680756,0.733189046382904,0.20705030858516693,0.22068053483963013
french,0.18820616602897644,0.1584041714668274,0.2602366805076599,0.11444677412509918,0.2555147111415863,0.17803849279880524,0.19450366497039795,0.404360294342041,0.1386883556842804
