,what,is,the,city,centre,of,warsaw,called,in,polish,?
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.25006377696990967,0.2525712847709656,0.19253842532634735,1.0,0.15889199078083038,0.22642600536346436,0.6311136484146118,0.09769917279481888
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.35839709639549255,0.20527958869934082,0.4946078956127167,0.25300899147987366,0.26549121737480164,0.5201468467712402,0.2655222415924072,0.31091248989105225
especially,0.3590192496776581,0.32683345675468445,0.39420849084854126,0.15474608540534973,0.21069611608982086,0.37220633029937744,0.1502177119255066,0.36621907353401184,0.3526567816734314,0.14736615121364594,0.19751401245594025
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.3465842306613922,0.2867201566696167,0.48690423369407654,0.19152112305164337,0.2840702533721924,0.3793783485889435,0.15391643345355988,0.15103481709957123
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,1.0,0.3318089246749878,0.32503411173820496,0.25006377696990967,0.22269156575202942,0.3911624252796173,0.14986389875411987,0.13423943519592285
centre,0.12324132025241852,0.29804176092147827,0.32783594727516174,0.3318089246749878,1.0000001192092896,0.2769378423690796,0.2525712847709656,0.21254779398441315,0.2765078544616699,0.1699838787317276,0.019365152344107628
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.19590984284877777,0.17197288572788239,0.35032153129577637,0.1835584193468094,0.2546432614326477,0.3087427020072937,0.19593769311904907,0.40561532974243164
śródmieście,0.2334674596786499,0.2444090098142624,0.29123401641845703,0.38221919536590576,0.3041127026081085,0.24745072424411774,0.4091876447200775,0.17042022943496704,0.3021465837955475,0.37180012464523315,0.1793622523546219
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2113075703382492,0.19898538291454315,0.3680361211299896,0.19817118346691132,0.273923397064209,0.3326910734176636,0.2044559121131897,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.35839709639549255,0.20527958869934082,0.4946078956127167,0.25300899147987366,0.26549121737480164,0.5201468467712402,0.2655222415924072,0.31091248989105225
