,france,laid,siege,to,montpellier,in,what,year,?
tension,0.17622186243534088,0.15381942689418793,0.22368071973323822,0.29600581526756287,0.051870085299015045,0.26541417837142944,0.2603653073310852,0.19700276851654053,0.16257193684577942
with,0.20020143687725067,0.1999259740114212,0.12261176854372025,0.4239959120750427,0.21018166840076447,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.2433311939239502
paris,0.5414102077484131,0.16674715280532837,0.2831409275531769,0.20389077067375183,0.5660886168479919,0.29171380400657654,0.12914370000362396,0.18373487889766693,0.1491217315196991
led,0.2015276998281479,0.2398052215576172,0.24931932985782623,0.21815308928489685,0.1907677799463272,0.2990247309207916,0.12112844735383987,0.1989809274673462,0.09273858368396759
to,0.2670897841453552,0.1803169697523117,0.18065696954727173,1.0,0.1985989212989807,0.45010748505592346,0.455847829580307,0.23523004353046417,0.29463258385658264
a,0.24802380800247192,0.203324556350708,0.15981869399547577,0.45503583550453186,0.19461211562156677,0.539380669593811,0.3320399522781372,0.29350247979164124,0.23916715383529663
siege,0.18996421992778778,0.26659440994262695,1.0000001192092896,0.18065696954727173,0.2666807174682617,0.23684100806713104,0.12691979110240936,0.20424392819404602,0.07257505506277084
by,0.22743742167949677,0.1745789349079132,0.1746872216463089,0.33534231781959534,0.14469946920871735,0.370934396982193,0.2455483376979828,0.28805047273635864,0.17966607213020325
the,0.35517507791519165,0.30588608980178833,0.26454421877861023,0.535392165184021,0.2149735391139984,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
royal,0.24016813933849335,0.17306025326251984,0.17790035903453827,0.20404569804668427,0.2847122550010681,0.22172321379184723,0.16189028322696686,0.17760711908340454,0.11453001946210861
army,0.2546367645263672,0.13280262053012848,0.3624343276023865,0.22938482463359833,0.2171899974346161,0.25258398056030273,0.1698741316795349,0.19735397398471832,0.180583193898201
in,0.3812309503555298,0.2162552922964096,0.23684100806713104,0.45010748505592346,0.25433841347694397,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
1622,0.38521096110343933,-0.048399727791547775,0.14944680035114288,0.018089061602950096,0.20222581923007965,0.04706466943025589,-0.016986003145575523,-0.0003233121824450791,-0.040980540215969086
.,0.33719199895858765,0.27782419323921204,0.13070990145206451,0.4645031690597534,0.29734566807746887,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
