,how,many,provinces,did,the,ottoman,empire,contain,in,the,17th,century,?
at,0.2154216170310974,0.2716965675354004,0.04909977689385414,0.28390252590179443,0.457212895154953,0.14614491164684296,0.18196320533752441,0.17059701681137085,0.4374977946281433,0.457212895154953,0.18051086366176605,0.16390062868595123,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.2539168894290924,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.26383090019226074,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
beginning,0.32424792647361755,0.2941468060016632,0.20842280983924866,0.28616875410079956,0.49622642993927,0.25454241037368774,0.29135626554489136,0.163825124502182,0.3787442147731781,0.49622642993927,0.20223765075206757,0.4251898229122162,0.19413669407367706
of,0.2480744868516922,0.37253960967063904,0.2959076762199402,0.2513895630836487,0.733189046382904,0.239910289645195,0.30522286891937256,0.30574339628219604,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2539168894290924,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.26383090019226074,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
17th,0.1228373646736145,0.07855495065450668,0.11388296633958817,0.0865093395113945,0.2679309546947479,0.036172568798065186,0.07206670939922333,0.09639091789722443,0.17784206569194794,0.2679309546947479,1.0000001192092896,0.22269536554813385,0.096589595079422
century,0.1569085419178009,0.3132779002189636,0.22373071312904358,0.2333737462759018,0.3617299497127533,0.35807204246520996,0.3632965385913849,0.08552562445402145,0.3174034655094147,0.3617299497127533,0.22269536554813385,1.0,0.1026201918721199
the,0.33890387415885925,0.4335206151008606,0.2539168894290924,0.34736719727516174,1.0,0.2623080313205719,0.32532164454460144,0.26383090019226074,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
empire,0.14771032333374023,0.22804687917232513,0.335629403591156,0.18850058317184448,0.32532164454460144,0.5869483351707458,1.0000001192092896,0.06581337749958038,0.24110576510429382,0.32532164454460144,0.07206670939922333,0.3632965385913849,0.14909450709819794
contained,0.20294219255447388,0.27052515745162964,0.11673358827829361,0.22769203782081604,0.31440216302871704,0.15101759135723114,0.13846570253372192,0.7515508532524109,0.3168308436870575,0.31440216302871704,0.12145198881626129,0.1916843205690384,0.171995609998703
32,-0.0881153866648674,-0.07172217220067978,0.07787064462900162,-0.016982844099402428,-0.06675421446561813,-0.012606850825250149,-0.0029106219299137592,-0.050147105008363724,-0.04161756858229637,-0.06675421446561813,0.0005110293859615922,0.07611910253763199,0.04494665935635567
provinces,0.10734166204929352,0.13495087623596191,1.0,0.06039728224277496,0.2539168894290924,0.24171635508537292,0.335629403591156,0.12638191878795624,0.21957094967365265,0.2539168894290924,0.11388296633958817,0.22373071312904358,0.10239427536725998
and,0.33647966384887695,0.5296266674995422,0.21712972223758698,0.34479495882987976,0.5171257257461548,0.24569445848464966,0.27479609847068787,0.3066939413547516,0.4954058527946472,0.5171257257461548,0.2645922303199768,0.2726690471172333,0.20544172823429108
numerous,0.18753044307231903,0.6216120719909668,0.13373959064483643,0.18944735825061798,0.3353725075721741,0.18932680785655975,0.17802350223064423,0.2789686322212219,0.30740252137184143,0.3353725075721741,0.025996314361691475,0.18454129993915558,0.0875130444765091
vassal,0.1044512540102005,0.10591818392276764,0.275485634803772,0.17756983637809753,0.25395825505256653,0.432325541973114,0.44948500394821167,0.05303514003753662,0.16885438561439514,0.25395825505256653,0.11364226788282394,0.24281127750873566,0.11192825436592102
states,0.20841296017169952,0.29976361989974976,0.2325696051120758,0.21754568815231323,0.3463578522205353,0.24241915345191956,0.28543442487716675,0.1875922977924347,0.3977442979812622,0.3463578522205353,0.13012093305587769,0.26880478858947754,0.16272737085819244
.,0.3287222981452942,0.3974229395389557,0.21029427647590637,0.35288307070732117,0.5934505462646484,0.2524917721748352,0.2811720371246338,0.22565869987010956,0.5591574311256409,0.5934505462646484,0.24070394039154053,0.27413639426231384,0.4130953550338745
