,what,is,the,biggest,abc,subchannel,affiliate,by,the,size,of,markets,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3799763321876526,0.2068762183189392,0.3338429033756256,0.2278994768857956,0.4408751428127289,1.0,0.2946445941925049,0.733189046382904,0.23818166553974152,0.22068053483963013
sinclair,0.13678078353405,0.22747954726219177,0.18596287071704865,0.062352828681468964,0.24845848977565765,0.2251933217048645,0.1813294142484665,0.2546863853931427,0.18596287071704865,0.16660812497138977,0.18807722628116608,0.18833297491073608,0.17342320084571838
broadcast,0.17857211828231812,0.1702820062637329,0.2713715434074402,0.1064041405916214,0.4876510202884674,0.48864224553108215,0.3083362877368927,0.22584840655326843,0.2713715434074402,0.09447482228279114,0.20155203342437744,0.22784626483917236,0.15760008990764618
group,0.2114069163799286,0.22153858840465546,0.30795547366142273,0.26809683442115784,0.11665991693735123,0.2645067870616913,0.25749412178993225,0.2915726900100708,0.30795547366142273,0.2148934304714203,0.25542253255844116,0.11359003931283951,0.13827809691429138
is,0.28837618231773376,1.0,0.5823672413825989,0.3216690123081207,0.16037321090698242,0.3198363780975342,0.10908813774585724,0.3899846076965332,0.5823672413825989,0.22983339428901672,0.4854315221309662,0.21294242143630981,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3799763321876526,0.2068762183189392,0.3338429033756256,0.2278994768857956,0.4408751428127289,1.0,0.2946445941925049,0.733189046382904,0.23818166553974152,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.737842857837677,0.09599892795085907,0.17885249853134155,0.24725893139839172,0.17839421331882477,0.3757036626338959,0.3179561197757721,0.36650770902633667,0.2044110894203186,0.12401245534420013
operator,0.19331371784210205,0.2346540242433548,0.22986549139022827,0.19848211109638214,0.21460629999637604,0.3070606291294098,0.2095722109079361,0.15075917541980743,0.22986549139022827,0.14006826281547546,0.178121879696846,0.16300509870052338,0.12810945510864258
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35091954469680786,0.14607268571853638,0.2371281534433365,0.19963958859443665,0.3646814823150635,0.733189046382904,0.27599775791168213,1.0,0.17050357162952423,0.1826142966747284
abc,0.1317344456911087,0.16037321090698242,0.2068762183189392,0.08061102777719498,1.0000001192092896,0.410636305809021,0.2614424228668213,0.17600902915000916,0.2068762183189392,0.0863366350531578,0.14607268571853638,0.16946740448474884,0.19065172970294952
stations,0.1621520221233368,0.2002124935388565,0.24762700498104095,0.23218122124671936,0.23858611285686493,0.4335935413837433,0.30964431166648865,0.20435920357704163,0.24762700498104095,0.1089603379368782,0.20414425432682037,0.37372493743896484,0.13192185759544373
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.13812409341335297,0.17600902915000916,0.24033819139003754,0.06732604652643204,1.0000001192092896,0.4408751428127289,0.1382545381784439,0.3646814823150635,0.1262868195772171,0.17966607213020325
numerical,0.276495099067688,0.15379483997821808,0.21273735165596008,0.13727448880672455,0.13299362361431122,0.2673356235027313,0.14321811497211456,0.176756352186203,0.21273735165596008,0.2611471712589264,0.21296924352645874,0.24535146355628967,0.21096135675907135
total,0.19850242137908936,0.18159881234169006,0.27068960666656494,0.2493949681520462,0.15866148471832275,0.24217966198921204,0.22741825878620148,0.20661480724811554,0.27068960666656494,0.30135583877563477,0.29045331478118896,0.10601738840341568,0.14396025240421295
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28671082854270935,0.2097204476594925,0.26144933700561523,0.20519042015075684,0.3680937886238098,0.4933079481124878,0.2156888097524643,0.4946078956127167,0.24350304901599884,0.31091248989105225
owning,0.31457746028900146,0.25570210814476013,0.29914402961730957,0.23596401512622833,0.20329812169075012,0.2352699190378189,0.12105782330036163,0.22994638979434967,0.29914402961730957,0.22941270470619202,0.2877778112888336,0.3612229526042938,0.23171958327293396
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.1235373467206955,0.10767780989408493,0.2772718369960785,0.14548462629318237,0.30274316668510437,0.4174870550632477,0.23418565094470978,0.3792596757411957,0.2510073482990265,0.32389625906944275
providing,0.21766136586666107,0.27256250381469727,0.29839932918548584,0.08835301548242569,0.14541544020175934,0.28745409846305847,0.19544798135757446,0.26217615604400635,0.29839932918548584,0.12337486445903778,0.24403119087219238,0.27152523398399353,0.1936793476343155
