,which,two,generals,raided,the,caucasas,and,kievan,rus,',for,genghis,khan,?
muqali,0.24762175977230072,0.19263935089111328,0.1475490778684616,0.21697628498077393,0.2466413974761963,0.3851923644542694,0.263154000043869,0.29862451553344727,0.16917690634727478,0.20788691937923431,0.13384221494197845,0.5310442447662354,0.5270981788635254,0.1296873688697815
",",0.3658004403114319,0.35859420895576477,0.28962698578834534,0.2697465717792511,0.4933079481124878,0.2814639210700989,0.6633074283599854,0.20198769867420197,0.2609914243221283,0.5178600549697876,0.4464869201183319,0.2891939878463745,0.19700400531291962,0.31091248989105225
a,0.56894451379776,0.3289857804775238,0.17057494819164276,0.23178227245807648,0.5829201340675354,0.24614472687244415,0.3739250600337982,0.18177664279937744,0.19218745827674866,0.48837921023368835,0.44038116931915283,0.194350928068161,0.1743650734424591,0.23916715383529663
trusted,0.21146729588508606,0.15004582703113556,0.2636805474758148,0.22756588459014893,0.2026824653148651,0.1982763409614563,0.25677841901779175,0.17695802450180054,0.22379378974437714,0.21916957199573517,0.26372230052948,0.21057963371276855,0.20857587456703186,0.27878957986831665
lieutenant,0.11919806897640228,0.20001256465911865,0.39753109216690063,0.26336219906806946,0.2481839954853058,0.1896437108516693,0.20038926601409912,0.13404053449630737,0.13201673328876495,0.19820821285247803,0.146264910697937,0.21283745765686035,0.26585185527801514,0.14948289096355438
",",0.3658004403114319,0.35859420895576477,0.28962698578834534,0.2697465717792511,0.4933079481124878,0.2814639210700989,0.6633074283599854,0.20198769867420197,0.2609914243221283,0.5178600549697876,0.4464869201183319,0.2891939878463745,0.19700400531291962,0.31091248989105225
was,0.2830964922904968,0.27166637778282166,0.25550490617752075,0.2927231788635254,0.48711544275283813,0.19729925692081451,0.3740963041782379,0.2750789523124695,0.1890505701303482,0.33675912022590637,0.3863949179649353,0.3037589192390442,0.23483267426490784,0.18412111699581146
given,0.3192405104637146,0.2882862091064453,0.19308874011039734,0.2208186537027359,0.37508252263069153,0.14886608719825745,0.30185943841934204,0.20464186370372772,0.21054494380950928,0.25781694054603577,0.44294488430023193,0.16919517517089844,0.11854389309883118,0.2570464313030243
command,0.2066582292318344,0.16386467218399048,0.46754711866378784,0.36616048216819763,0.27488255500793457,0.1888144612312317,0.2525673806667328,0.16339735686779022,0.16172225773334503,0.18347549438476562,0.18338429927825928,0.2530408799648285,0.1868235170841217,0.13402260839939117
of,0.5011631846427917,0.37726253271102905,0.29460904002189636,0.2929002046585083,0.733189046382904,0.24857543408870697,0.5116966962814331,0.2668492794036865,0.21578308939933777,0.39136970043182373,0.4185989499092102,0.2938849925994873,0.17124508321285248,0.1826142966747284
the,0.6521818041801453,0.43858039379119873,0.27897581458091736,0.3490786552429199,1.0,0.32064351439476013,0.5171257257461548,0.29959583282470703,0.2636447250843048,0.474788099527359,0.4739971458911896,0.3448939025402069,0.21067845821380615,0.22068053483963013
mongol,0.22227831184864044,0.161006897687912,0.2823218107223511,0.2941882610321045,0.2924198508262634,0.3913237154483795,0.21553155779838562,0.5146178603172302,0.41763564944267273,0.1913980096578598,0.1556200236082077,0.6244974732398987,0.5576101541519165,0.12849251925945282
forces,0.2267666757106781,0.20150142908096313,0.4677247405052185,0.41841921210289,0.3134811818599701,0.2343476116657257,0.26456665992736816,0.23501434922218323,0.1320507824420929,0.16047309339046478,0.14048048853874207,0.27949807047843933,0.14535881578922272,0.16984491050243378
against,0.27554041147232056,0.2102174013853073,0.23526334762573242,0.31804728507995605,0.3090755045413971,0.20371316373348236,0.3292689621448517,0.18940863013267517,0.20794615149497986,0.18114927411079407,0.3262052536010742,0.2344937026500702,0.10938236117362976,0.18095137178897858
the,0.6521818041801453,0.43858039379119873,0.27897581458091736,0.3490786552429199,1.0,0.32064351439476013,0.5171257257461548,0.29959583282470703,0.2636447250843048,0.474788099527359,0.4739971458911896,0.3448939025402069,0.21067845821380615,0.22068053483963013
jin,0.17571210861206055,0.14723756909370422,0.24325576424598694,0.08612032979726791,0.23336409032344818,0.18403387069702148,0.22211141884326935,0.3362484872341156,0.17434664070606232,0.14681750535964966,0.14464658498764038,0.4345949590206146,0.3794151246547699,0.12195159494876862
