,who,was,the,leader,of,the,khwarezmian,dynasty,in,the,early,1200s,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.22669851779937744,0.5696388483047485,0.6662389636039734,0.21886314451694489,0.15246383845806122,1.0,0.6662389636039734,0.34672921895980835,0.23674839735031128,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,1.0,0.3120568096637726,0.26267939805984497,0.6662389636039734,1.0,0.34442198276519775,0.19459982216358185,0.22068053483963013
early,0.23985694348812103,0.4148794412612915,0.34442198276519775,0.2353314459323883,0.30937549471855164,0.34442198276519775,0.410664826631546,0.2468477189540863,0.34672921895980835,0.34442198276519775,1.0000001192092896,0.049450911581516266,0.15272949635982513
13th,0.06709858775138855,0.15393486618995667,0.22850602865219116,0.13302668929100037,0.17994922399520874,0.22850602865219116,0.25259166955947876,0.20706740021705627,0.18973228335380554,0.22850602865219116,0.08105260133743286,-0.06648612022399902,0.16515761613845825
century,0.2990973889827728,0.3521432876586914,0.3617299497127533,0.18830348551273346,0.2826060354709625,0.3617299497127533,0.3602822422981262,0.4148792028427124,0.3174034655094147,0.3617299497127533,0.4336492121219635,-0.017572391778230667,0.1026201918721199
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23893310129642487,0.4946078956127167,0.4933079481124878,0.30490750074386597,0.1976536363363266,0.5201468467712402,0.4933079481124878,0.3022546172142029,0.1341295689344406,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,1.0,0.3120568096637726,0.26267939805984497,0.6662389636039734,1.0,0.34442198276519775,0.19459982216358185,0.22068053483963013
khwarazmian,0.2815801799297333,0.25936219096183777,0.32811564207077026,0.2660783529281616,0.2898222804069519,0.32811564207077026,0.9428735375404358,0.4533713161945343,0.2211340069770813,0.32811564207077026,0.3670755624771118,-0.1910209357738495,0.17319560050964355
dynasty,0.19946415722370148,0.24324211478233337,0.26267939805984497,0.2143269181251526,0.285645067691803,0.26267939805984497,0.462966650724411,1.0,0.15246383845806122,0.26267939805984497,0.2468477189540863,-0.06871911138296127,0.15884074568748474
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.3073844909667969,0.4069072902202606,0.48711544275283813,0.2895364761352539,0.24324211478233337,0.45514053106307983,0.48711544275283813,0.4148794412612915,0.2488689422607422,0.18412111699581146
governed,0.2344985008239746,0.2891733646392822,0.3389590084552765,0.26707470417022705,0.4198022782802582,0.3389590084552765,0.22220338881015778,0.23269352316856384,0.2822141647338867,0.3389590084552765,0.11116661876440048,0.07229878008365631,0.12964454293251038
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.16688144207000732,0.3646814823150635,0.4408751428127289,0.2705972194671631,0.198152095079422,0.370934396982193,0.4408751428127289,0.25586557388305664,0.03839438036084175,0.17966607213020325
shah,0.19620785117149353,0.20792485773563385,0.19914765655994415,0.2005346715450287,0.21966372430324554,0.19914765655994415,0.6048119068145752,0.4366220533847809,0.13658541440963745,0.19914765655994415,0.18998266756534576,-0.14416879415512085,0.10370904207229614
ala,0.12998871505260468,0.13117638230323792,0.13875967264175415,0.08892174810171127,0.1453014463186264,0.13875967264175415,0.3537093997001648,0.21811501681804657,0.12429206073284149,0.13875967264175415,0.0929747149348259,-0.08824564516544342,0.2293235808610916
ad-din,0.36958047747612,0.24852101504802704,0.19695183634757996,0.3519597053527832,0.12417507916688919,0.19695183634757996,0.3157328963279724,0.17951743304729462,0.18102717399597168,0.19695183634757996,0.1214260384440422,-0.07404308021068573,0.3193739652633667
muhammad,0.2618805468082428,0.24321016669273376,0.18824619054794312,0.23611870408058167,0.1792740523815155,0.18824619054794312,0.490077942609787,0.3232782483100891,0.1352206915616989,0.18824619054794312,0.19947800040245056,-0.035953693091869354,0.20699374377727509
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.21285216510295868,0.5352458953857422,0.5934505462646484,0.24834071099758148,0.20616187155246735,0.5591574311256409,0.5934505462646484,0.3224305212497711,0.14837738871574402,0.4130953550338745
