,how,many,tons,of,saharan,dust,falls,on,the,amazon,basin,each,year,?
nasa,0.20395343005657196,0.15574845671653748,0.12262313812971115,0.17935146391391754,0.23333850502967834,0.3085649311542511,0.07671134173870087,0.18220403790473938,0.19786997139453888,0.1661357581615448,0.2162281721830368,0.07703179121017456,0.14521807432174683,0.1809994876384735
's,-0.026164190843701363,0.01698932610452175,-0.04235353320837021,-0.03817026689648628,0.07983057200908661,-0.038515426218509674,-0.060951314866542816,0.0026888418942689896,-0.01540423184633255,0.062328040599823,0.04280134662985802,0.021750088781118393,-0.04087831452488899,-0.023395681753754616
calipso,0.1821621209383011,0.149812251329422,0.11433515697717667,0.2694573700428009,0.3577364683151245,0.25767600536346436,0.21229445934295654,0.20299457013607025,0.31254130601882935,0.19004616141319275,0.2117220163345337,0.13353198766708374,0.20704394578933716,0.2649646997451782
satellite,0.10482273995876312,0.15164341032505035,0.06889510154724121,0.1683834195137024,0.2311158925294876,0.29698875546455383,0.09535422176122665,0.2525777816772461,0.22563834488391876,0.12525847554206848,0.2144104689359665,0.11691509932279587,0.14653939008712769,0.13568443059921265
has,0.26820555329322815,0.4266262650489807,0.21162201464176178,0.3909035325050354,0.2170426845550537,0.14267772436141968,0.1847171038389206,0.34604379534721375,0.4177538752555847,0.1779293268918991,0.18059469759464264,0.32155683636665344,0.2526876926422119,0.15994466841220856
measured,0.33367615938186646,0.24101705849170685,0.3513738811016083,0.26447921991348267,0.15073637664318085,0.23971869051456451,0.15183322131633759,0.20655377209186554,0.279002845287323,0.1639031171798706,0.24656406044960022,0.28927627205848694,0.18661636114120483,0.17351430654525757
the,0.33890387415885925,0.4335206151008606,0.20730508863925934,0.733189046382904,0.2361762821674347,0.2346910536289215,0.2708098292350769,0.5107308030128479,1.0,0.260541707277298,0.24553915858268738,0.470844566822052,0.3609684407711029,0.22068053483963013
amount,0.37087762355804443,0.36071112751960754,0.3637048304080963,0.2541177570819855,0.20258083939552307,0.2806089520454407,0.162252739071846,0.2525322437286377,0.3336862325668335,0.1940114051103592,0.19711507856845856,0.3607456386089325,0.2676939368247986,0.17984020709991455
of,0.2480744868516922,0.37253960967063904,0.19702266156673431,1.0,0.1892523616552353,0.25486329197883606,0.23047612607479095,0.3966929316520691,0.733189046382904,0.20143137872219086,0.2557278275489807,0.38460010290145874,0.2578314542770386,0.1826142966747284
dust,0.24083134531974792,0.22878393530845642,0.2439376562833786,0.25486329197883606,0.2716901898384094,1.0,0.22196342051029205,0.16006799042224884,0.2346910536289215,0.13802170753479004,0.27528029680252075,0.15729188919067383,0.10882840305566788,0.15803812444210052
