,in,which,article,does,the,treaty,of,lisbon,prohibit,anti-competitive,agreements,?
today,0.3300545811653137,0.3886263072490692,0.24756570160388947,0.23916853964328766,0.35740926861763,0.14497779309749603,0.3291318118572235,0.15792261064052582,0.13457784056663513,0.13803502917289734,0.18794307112693787,0.17338968813419342
",",0.5201468467712402,0.3658004403114319,0.28605279326438904,0.28617382049560547,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.23894961178302765,0.2773091793060303,0.26172250509262085,0.2693939507007599,0.31091248989105225
the,0.6662389636039734,0.6521818041801453,0.3329811692237854,0.35928019881248474,1.0,0.2690109610557556,0.733189046382904,0.28707155585289,0.21677012741565704,0.22062243521213531,0.2562585771083832,0.22068053483963013
treaty,0.22333456575870514,0.19969318807125092,0.2396368831396103,0.13167302310466766,0.2690109610557556,1.0,0.2602092921733856,0.3112119436264038,0.26345694065093994,0.13174575567245483,0.5622356534004211,0.1174844279885292
of,0.5696388483047485,0.5011631846427917,0.25720444321632385,0.3119818866252899,0.733189046382904,0.2602092921733856,1.0,0.23450347781181335,0.22018228471279144,0.21408039331436157,0.23625777661800385,0.1826142966747284
lisbon,0.23103228211402893,0.2498938888311386,0.060336511582136154,0.10725264996290207,0.28707155585289,0.3112119436264038,0.23450347781181335,1.0000001192092896,0.12052713334560394,0.149605393409729,0.21911098062992096,0.14563871920108795
prohibits,0.17151343822479248,0.30096203088760376,0.24202027916908264,0.3027013838291168,0.24808304011821747,0.2436332404613495,0.26500216126441956,0.12873126566410065,0.9542357325553894,0.19415472447872162,0.3230878710746765,0.21884572505950928
anti-competitive,0.22707004845142365,0.3231178820133209,0.2110028862953186,0.24201826751232147,0.22062243521213531,0.13174575567245483,0.21408039331436157,0.149605393409729,0.18563933670520782,0.9999998807907104,0.1908738762140274,0.13428641855716705
agreements,0.21974602341651917,0.286359965801239,0.24494901299476624,0.2217319905757904,0.2562585771083832,0.5622356534004211,0.23625777661800385,0.21911098062992096,0.309082567691803,0.1908738762140274,1.0,0.14476320147514343
in,1.0,0.4840516746044159,0.26153311133384705,0.214483380317688,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.23103228211402893,0.15546579658985138,0.22707004845142365,0.21974602341651917,0.20430970191955566
article,0.26153311133384705,0.3171063959598541,0.9999999403953552,0.35800421237945557,0.3329811692237854,0.2396368831396103,0.25720444321632385,0.060336511582136154,0.23171521723270416,0.2110028862953186,0.24494901299476624,0.4948462247848511
101,-0.2102924883365631,-0.10245557129383087,0.05334950238466263,0.0026770057156682014,-0.19684749841690063,-0.10764165967702866,-0.2455430030822754,-0.15802137553691864,0.0011641819728538394,-0.05883430689573288,-0.16366854310035706,0.1254732757806778
(,0.3087427020072937,0.2589828372001648,0.25957366824150085,0.2728188931941986,0.33289089798927307,0.14117708802223206,0.35032153129577637,0.12217782437801361,0.1856914609670639,0.09412700682878494,0.1679258644580841,0.40561532974243164
1,-0.10660158097743988,-0.1852463036775589,-0.28928327560424805,-0.24693645536899567,-0.1554475575685501,-0.15018784999847412,-0.09473495930433273,-0.04243488609790802,-0.26922011375427246,-0.2934161126613617,-0.21655704081058502,-0.249979168176651
),0.3326910734176636,0.2758678197860718,0.26026514172554016,0.2575884759426117,0.3456730246543884,0.15254124999046326,0.3680361211299896,0.14476443827152252,0.18246331810951233,0.09994654357433319,0.15794581174850464,0.42300865054130554
",",0.5201468467712402,0.3658004403114319,0.28605279326438904,0.28617382049560547,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.23894961178302765,0.2773091793060303,0.26172250509262085,0.2693939507007599,0.31091248989105225
including,0.35857823491096497,0.41826364398002625,0.1980353742837906,0.20252716541290283,0.3738902807235718,0.10718025267124176,0.44195112586021423,0.14031267166137695,0.19793455302715302,0.24275264143943787,0.22292953729629517,0.1633303165435791
price,0.2097182273864746,0.21813181042671204,0.20043736696243286,0.22169062495231628,0.22636492550373077,0.13951852917671204,0.15675179660320282,0.04284355789422989,0.20239967107772827,0.33417361974716187,0.22331006824970245,0.14631175994873047
fixing,0.2389141172170639,0.2752254903316498,0.40478864312171936,0.24140016734600067,0.24690976738929749,0.11770015954971313,0.15681946277618408,0.14701341092586517,0.20703785121440887,0.21871496737003326,0.15128272771835327,0.30330368876457214
.,0.5591574311256409,0.45942068099975586,0.30669885873794556,0.3022993505001068,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.20124030113220215,0.22864152491092682,0.23531514406204224,0.21132823824882507,0.4130953550338745
