,what,did,the,second,stage,in,the,saturn,v,end,up,doing,?
the,0.42745697498321533,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.6662389636039734,1.0,0.24189656972885132,0.18580520153045654,0.39658910036087036,0.38423117995262146,0.29305580258369446,0.22068053483963013
second,0.19948028028011322,0.20727969706058502,0.4620301127433777,1.0,0.12515126168727875,0.34510284662246704,0.4620301127433777,0.13307109475135803,0.19126640260219574,0.2884937524795532,0.24278147518634796,0.14881755411624908,0.17239587008953094
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2743909955024719,0.17654182016849518,0.4954058527946472,0.5171257257461548,0.18160289525985718,0.19040757417678833,0.24708716571331024,0.4032393991947174,0.31533369421958923,0.20544172823429108
third,0.2033906877040863,0.19128914177417755,0.4229298532009125,0.8191088438034058,0.17873531579971313,0.3309578001499176,0.4229298532009125,0.17948243021965027,0.1977764219045639,0.2829585075378418,0.17968502640724182,0.12413453310728073,0.15394791960716248
stages,0.18274828791618347,0.1924992799758911,0.29316213726997375,0.13377760350704193,0.7074452638626099,0.25691351294517517,0.29316213726997375,0.10938645899295807,0.08512382954359055,0.2304331660270691,0.2065156251192093,0.17699912190437317,0.12672165036201477
burned,0.1846838891506195,0.233504518866539,0.27910104393959045,0.10833396017551422,0.1121222972869873,0.2707434296607971,0.27910104393959045,0.16544435918331146,0.11693061888217926,0.1831415444612503,0.23280397057533264,0.20181971788406372,0.14875538647174835
liquid,0.24017377197742462,0.17522098124027252,0.25047987699508667,0.1304376721382141,0.1848597228527069,0.19967526197433472,0.25047987699508667,0.3324160575866699,0.1921212077140808,0.12217818200588226,0.19007577002048492,0.2125798612833023,0.18412289023399353
hydrogen,0.19052310287952423,0.19611163437366486,0.20406323671340942,0.15330509841442108,0.18116271495819092,0.1982225924730301,0.20406323671340942,0.3193531632423401,0.15294583141803741,0.15406379103660583,0.22509631514549255,0.23274315893650055,0.14590126276016235
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.2630990147590637,0.5201468467712402,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.25448864698410034,0.34193792939186096,0.31285786628723145,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2743909955024719,0.17654182016849518,0.4954058527946472,0.5171257257461548,0.18160289525985718,0.19040757417678833,0.24708716571331024,0.4032393991947174,0.31533369421958923,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.6662389636039734,1.0,0.24189656972885132,0.18580520153045654,0.39658910036087036,0.38423117995262146,0.29305580258369446,0.22068053483963013
third,0.2033906877040863,0.19128914177417755,0.4229298532009125,0.8191088438034058,0.17873531579971313,0.3309578001499176,0.4229298532009125,0.17948243021965027,0.1977764219045639,0.2829585075378418,0.17968502640724182,0.12413453310728073,0.15394791960716248
stage,0.15168409049510956,0.1994115114212036,0.22652170062065125,0.12515126168727875,1.0000001192092896,0.2011467069387436,0.22652170062065125,0.18939214944839478,0.1110387071967125,0.16940543055534363,0.20395755767822266,0.16834455728530884,0.14916576445102692
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.3858029544353485,0.2081151008605957,0.45514053106307983,0.48711544275283813,0.24932558834552765,0.16128918528556824,0.19220198690891266,0.24070115387439728,0.18763868510723114,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.3655064105987549,0.2036506086587906,0.539380669593811,0.5829201340675354,0.20805643498897552,0.21861357986927032,0.28924596309661865,0.32523053884506226,0.3023574650287628,0.23916715383529663
modified,0.1667574942111969,0.21427594125270844,0.25787946581840515,0.1719992458820343,0.12048843502998352,0.14739903807640076,0.25787946581840515,0.1604343205690384,0.20289291441440582,0.15835435688495636,0.13126899302005768,0.1619226038455963,0.2008686512708664
version,0.20755547285079956,0.21677692234516144,0.27268242835998535,0.20155206322669983,0.18130677938461304,0.19599339365959167,0.27268242835998535,0.1825740784406662,0.19365927577018738,0.12330565601587296,0.1329808086156845,0.15984567999839783,0.2573966085910797
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.353416383266449,0.1389172226190567,0.5696388483047485,0.733189046382904,0.19011574983596802,0.1655031144618988,0.2215006798505783,0.32945773005485535,0.25269845128059387,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.6662389636039734,1.0,0.24189656972885132,0.18580520153045654,0.39658910036087036,0.38423117995262146,0.29305580258369446,0.22068053483963013
s-ivb,0.27927571535110474,0.19501733779907227,0.3730037808418274,0.29274946451187134,0.17134155333042145,0.31367796659469604,0.3730037808418274,0.29092708230018616,0.1231713518500328,0.17855536937713623,0.21114253997802734,0.3074686527252197,0.1708081215620041
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.2630990147590637,0.5201468467712402,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.25448864698410034,0.34193792939186096,0.31285786628723145,0.31091248989105225
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.272382527589798,0.1076672300696373,0.4080928862094879,0.4223487675189972,0.15670639276504517,0.14314915239810944,0.23444485664367676,0.38676461577415466,0.26442378759384155,0.2433311939239502
thrust,0.22513122856616974,0.18759748339653015,0.28476181626319885,0.17371198534965515,0.16727915406227112,0.17720508575439453,0.28476181626319885,0.2821305990219116,0.189153790473938,0.16720429062843323,0.24444475769996643,0.20909905433654785,0.1531757265329361
increased,0.1599731743335724,0.20765343308448792,0.3188653886318207,0.1650342345237732,0.16721059381961823,0.244624063372612,0.3188653886318207,0.14327110350131989,0.09740424156188965,0.21314172446727753,0.2201465666294098,0.23272907733917236,0.09587585180997849
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.3098561465740204,0.1484832912683487,0.45010748505592346,0.535392165184021,0.18787172436714172,0.2109750658273697,0.3229445815086365,0.40375280380249023,0.3272162973880768,0.29463258385658264
"230,000",-0.10173235088586807,-0.05658406391739845,0.039988841861486435,-0.10538924485445023,0.08831330388784409,-0.0009174105362035334,0.039988841861486435,0.054907988756895065,-0.03629877045750618,-0.06382565200328827,-0.11729064583778381,-0.08303245902061462,-0.09942035377025604
lbf,0.19555744528770447,0.14983490109443665,0.22945675253868103,0.2668676972389221,0.14484742283821106,0.16893279552459717,0.22945675253868103,0.199800506234169,0.22208595275878906,0.1972496062517166,0.27929118275642395,0.2495584934949875,0.25105881690979004
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.27435752749443054,0.21330693364143372,0.3087427020072937,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.21691228449344635,0.2525939643383026,0.20687055587768555,0.40561532974243164
"1,020",0.026199430227279663,-0.0023849825374782085,-0.014127848669886589,-0.04617157578468323,0.012317312881350517,0.04235738143324852,-0.014127848669886589,-0.09630241245031357,-0.0010941314976662397,0.04078654944896698,-0.0728873610496521,0.04195912927389145,0.05644380301237106
kn,0.18303970992565155,0.10493256896734238,0.12718795239925385,0.14115051925182343,0.1370285451412201,0.09522516280412674,0.12718795239925385,0.11088479310274124,0.17889504134655,0.07431904971599579,0.1839095652103424,0.18173763155937195,0.22977566719055176
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.29819294810295105,0.24287325143814087,0.3326910734176636,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.2439398169517517,0.25800976157188416,0.24178515374660492,0.42300865054130554
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2743909955024719,0.17654182016849518,0.4954058527946472,0.5171257257461548,0.18160289525985718,0.19040757417678833,0.24708716571331024,0.4032393991947174,0.31533369421958923,0.20544172823429108
capability,0.27171802520751953,0.1888176053762436,0.22795647382736206,0.1943354606628418,0.1295175552368164,0.15109431743621826,0.22795647382736206,0.16184836626052856,0.1776532083749771,0.18777243793010712,0.1956789344549179,0.2853289842605591,0.20875757932662964
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.3098561465740204,0.1484832912683487,0.45010748505592346,0.535392165184021,0.18787172436714172,0.2109750658273697,0.3229445815086365,0.40375280380249023,0.3272162973880768,0.29463258385658264
restart,0.28028255701065063,0.20249620079994202,0.353054016828537,0.27689963579177856,0.22722294926643372,0.2488640993833542,0.353054016828537,0.18791623413562775,0.1647990494966507,0.3780921697616577,0.2936238646507263,0.3151486814022064,0.21747036278247833
the,0.42745697498321533,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.6662389636039734,1.0,0.24189656972885132,0.18580520153045654,0.39658910036087036,0.38423117995262146,0.29305580258369446,0.22068053483963013
engine,0.18463268876075745,0.1357124000787735,0.21651263535022736,0.14150185883045197,0.18058733642101288,0.18885408341884613,0.21651263535022736,0.2404942810535431,0.28612491488456726,0.135150745511055,0.2012358158826828,0.20744067430496216,0.17739196121692657
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.25438159704208374,0.2402065247297287,0.4322226941585541,0.4739971458911896,0.30204665660858154,0.13933385908603668,0.22042374312877655,0.342966228723526,0.38482627272605896,0.264628142118454
translunar,0.26625320315361023,0.14291997253894806,0.33685752749443054,0.21224260330200195,0.2135772407054901,0.23528465628623962,0.33685752749443054,0.32788676023483276,0.2002187967300415,0.1915963590145111,0.18498238921165466,0.20906975865364075,0.23503059148788452
injection,0.14797130227088928,0.1737469583749771,0.1610984355211258,0.15845763683319092,0.19216690957546234,0.15771158039569855,0.1610984355211258,0.1562938541173935,0.23144952952861786,0.08286259323358536,0.12833455204963684,0.21291203796863556,0.2609370946884155
after,0.21973377466201782,0.30330467224121094,0.4565047025680542,0.3736267685890198,0.18558694422245026,0.44050168991088867,0.4565047025680542,0.24207474291324615,0.08713581413030624,0.34383532404899597,0.3247016668319702,0.2641523480415344,0.16608688235282898
reaching,0.2432754784822464,0.2354024350643158,0.3691650927066803,0.2671930491924286,0.21302874386310577,0.2730024755001068,0.3691650927066803,0.12157956510782242,0.16641362011432648,0.30297982692718506,0.3125315010547638,0.22344103455543518,0.13075216114521027
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.3655064105987549,0.2036506086587906,0.539380669593811,0.5829201340675354,0.20805643498897552,0.21861357986927032,0.28924596309661865,0.32523053884506226,0.3023574650287628,0.23916715383529663
parking,0.15230520069599152,0.1876780092716217,0.21832305192947388,0.1306348294019699,0.12492266297340393,0.21193821728229523,0.21832305192947388,0.1012822687625885,0.05774013325572014,0.23217524588108063,0.21050278842449188,0.3020208179950714,0.1308860033750534
orbit,0.19471463561058044,0.1529427319765091,0.1565481424331665,0.13410668075084686,0.20040342211723328,0.13808301091194153,0.1565481424331665,0.5035338401794434,0.13204096257686615,0.1267048418521881,0.19035765528678894,0.2126082181930542,0.16621392965316772
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.346034437417984,0.19994208216667175,0.5591574311256409,0.5934505462646484,0.23308148980140686,0.2973858416080475,0.26526886224746704,0.351434588432312,0.3253456652164459,0.4130953550338745
