,to,what,did,tesla,attribute,the,unknown,signals,his,radio,received,?
during,0.2828781306743622,0.24137552082538605,0.30679523944854736,0.08954931050539017,0.04982126131653786,0.4838213622570038,0.18052420020103455,0.22415748238563538,0.36789870262145996,0.1942339539527893,0.25723084807395935,0.1325719803571701
his,0.3715193271636963,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.17344863712787628,0.4394008219242096,0.29005128145217896,0.15422292053699493,0.9999998807907104,0.2184859812259674,0.3627238869667053,0.18075084686279297
time,0.3679993152618408,0.36319252848625183,0.3567926585674286,0.14928559958934784,0.19914181530475616,0.43061500787734985,0.2204640507698059,0.2768561542034149,0.3553589880466461,0.18467624485492706,0.1648865044116974,0.27391523122787476
at,0.36524343490600586,0.2838611304759979,0.28390252590179443,0.16552478075027466,0.1332470327615738,0.457212895154953,0.20481207966804504,0.17530982196331024,0.27659502625465393,0.20139797031879425,0.2666997015476227,0.21978627145290375
his,0.3715193271636963,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.17344863712787628,0.4394008219242096,0.29005128145217896,0.15422292053699493,0.9999998807907104,0.2184859812259674,0.3627238869667053,0.18075084686279297
lab,0.22717534005641937,0.20529143512248993,0.19881273806095123,0.24769280850887299,0.07213207334280014,0.19908973574638367,0.17042523622512817,0.2357398122549057,0.19110973179340363,0.19324994087219238,0.12572462856769562,0.15959888696670532
",",0.44245919585227966,0.3087472915649414,0.3015086054801941,0.20599327981472015,0.1828274130821228,0.4933079481124878,0.26479753851890564,0.18197466433048248,0.3378419280052185,0.25251123309135437,0.2926693558692932,0.31091248989105225
tesla,0.17548894882202148,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.18187566101551056,0.1324402391910553,0.16156964004039764,0.2646845281124115,0.1580733060836792,0.2212681919336319,0.1541121006011963,0.10250775516033173
observed,0.1710500717163086,0.26469987630844116,0.24909503757953644,0.09774472564458847,0.21594569087028503,0.26280322670936584,0.2265918254852295,0.31335723400115967,0.13347531855106354,0.21372710168361664,0.18802988529205322,0.12128034234046936
unusual,0.24503271281719208,0.2481527328491211,0.2949359118938446,0.09725624322891235,0.1672838032245636,0.3101860284805298,0.2870025038719177,0.2346826046705246,0.2677752375602722,0.11224956065416336,0.18263593316078186,0.1398017257452011
signals,0.28668031096458435,0.2608519196510315,0.16955922544002533,0.2646845281124115,0.1540936678647995,0.28817644715309143,0.1484718769788742,0.9999999403953552,0.15422292053699493,0.42237377166748047,0.18302223086357117,0.09948804974555969
from,0.4069952368736267,0.2737620174884796,0.20248863101005554,0.10324860364198685,0.21497555077075958,0.40150508284568787,0.2438245564699173,0.19812537729740143,0.3195365369319916,0.15859435498714447,0.26433753967285156,0.19969791173934937
his,0.3715193271636963,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.17344863712787628,0.4394008219242096,0.29005128145217896,0.15422292053699493,0.9999998807907104,0.2184859812259674,0.3627238869667053,0.18075084686279297
receiver,0.25238820910453796,0.17021551728248596,0.15293848514556885,0.2455529272556305,0.1999817043542862,0.21850530803203583,0.15385477244853973,0.4482312798500061,0.20823781192302704,0.3553605377674103,0.5054073929786682,0.11587938666343689
which,0.5345056653022766,0.5261979103088379,0.2750149369239807,0.2203940600156784,0.31301191449165344,0.6521818041801453,0.23556388914585114,0.3268090486526489,0.32283493876457214,0.20020823180675507,0.15137042105197906,0.25814583897590637
he,0.385390967130661,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.12412456423044205,0.4571082592010498,0.19601596891880035,0.1314157098531723,0.7171558737754822,0.25190144777297974,0.28511229157447815,0.2089974731206894
concluded,0.270562082529068,0.29084116220474243,0.34469136595726013,0.21324798464775085,0.17078231275081635,0.3024786412715912,0.2594694495201111,0.28225040435791016,0.2414955049753189,0.1390141397714615,0.26270192861557007,0.13595789670944214
may,0.391582727432251,0.25739946961402893,0.3038632869720459,0.13961349427700043,0.23918096721172333,0.2694292366504669,0.29065459966659546,0.22409017384052277,0.17931339144706726,0.1495540291070938,0.19754676520824432,0.2768254578113556
be,0.4972836375236511,0.3929833769798279,0.22657383978366852,0.15180771052837372,0.3566576838493347,0.4248143136501312,0.20627230405807495,0.2467658817768097,0.21738691627979279,0.16669291257858276,0.14841865003108978,0.3324260413646698
communications,0.2257905900478363,0.18950708210468292,0.18106533586978912,0.27045947313308716,0.15924549102783203,0.2746332883834839,0.04729866608977318,0.540164589881897,0.1989680677652359,0.43149295449256897,0.23991890251636505,0.09561901539564133
from,0.4069952368736267,0.2737620174884796,0.20248863101005554,0.10324860364198685,0.21497555077075958,0.40150508284568787,0.2438245564699173,0.19812537729740143,0.3195365369319916,0.15859435498714447,0.26433753967285156,0.19969791173934937
another,0.48769932985305786,0.4190070629119873,0.29175329208374023,0.1668986827135086,0.2652401328086853,0.5019711852073669,0.2243630737066269,0.2159576267004013,0.349472314119339,0.16233012080192566,0.1377011090517044,0.295511931180954
planet,0.2017485797405243,0.2183026820421219,0.14096175134181976,0.16474445164203644,0.10446272045373917,0.2470240592956543,0.20937786996364594,0.21292054653167725,0.19637727737426758,0.22359678149223328,0.13950568437576294,0.16979767382144928
.,0.4645031690597534,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.22956767678260803,0.5934505462646484,0.287919819355011,0.1770751029253006,0.3119256794452667,0.20650681853294373,0.25050681829452515,0.4130953550338745
