,the,two,listed,teams,play,for,which,ncaa,group,?
the,1.0,0.43858039379119873,0.31246060132980347,0.3164927661418915,0.24793598055839539,0.4739971458911896,0.6521818041801453,0.24887123703956604,0.30795547366142273,0.22068053483963013
ucla,0.19696348905563354,0.1799263209104538,0.0849817544221878,0.29032593965530396,0.20927278697490692,0.2088073492050171,0.20724564790725708,0.3477056622505188,0.15607155859470367,0.12076085060834885
bruins,0.2325112223625183,0.14743423461914062,0.20185966789722443,0.44273895025253296,0.2968040108680725,0.18452434241771698,0.12875641882419586,0.37627002596855164,0.08828958123922348,0.12275101244449615
and,0.5171257257461548,0.4671151638031006,0.2351783663034439,0.2197335660457611,0.25634777545928955,0.5064792633056641,0.506277859210968,0.1790636032819748,0.3510662019252777,0.20544172823429108
the,1.0,0.43858039379119873,0.31246060132980347,0.3164927661418915,0.24793598055839539,0.4739971458911896,0.6521818041801453,0.24887123703956604,0.30795547366142273,0.22068053483963013
usc,0.1807693988084793,0.14003850519657135,0.04349498823285103,0.3626649081707001,0.22589540481567383,0.21826307475566864,0.1278369128704071,0.42561203241348267,0.17874307930469513,0.0950627475976944
trojans,0.28302961587905884,0.21363282203674316,0.06166212260723114,0.2749859392642975,0.29214972257614136,0.148779034614563,0.25902095437049866,0.31874483823776245,0.1575004756450653,0.14886076748371124
both,0.4931981563568115,0.6091675162315369,0.27614933252334595,0.25199511647224426,0.2619777321815491,0.3887220323085785,0.5140923857688904,0.2023119479417801,0.2148570716381073,0.19455738365650177
field,0.2105809599161148,0.18983325362205505,0.1998390257358551,0.2822924852371216,0.189304918050766,0.24342265725135803,0.21286733448505402,0.25220027565956116,0.17596715688705444,0.11279727518558502
teams,0.3164927661418915,0.29386359453201294,0.18134334683418274,1.0,0.3838494122028351,0.25904974341392517,0.22479400038719177,0.5362725257873535,0.27687370777130127,0.11150168627500534
in,0.6662389636039734,0.36463531851768494,0.2905867397785187,0.2639528214931488,0.24321173131465912,0.4322226941585541,0.4840516746044159,0.19002242386341095,0.2304753065109253,0.20430970191955566
ncaa,0.24887123703956604,0.23596663773059845,0.16781695187091827,0.5362725257873535,0.3575809597969055,0.18519383668899536,0.19999803602695465,1.0,0.16487888991832733,0.14618685841560364
division,0.26203617453575134,0.21157854795455933,0.1561783254146576,0.34903520345687866,0.19992034137248993,0.20737119019031525,0.27775809168815613,0.43689456582069397,0.21565891802310944,0.08900629729032516
i,0.26687872409820557,0.18247975409030914,0.22198793292045593,0.20157484710216522,0.1921231597661972,0.257647842168808,0.25654318928718567,0.267013818025589,0.06124149262905121,0.4695145785808563
in,0.6662389636039734,0.36463531851768494,0.2905867397785187,0.2639528214931488,0.24321173131465912,0.4322226941585541,0.4840516746044159,0.19002242386341095,0.2304753065109253,0.20430970191955566
the,1.0,0.43858039379119873,0.31246060132980347,0.3164927661418915,0.24793598055839539,0.4739971458911896,0.6521818041801453,0.24887123703956604,0.30795547366142273,0.22068053483963013
pac-12,0.1772192418575287,0.1836523711681366,-0.019870691001415253,0.21183687448501587,0.2802633047103882,0.12361526489257812,0.17036284506320953,0.1504131555557251,0.18182989954948425,0.09080679714679718
conference,0.25393402576446533,0.18022124469280243,0.10171391814947128,0.4815843105316162,0.2682257294654846,0.21981438994407654,0.178037628531456,0.5319065451622009,0.20237058401107788,0.11172781884670258
",",0.4933079481124878,0.35859420895576477,0.30069199204444885,0.22220629453659058,0.2231253683567047,0.4464869201183319,0.3658004403114319,0.21613842248916626,0.2809832692146301,0.31091248989105225
and,0.5171257257461548,0.4671151638031006,0.2351783663034439,0.2197335660457611,0.25634777545928955,0.5064792633056641,0.506277859210968,0.1790636032819748,0.3510662019252777,0.20544172823429108
there,0.47025805711746216,0.40416133403778076,0.3597327172756195,0.2347501516342163,0.15221142768859863,0.3728419542312622,0.45256471633911133,0.2052733153104782,0.21350394189357758,0.29405656456947327
is,0.5823672413825989,0.2315155267715454,0.24937160313129425,0.1845376342535019,0.2174319475889206,0.43268078565597534,0.4457404911518097,0.18076343834400177,0.22153858840465546,0.22961433231830597
a,0.5829201340675354,0.3289857804775238,0.20046192407608032,0.21163642406463623,0.21130098402500153,0.44038116931915283,0.56894451379776,0.17237533628940582,0.2594761848449707,0.23916715383529663
longtime,0.2717287242412567,0.19734618067741394,0.10040923207998276,0.19838154315948486,0.22306683659553528,0.29208657145500183,0.2204979509115219,0.2351573258638382,0.19476543366909027,0.07657656818628311
rivalry,0.227608323097229,0.28480735421180725,0.05172351375222206,0.3709959089756012,0.2729874849319458,0.12480449676513672,0.2244318276643753,0.28585028648376465,0.1890832930803299,0.09352650493383408
between,0.39067012071609497,0.4709945023059845,0.140205517411232,0.2592417001724243,0.1693342924118042,0.24671313166618347,0.395174115896225,0.0736851766705513,0.22781062126159668,0.12887074053287506
the,1.0,0.43858039379119873,0.31246060132980347,0.3164927661418915,0.24793598055839539,0.4739971458911896,0.6521818041801453,0.24887123703956604,0.30795547366142273,0.22068053483963013
schools,0.22905772924423218,0.2389073520898819,0.18513703346252441,0.31099826097488403,0.1652936190366745,0.2320515662431717,0.23417861759662628,0.31996631622314453,0.17403405904769897,0.18349280953407288
.,0.5934505462646484,0.3524959683418274,0.2932872176170349,0.23459066450595856,0.25552695989608765,0.4726039469242096,0.45942068099975586,0.20997175574302673,0.27268800139427185,0.4130953550338745
