,who,developed,the,2007,imaging,campaign,for,abc,?
also,0.47919341921806335,0.22669373452663422,0.6021018624305725,-0.12040205299854279,0.2132275402545929,0.23032592236995697,0.5373267531394958,0.2030053734779358,0.21848613023757935
developed,0.1288115680217743,1.0000001192092896,0.24490751326084137,-0.015725569799542427,0.27424731850624084,0.05099000409245491,0.22294896841049194,0.11176540702581406,0.10763012617826462
by,0.39727845788002014,0.2796236276626587,0.4408751428127289,-0.14437821507453918,0.1603715717792511,0.15816208720207214,0.3248702883720398,0.17600902915000916,0.17966607213020325
troika,0.15808534622192383,0.17223137617111206,0.19809454679489136,-0.20792719721794128,0.14800427854061127,0.22878219187259674,0.17175541818141937,0.14733187854290009,0.1416107714176178
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,-0.24049624800682068,0.1535363644361496,0.18021923303604126,0.4464869201183319,0.2097204476594925,0.31091248989105225
the,0.3733934462070465,0.24490751326084137,1.0,-0.23657195270061493,0.19243761897087097,0.2755736708641052,0.4739971458911896,0.2068762183189392,0.22068053483963013
on-air,0.1905902922153473,0.2373659908771515,0.3116612732410431,-0.13566508889198303,0.2444445937871933,0.13234932720661163,0.2510004937648773,0.14554472267627716,0.20872481167316437
design,0.12787467241287231,0.3184886574745178,0.27913451194763184,-0.09561098366975784,0.3159000873565674,0.21361687779426575,0.2477298229932785,0.131185382604599,0.16351860761642456
was,0.3318818509578705,0.3253139555454254,0.48711544275283813,-0.29168957471847534,0.14484600722789764,0.2556212544441223,0.3863949179649353,0.21565799415111542,0.18412111699581146
intended,0.24192431569099426,0.2659679055213928,0.29853108525276184,-0.10729331523180008,0.2271486073732376,0.2648890018463135,0.31711438298225403,0.17204053699970245,0.21823447942733765
to,0.42656609416007996,0.19491806626319885,0.535392165184021,-0.1738293468952179,0.17666667699813843,0.24738837778568268,0.4451248347759247,0.1762417107820511,0.29463258385658264
emphasize,0.16592749953269958,0.2648639976978302,0.23146559298038483,-0.04501786455512047,0.1654626429080963,0.15625883638858795,0.22016911208629608,0.19192096590995789,0.2706180810928345
the,0.3733934462070465,0.24490751326084137,1.0,-0.23657195270061493,0.19243761897087097,0.2755736708641052,0.4739971458911896,0.2068762183189392,0.22068053483963013
availability,0.039410825818777084,0.21496625244617462,0.23529793322086334,0.0561135932803154,0.2710251808166504,0.19019754230976105,0.32922399044036865,0.15820550918579102,0.2022707462310791
of,0.2827862501144409,0.21960023045539856,0.733189046382904,-0.21244128048419952,0.2478860467672348,0.23278115689754486,0.4185989499092102,0.14607268571853638,0.1826142966747284
abc,0.14673753082752228,0.11176540702581406,0.2068762183189392,-0.09789758175611496,0.09563563019037247,0.17480497062206268,0.22510288655757904,1.0000001192092896,0.19065172970294952
content,0.17492562532424927,0.14248739182949066,0.21174471080303192,-0.05632606893777847,0.2141454815864563,0.22661371529102325,0.2708386182785034,0.18555805087089539,0.37093979120254517
across,0.23016521334648132,0.20929346978664398,0.3816230297088623,-0.1521328240633011,0.2463277131319046,0.1970929056406021,0.20198741555213928,0.1354796588420868,0.17034576833248138
multiple,0.18654736876487732,0.09311877191066742,0.20022359490394592,0.001281515578739345,0.22934262454509735,0.0977889820933342,0.25015708804130554,0.0989222452044487,0.1591399908065796
platforms,0.14513778686523438,0.24440594017505646,0.2128308266401291,-0.12280046194791794,0.23319704830646515,0.18897725641727448,0.21781682968139648,0.18650953471660614,0.1453811228275299
(,0.2443375140428543,0.12649273872375488,0.33289089798927307,-0.12156467884778976,0.1157996729016304,0.09469635039567947,0.3357032239437103,0.183883935213089,0.40561532974243164
