,what,type,of,immune,cells,help,to,destroy,abnormal,cells,in,tumors,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21364226937294006,0.19095487892627716,0.30064165592193604,0.535392165184021,0.29802682995796204,0.25143370032310486,0.19095487892627716,0.6662389636039734,0.25303611159324646,0.22068053483963013
main,0.2344268560409546,0.19361430406570435,0.3177044689655304,0.16125424206256866,0.12159634381532669,0.2166966050863266,0.26116618514060974,0.24702894687652588,0.1463949978351593,0.12159634381532669,0.28862449526786804,0.1645713746547699,0.1665669083595276
response,0.3532308340072632,0.16400909423828125,0.21864040195941925,0.43541768193244934,0.30744311213493347,0.3218093812465668,0.277526319026947,0.21116270124912262,0.31632813811302185,0.30744311213493347,0.20744606852531433,0.24788260459899902,0.2007838636636734
of,0.33290785551071167,0.18112817406654358,1.0,0.16620753705501556,0.21305565536022186,0.22745388746261597,0.41548454761505127,0.24830657243728638,0.2538740932941437,0.21305565536022186,0.5696388483047485,0.28337860107421875,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21364226937294006,0.19095487892627716,0.30064165592193604,0.535392165184021,0.29802682995796204,0.25143370032310486,0.19095487892627716,0.6662389636039734,0.25303611159324646,0.22068053483963013
immune,0.2410416603088379,0.21810857951641083,0.16620753705501556,1.0,0.5300963521003723,0.2910851538181305,0.2541976273059845,0.2838134467601776,0.41391709446907043,0.5300963521003723,0.14682820439338684,0.4806292951107025,0.16080476343631744
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.3962631821632385,0.29856014251708984,0.1941203773021698,0.26662686467170715,0.17673254013061523,0.2848973274230957,0.29856014251708984,0.21978288888931274,0.26054030656814575,0.15556083619594574
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2541976273059845,0.26320719718933105,0.46191298961639404,1.0,0.3207848370075226,0.24547521770000458,0.26320719718933105,0.45010748505592346,0.233868807554245,0.29463258385658264
tumors,0.2539352476596832,0.18051652610301971,0.28337860107421875,0.4806292951107025,0.5030745267868042,0.290824830532074,0.233868807554245,0.1842450648546219,0.5741731524467468,0.5030745267868042,0.2281162291765213,1.0000001192092896,0.1883699893951416
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2092347890138626,0.1644774079322815,0.152378648519516,0.42745086550712585,0.18694932758808136,0.2275087535381317,0.1644774079322815,0.5394441485404968,0.20278756320476532,0.22961433231830597
