,in,what,two,age,groups,is,the,strength,of,the,immune,system,reduced,?
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.24711290001869202,0.27790749073028564,0.5823672413825989,1.0,0.22000056505203247,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.2897622883319855,0.22068053483963013
ability,0.16374780237674713,0.26366251707077026,0.1494230329990387,0.19777606427669525,0.18915271759033203,0.18390236794948578,0.24997951090335846,0.3706968128681183,0.21105368435382843,0.24997951090335846,0.37216833233833313,0.215677410364151,0.26395487785339355,0.1955445408821106
of,0.5696388483047485,0.33290785551071167,0.37726253271102905,0.2372717410326004,0.24723079800605774,0.4854315221309662,0.733189046382904,0.2074614018201828,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.30275818705558777,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.24711290001869202,0.27790749073028564,0.5823672413825989,1.0,0.22000056505203247,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.2897622883319855,0.22068053483963013
immune,0.14682820439338684,0.2410416603088379,0.15377098321914673,0.10684692114591599,0.16603876650333405,0.2092347890138626,0.21364226937294006,0.23985575139522552,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.18468129634857178,0.16080476343631744
system,0.21978288888931274,0.23557309806346893,0.14671745896339417,0.11681437492370605,0.16803652048110962,0.2282046526670456,0.3233085572719574,0.22984157502651215,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.17879654467105865,0.15556083619594574
to,0.45010748505592346,0.455847829580307,0.3343428373336792,0.23830388486385345,0.24181967973709106,0.42745086550712585,0.535392165184021,0.2638579308986664,0.41548454761505127,0.535392165184021,0.2541976273059845,0.26662686467170715,0.23179234564304352,0.29463258385658264
respond,0.20842644572257996,0.42141762375831604,0.19055180251598358,0.10660555958747864,0.1975962221622467,0.18442408740520477,0.24966585636138916,0.2826628088951111,0.19069483876228333,0.24966585636138916,0.4430158734321594,0.22456493973731995,0.23942585289478302,0.2554577887058258
to,0.45010748505592346,0.455847829580307,0.3343428373336792,0.23830388486385345,0.24181967973709106,0.42745086550712585,0.535392165184021,0.2638579308986664,0.41548454761505127,0.535392165184021,0.2541976273059845,0.26662686467170715,0.23179234564304352,0.29463258385658264
pathogens,0.17208784818649292,0.24503889679908752,0.15383751690387726,0.11229739338159561,0.22591103613376617,0.19907276332378387,0.23115308582782745,0.23632466793060303,0.22946582734584808,0.23115308582782745,0.5922579765319824,0.29995468258857727,0.2333492934703827,0.21364152431488037
is,0.5394441485404968,0.28837618231773376,0.2315155267715454,0.17962174117565155,0.19906288385391235,1.0,0.5823672413825989,0.17222268879413605,0.4854315221309662,0.5823672413825989,0.2092347890138626,0.2282046526670456,0.17229968309402466,0.22961433231830597
diminished,0.21764640510082245,0.2555038034915924,0.17792895436286926,0.1545272022485733,0.1044766753911972,0.19851166009902954,0.30645841360092163,0.31669217348098755,0.27740272879600525,0.30645841360092163,0.22255033254623413,0.27848273515701294,0.3928925693035126,0.15964849293231964
in,1.0,0.30808621644973755,0.36463531851768494,0.30576348304748535,0.22620722651481628,0.5394441485404968,0.6662389636039734,0.19223929941654205,0.5696388483047485,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.2766173183917999,0.20430970191955566
both,0.3960166871547699,0.3361809551715851,0.6091675162315369,0.10923915356397629,0.2229064553976059,0.31409940123558044,0.4931981563568115,0.28197211027145386,0.3565710783004761,0.4931981563568115,0.20888829231262207,0.2039085328578949,0.24905602633953094,0.19455738365650177
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.24711290001869202,0.27790749073028564,0.5823672413825989,1.0,0.22000056505203247,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.2897622883319855,0.22068053483963013
young,0.24628505110740662,0.18808799982070923,0.21173395216464996,0.353665828704834,0.15505290031433105,0.164752796292305,0.2729646563529968,0.08887263387441635,0.28555598855018616,0.2729646563529968,0.14914295077323914,0.11051218211650848,0.1326965093612671,0.14931946992874146
and,0.4954058527946472,0.31309178471565247,0.4671151638031006,0.20936404168605804,0.29783302545547485,0.3859752118587494,0.5171257257461548,0.2987574636936188,0.5116966962814331,0.5171257257461548,0.14400269091129303,0.231138214468956,0.266709566116333,0.20544172823429108
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.24711290001869202,0.27790749073028564,0.5823672413825989,1.0,0.22000056505203247,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.2897622883319855,0.22068053483963013
elderly,0.22165213525295258,0.17725563049316406,0.1648184359073639,0.21636757254600525,0.1442810297012329,0.12899243831634521,0.16612406075000763,0.2212962806224823,0.19971641898155212,0.16612406075000763,0.2849928140640259,0.19014453887939453,0.1895916759967804,0.10221173614263535
",",0.5201468467712402,0.3087472915649414,0.35859420895576477,0.2693369388580322,0.2671695053577423,0.4691906273365021,0.4933079481124878,0.20631180703639984,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.19148744642734528,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.4333336651325226,0.1666649878025055,0.22698035836219788,0.3250955045223236,0.4223487675189972,0.18305708467960358,0.41827285289764404,0.4223487675189972,0.20084229111671448,0.14296101033687592,0.2744283378124237,0.2433311939239502
immune,0.14682820439338684,0.2410416603088379,0.15377098321914673,0.10684692114591599,0.16603876650333405,0.2092347890138626,0.21364226937294006,0.23985575139522552,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.18468129634857178,0.16080476343631744
responses,0.1903737336397171,0.3741379678249359,0.22166326642036438,0.07351058721542358,0.2239551991224289,0.20693311095237732,0.25337323546409607,0.2964435815811157,0.202371284365654,0.25337323546409607,0.4776917099952698,0.3241274952888489,0.23531502485275269,0.23588258028030396
beginning,0.3787442147731781,0.3351518511772156,0.27757659554481506,0.3231316804885864,0.23573654890060425,0.2446223646402359,0.49622642993927,0.2136625200510025,0.36558160185813904,0.49622642993927,0.12583096325397491,0.18550381064414978,0.23545484244823456,0.19413669407367706
to,0.45010748505592346,0.455847829580307,0.3343428373336792,0.23830388486385345,0.24181967973709106,0.42745086550712585,0.535392165184021,0.2638579308986664,0.41548454761505127,0.535392165184021,0.2541976273059845,0.26662686467170715,0.23179234564304352,0.29463258385658264
decline,0.2551143169403076,0.2257683128118515,0.1246776282787323,0.26105016469955444,0.16289636492729187,0.12723320722579956,0.2774365544319153,0.15823405981063843,0.20493058860301971,0.2774365544319153,0.18060025572776794,0.16076113283634186,0.36535564064979553,0.131937175989151
at,0.4374977946281433,0.2838611304759979,0.32178381085395813,0.32409605383872986,0.1457347422838211,0.25906258821487427,0.457212895154953,0.11007314175367355,0.42558613419532776,0.457212895154953,0.11740119010210037,0.1684759259223938,0.2188580185174942,0.21978627145290375
around,0.41294145584106445,0.27475327253341675,0.3028758764266968,0.20848071575164795,0.17293961346149445,0.286477267742157,0.40085816383361816,0.11713000386953354,0.3296394646167755,0.40085816383361816,0.10801970213651657,0.18102394044399261,0.22543224692344666,0.14729668200016022
50,0.021892361342906952,-0.04124141484498978,0.019217558205127716,-0.065655417740345,0.00016366579802706838,0.0017694636480882764,0.03602437674999237,-0.04547935351729393,0.006577443331480026,0.03602437674999237,-0.05959859490394592,-0.0891985297203064,0.004794838838279247,0.030512850731611252
years,0.33554986119270325,0.1981470286846161,0.301040381193161,0.477315217256546,0.2067231386899948,0.19551363587379456,0.2912273406982422,0.1330822855234146,0.2904134690761566,0.2912273406982422,0.09523731470108032,0.16418379545211792,0.22380317747592926,0.1914375126361847
of,0.5696388483047485,0.33290785551071167,0.37726253271102905,0.2372717410326004,0.24723079800605774,0.4854315221309662,0.733189046382904,0.2074614018201828,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.30275818705558777,0.1826142966747284
age,0.30576348304748535,0.1895245760679245,0.17036275565624237,0.9999998807907104,0.1695890575647354,0.17962174117565155,0.24711290001869202,0.14222948253154755,0.2372717410326004,0.24711290001869202,0.10684692114591599,0.11681437492370605,0.16531693935394287,0.16859300434589386
due,0.2516716718673706,0.15204688906669617,0.12693347036838531,0.17963814735412598,0.11818725615739822,0.24065633118152618,0.22577603161334991,0.23763436079025269,0.2533245384693146,0.22577603161334991,0.1782929003238678,0.15328989923000336,0.35902467370033264,0.10954997688531876
to,0.45010748505592346,0.455847829580307,0.3343428373336792,0.23830388486385345,0.24181967973709106,0.42745086550712585,0.535392165184021,0.2638579308986664,0.41548454761505127,0.535392165184021,0.2541976273059845,0.26662686467170715,0.23179234564304352,0.29463258385658264
immunosenescence,0.24595898389816284,0.2956569790840149,0.271719366312027,0.2281905859708786,0.2732490599155426,0.2493201047182083,0.3238423764705658,0.29665032029151917,0.3239300549030304,0.3238423764705658,0.7031857967376709,0.38482344150543213,0.26098233461380005,0.1730804145336151
