,who,has,expressed,distaste,for,the,canonicity,of,doctor,who,stories,by,other,media,?
in,0.2792111933231354,0.4173259735107422,0.22785329818725586,0.1991024911403656,0.4322226941585541,0.6662389636039734,0.26049718260765076,0.5696388483047485,0.25567495822906494,0.2792111933231354,0.22487233579158783,0.370934396982193,0.39989137649536133,0.19773486256599426,0.20430970191955566
this,0.3345087468624115,0.4198763072490692,0.29467105865478516,0.26059889793395996,0.5082864165306091,0.6274310946464539,0.34118109941482544,0.45148900151252747,0.16758373379707336,0.3345087468624115,0.1666046679019928,0.38438332080841064,0.43044695258140564,0.20491020381450653,0.3155723512172699
respect,0.3198765516281128,0.2247052937746048,0.41187986731529236,0.26993507146835327,0.27822989225387573,0.2571326196193695,0.3450503349304199,0.2707009017467499,0.11069447547197342,0.3198765516281128,0.12484752386808395,0.23816794157028198,0.2781746983528137,0.1527458280324936,0.2402682900428772
it,0.2868398427963257,0.41962623596191406,0.18451052904129028,0.2927326261997223,0.32171204686164856,0.6251175999641418,0.2742711901664734,0.38761502504348755,0.24568085372447968,0.2868398427963257,0.18273212015628815,0.40926623344421387,0.36282607913017273,0.19141267240047455,0.25732165575027466
is,0.24293622374534607,0.5668748617172241,0.18876376748085022,0.20808546245098114,0.43268078565597534,0.5823672413825989,0.29306939244270325,0.4854315221309662,0.19875872135162354,0.24293622374534607,0.1537809520959854,0.3899846076965332,0.25895947217941284,0.1800607591867447,0.22961433231830597
noteworthy,0.24054308235645294,0.27971529960632324,0.15672677755355835,0.16161447763442993,0.29803353548049927,0.26964497566223145,0.28191280364990234,0.2360096126794815,0.11468096077442169,0.24054308235645294,0.18874967098236084,0.17185698449611664,0.3082807958126068,0.24536782503128052,0.34341129660606384
that,0.45444270968437195,0.41272613406181335,0.3005213737487793,0.3239620327949524,0.4137635827064514,0.5473989248275757,0.32177579402923584,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.26853734254837036,0.37496164441108704,0.5570666193962097,0.2675379812717438,0.32716336846351624
the,0.3733934462070465,0.4177538752555847,0.25207287073135376,0.2536308467388153,0.4739971458911896,1.0,0.3183150291442871,0.733189046382904,0.2820442318916321,0.3733934462070465,0.2397296130657196,0.4408751428127289,0.44152235984802246,0.19221965968608856,0.22068053483963013
bbc,0.2086644321680069,0.1988421231508255,0.10434698313474655,0.12803786993026733,0.21995361149311066,0.2735401690006256,0.17672660946846008,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.22869205474853516,0.20133090019226074,0.15187552571296692,0.2698371410369873,0.20556949079036713
takes,0.16409184038639069,0.309713214635849,0.16432102024555206,0.22324398159980774,0.2826521694660187,0.33578023314476013,0.18418727815151215,0.3277401030063629,0.21762970089912415,0.16409184038639069,0.16262224316596985,0.17897608876228333,0.20307515561580658,0.13398602604866028,0.10935472697019577
