,when,did,oxygen,begin,to,move,from,the,oceans,to,the,atmosphere,?
when,0.9999999403953552,0.3228907287120819,0.28107690811157227,0.3341256082057953,0.5423505902290344,0.3272045850753784,0.405669629573822,0.5091903209686279,0.24157823622226715,0.5423505902290344,0.5091903209686279,0.2594868540763855,0.22841128706932068
such,0.27679547667503357,0.24497397243976593,0.23563316464424133,0.17120231688022614,0.2871878743171692,0.1918044090270996,0.24813218414783478,0.3575236201286316,0.2948364317417145,0.2871878743171692,0.3575236201286316,0.2553741931915283,0.17851735651493073
oxygen,0.28107690811157227,0.15723921358585358,0.9999999403953552,0.10920078307390213,0.24193501472473145,0.1803768128156662,0.23457925021648407,0.20428593456745148,0.39005953073501587,0.24193501472473145,0.20428593456745148,0.48839667439460754,0.16786395013332367
sinks,0.17933812737464905,0.1051504909992218,0.2184692621231079,0.21597732603549957,0.17692038416862488,0.13395309448242188,0.2079717367887497,0.2229638695716858,0.4198821783065796,0.17692038416862488,0.2229638695716858,0.24688221514225006,0.14273253083229065
became,0.32363733649253845,0.3632316589355469,0.11197445541620255,0.2361007183790207,0.20401327311992645,0.14308784902095795,0.22486808896064758,0.36325156688690186,0.11803784221410751,0.20401327311992645,0.36325156688690186,0.1348935067653656,0.11374033987522125
saturated,0.27310577034950256,0.16275401413440704,0.4748438894748688,0.1639244258403778,0.22931891679763794,0.20732471346855164,0.20972073078155518,0.20719623565673828,0.3727785646915436,0.22931891679763794,0.20719623565673828,0.3608093559741974,0.1959184855222702
",",0.36674630641937256,0.3015086054801941,0.21812842786312103,0.27304404973983765,0.44245919585227966,0.25767531991004944,0.39760664105415344,0.4933079481124878,0.27603986859321594,0.44245919585227966,0.4933079481124878,0.26560261845588684,0.31091248989105225
free,0.25120967626571655,0.1839899867773056,0.24067462980747223,0.1331995129585266,0.2913753390312195,0.1847342997789383,0.22002547979354858,0.22231732308864594,0.18491223454475403,0.2913753390312195,0.22231732308864594,0.15275166928768158,0.1278279572725296
oxygen,0.28107690811157227,0.15723921358585358,0.9999999403953552,0.10920078307390213,0.24193501472473145,0.1803768128156662,0.23457925021648407,0.20428593456745148,0.39005953073501587,0.24193501472473145,0.20428593456745148,0.48839667439460754,0.16786395013332367
began,0.25673019886016846,0.4415510594844818,0.12433157116174698,0.49711355566978455,0.2731419503688812,0.17600803077220917,0.2095840871334076,0.3059147596359253,0.15818624198436737,0.2731419503688812,0.3059147596359253,0.18143579363822937,0.1370266228914261
to,0.5423505902290344,0.4452643394470215,0.24193501472473145,0.33302420377731323,1.0,0.37858664989471436,0.4069952368736267,0.535392165184021,0.2851090431213379,1.0,0.535392165184021,0.24801792204380035,0.29463258385658264
