,what,did,luther,'s,degree,in,1509,concern,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.024063590914011,0.25816109776496887,0.41690486669540405,-0.030471177771687508,0.17805138230323792,0.2089974731206894
received,0.1010502278804779,0.3125181496143341,0.1771141141653061,-0.07378163188695908,0.30802205204963684,0.2772020101547241,0.08331593126058578,0.15685950219631195,0.11905962228775024
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.04866964742541313,0.25289660692214966,0.539380669593811,0.13979719579219818,0.23163463175296783,0.23916715383529663
bachelor,0.19332286715507507,0.18267612159252167,0.13543689250946045,-0.03428642824292183,0.6971407532691956,0.2620902359485626,0.06619848310947418,0.1229434683918953,0.07728833705186844
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,-0.019614629447460175,-0.037580832839012146,0.10109498351812363,-0.05571746826171875,-0.023395681753754616
degree,0.21753965318202972,0.18228070437908173,0.1314706653356552,-0.019614629447460175,0.9999999403953552,0.28089648485183716,0.08999447524547577,0.17500080168247223,0.1060895025730133
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.28089648485183716,1.0,0.15817199647426605,0.21638604998588562,0.20430970191955566
biblical,0.28585752844810486,0.2030898928642273,0.31112417578697205,0.0188311580568552,0.1639806479215622,0.13338269293308258,0.08300860226154327,0.1502377688884735,0.1909967064857483
studies,0.18772079050540924,0.2509125769138336,0.12289933860301971,-0.04059765115380287,0.44417306780815125,0.30442532896995544,0.1605229377746582,0.2089458405971527,0.1388726830482483
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.0026888418942689896,0.16243389248847961,0.46853652596473694,0.02711390145123005,0.176092728972435,0.2714994251728058
9,-0.048040688037872314,0.038853127509355545,-0.05422545224428177,0.048719488084316254,-0.0008985458989627659,0.002698394237086177,0.011239293031394482,-0.001244387705810368,-0.026682810857892036
march,0.20529508590698242,0.27992504835128784,0.21289081871509552,-0.036253921687603,0.10137155652046204,0.29730337858200073,-0.050091538578271866,0.17801442742347717,0.2802562415599823
1508,0.001980111002922058,0.03166724368929863,-0.043351780623197556,0.04394807666540146,0.08256698399782181,-0.0351046584546566,0.09128808230161667,0.04649394378066063,0.005418457556515932
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.1912073791027069,0.5201468467712402,0.10924498736858368,0.2630102038383484,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.2947183847427368,0.4954058527946472,0.22388871014118195,0.2441520392894745,0.20544172823429108
another,0.4190070629119873,0.29175329208374023,0.16183584928512573,0.026405371725559235,0.20272378623485565,0.3397690951824188,0.12214270979166031,0.24466687440872192,0.295511931180954
bachelor,0.19332286715507507,0.18267612159252167,0.13543689250946045,-0.03428642824292183,0.6971407532691956,0.2620902359485626,0.06619848310947418,0.1229434683918953,0.07728833705186844
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,-0.019614629447460175,-0.037580832839012146,0.10109498351812363,-0.05571746826171875,-0.023395681753754616
degree,0.21753965318202972,0.18228070437908173,0.1314706653356552,-0.019614629447460175,0.9999999403953552,0.28089648485183716,0.08999447524547577,0.17500080168247223,0.1060895025730133
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.28089648485183716,1.0,0.15817199647426605,0.21638604998588562,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.20765221118927002,0.6662389636039734,0.20281289517879486,0.23735320568084717,0.22068053483963013
sentences,0.2914929687976837,0.2248407006263733,0.16136953234672546,0.04325569048523903,0.22464148700237274,0.2279798984527588,0.1763012856245041,0.31029683351516724,0.290255606174469
by,0.2455483376979828,0.18574509024620056,0.15382802486419678,-0.010884488001465797,0.16076983511447906,0.370934396982193,0.09333828091621399,0.23804707825183868,0.17966607213020325
peter,0.15377900004386902,0.1588931679725647,0.2545919418334961,0.01096232421696186,0.09579368680715561,0.168073832988739,-0.13117261230945587,0.11067818105220795,0.11650477349758148
lombard,0.2081330269575119,0.17860069870948792,0.1911504566669464,-0.019177455455064774,0.09667433798313141,0.2096066176891327,-0.060220878571271896,0.09538161009550095,0.1444772183895111
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.28089648485183716,1.0,0.15817199647426605,0.21638604998588562,0.20430970191955566
1509,0.19339926540851593,0.11313288658857346,-0.0023287683725357056,0.10109498351812363,0.08999447524547577,0.15817199647426605,1.0,0.20544423162937164,0.10793846100568771
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,-0.003708066651597619,0.20956046879291534,0.5591574311256409,0.13520251214504242,0.24761129915714264,0.4130953550338745
