,what,percentage,of,the,land,cleared,in,the,amazon,is,used,for,growing,livestock,?
seventy,0.15335862338542938,0.22135035693645477,0.321560800075531,0.2998279631137848,0.18253593146800995,0.1411045342683792,0.28690728545188904,0.2998279631137848,0.1172107681632042,0.17844323813915253,0.10149198025465012,0.24659770727157593,0.11774977296590805,0.09666541963815689,0.1451893001794815
percent,0.2506202459335327,0.7300876379013062,0.3004763424396515,0.277066707611084,0.22441795468330383,0.23596027493476868,0.24886950850486755,0.277066707611084,0.1525065302848816,0.24196593463420868,0.16001208126544952,0.23493695259094238,0.2859373092651367,0.2596301734447479,0.14671556651592255
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.3057127296924591,0.18411119282245636,0.5696388483047485,0.733189046382904,0.20143137872219086,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.3095463812351227,0.22532570362091064,0.1826142966747284
formerly,0.1585959643125534,0.09394846111536026,0.27187931537628174,0.2854805290699005,0.1666637808084488,0.16588322818279266,0.25645580887794495,0.2854805290699005,0.053858671337366104,0.3130042850971222,0.256487101316452,0.26421916484832764,0.0671631246805191,0.11520954966545105,0.0843876302242279
forested,0.1903628557920456,0.15096339583396912,0.29406365752220154,0.28944146633148193,0.37590739130973816,0.43064624071121216,0.28676915168762207,0.28944146633148193,0.3254970908164978,0.22585847973823547,0.2686052620410919,0.24289251863956451,0.32665371894836426,0.3885917663574219,0.1228533685207367
land,0.23411516845226288,0.23263606429100037,0.3057127296924591,0.28587454557418823,1.0000001192092896,0.31534913182258606,0.22871792316436768,0.28587454557418823,0.18616637587547302,0.22457899153232574,0.18310055136680603,0.19845563173294067,0.25230300426483154,0.34137997031211853,0.1432059109210968
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.6662389636039734,0.22871792316436768,0.2415894865989685,1.0,0.6662389636039734,0.12227833271026611,0.5394441485404968,0.3090210556983948,0.4322226941585541,0.33161869645118713,0.25368136167526245,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.28587454557418823,0.2800750434398651,0.6662389636039734,1.0,0.260541707277298,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.33280637860298157,0.23593823611736298,0.22068053483963013
amazon,0.16355936229228973,0.13267691433429718,0.20143137872219086,0.260541707277298,0.18616637587547302,0.12150149792432785,0.12227833271026611,0.260541707277298,1.0000001192092896,0.15197539329528809,0.11720351874828339,0.165912926197052,0.1910875290632248,0.21094833314418793,0.18144656717777252
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.22220008075237274,0.2776278555393219,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.4691906273365021,0.3120402991771698,0.4464869201183319,0.2344273030757904,0.2430344521999359,0.31091248989105225
and,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.5171257257461548,0.2874513864517212,0.2928588092327118,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.3859752118587494,0.3150506615638733,0.5064792633056641,0.3007805347442627,0.25556084513664246,0.20544172823429108
