,who,ran,for,a,carolina,touchdown,to,make,the,score,10–7,?
newton,0.19243690371513367,0.12771086394786835,0.18168501555919647,0.1884482353925705,0.2037651538848877,0.29466405510902405,0.2176830768585205,0.1542254388332367,0.1876603662967682,0.12628361582756042,-0.004227795172482729,0.09645649790763855
completed,0.15320545434951782,0.2598651647567749,0.252206027507782,0.2692357301712036,0.13869258761405945,0.24650275707244873,0.2867361009120941,0.16537559032440186,0.29278936982154846,0.13628706336021423,-0.027416512370109558,0.08272653818130493
4,0.09137360751628876,0.09378861635923386,0.03985929489135742,0.08102071285247803,0.17845122516155243,-0.0011191320372745395,0.059323787689208984,-0.053615253418684006,0.15499350428581238,0.06030788645148277,-0.06022384390234947,0.010515431873500347
of,0.2827862501144409,0.21351689100265503,0.4185989499092102,0.5052502155303955,0.26946863532066345,0.15340197086334229,0.41548454761505127,0.2912110388278961,0.733189046382904,0.1790168732404709,0.12741169333457947,0.1826142966747284
4,0.09137360751628876,0.09378861635923386,0.03985929489135742,0.08102071285247803,0.17845122516155243,-0.0011191320372745395,0.059323787689208984,-0.053615253418684006,0.15499350428581238,0.06030788645148277,-0.06022384390234947,0.010515431873500347
passes,0.08672328293323517,0.19862580299377441,0.2133815735578537,0.31111034750938416,0.16553838551044464,0.431114137172699,0.2602662146091461,0.26520684361457825,0.3752402365207672,0.10257738083600998,0.17522495985031128,0.09716983139514923
for,0.37110671401023865,0.28997769951820374,0.9999999403953552,0.44038116931915283,0.17749637365341187,0.26143357157707214,0.4451248347759247,0.386745423078537,0.4739971458911896,0.19645971059799194,0.11727024614810944,0.264628142118454
51,0.0596969798207283,0.008292651735246181,-0.05329293757677078,0.08300291746854782,0.10563528537750244,0.050676796585321426,-0.002829526783898473,-0.07764488458633423,0.026102188974618912,0.012510739266872406,0.06701130419969559,-0.06252402067184448
yards,0.13584628701210022,0.23304535448551178,0.21746347844600677,0.19167225062847137,0.25781071186065674,0.6753588914871216,0.1612969934940338,0.09519078582525253,0.16070343554019928,0.2295611947774887,0.059250976890325546,0.12453813850879669
and,0.41279885172843933,0.21890036761760712,0.5064792633056641,0.3739250600337982,0.22423055768013,0.21398694813251495,0.48971283435821533,0.4160483181476593,0.5171257257461548,0.16766662895679474,0.11413172632455826,0.20544172823429108
rushed,0.22218874096870422,0.2512567937374115,0.22967296838760376,0.22125563025474548,0.18352411687374115,0.37774065136909485,0.24888354539871216,0.13795191049575806,0.25936806201934814,0.17134244740009308,0.12488177418708801,0.10077773034572601
twice,0.24565871059894562,0.2125364989042282,0.3137311041355133,0.3332133889198303,0.10439139604568481,0.292905330657959,0.28163591027259827,0.1498599797487259,0.3638015687465668,0.17078441381454468,0.10630172491073608,0.16248004138469696
for,0.37110671401023865,0.28997769951820374,0.9999999403953552,0.44038116931915283,0.17749637365341187,0.26143357157707214,0.4451248347759247,0.386745423078537,0.4739971458911896,0.19645971059799194,0.11727024614810944,0.264628142118454
25,0.139450341463089,0.1476684808731079,0.16109365224838257,0.12003126740455627,0.15229390561580658,0.13702422380447388,0.12336429208517075,0.1004345715045929,0.1671934723854065,0.12288040667772293,0.031949978321790695,0.09614268690347672
yards,0.13584628701210022,0.23304535448551178,0.21746347844600677,0.19167225062847137,0.25781071186065674,0.6753588914871216,0.1612969934940338,0.09519078582525253,0.16070343554019928,0.2295611947774887,0.059250976890325546,0.12453813850879669
",",0.3365725874900818,0.22539734840393066,0.4464869201183319,0.427140474319458,0.2566046118736267,0.2072077840566635,0.44245919585227966,0.324553906917572,0.4933079481124878,0.16025088727474213,0.11836666613817215,0.31091248989105225
while,0.4068111777305603,0.1810844987630844,0.4232339859008789,0.3733035624027252,0.1686878800392151,0.1975603848695755,0.43899232149124146,0.3550785183906555,0.39804592728614807,0.10791178792715073,0.13864538073539734,0.21076419949531555
jonathan,0.23593327403068542,0.16834528744220734,0.19300298392772675,0.1801629215478897,0.14337006211280823,0.15562714636325836,0.13723334670066833,0.12657444179058075,0.15282690525054932,0.19570118188858032,-0.07902129739522934,0.15653139352798462
stewart,0.27337461709976196,0.20262791216373444,0.18704523146152496,0.1547141820192337,0.23991906642913818,0.18383407592773438,0.17760097980499268,0.17939454317092896,0.2287025898694992,0.18609677255153656,-0.05144200474023819,0.11473192274570465
finished,0.18257364630699158,0.29851391911506653,0.261849045753479,0.2583567202091217,0.12738505005836487,0.2667911946773529,0.24378257989883423,0.24180571734905243,0.2754973769187927,0.19696824252605438,-0.010207897052168846,0.14789283275604248
the,0.3733934462070465,0.28357353806495667,0.4739971458911896,0.5829201340675354,0.24749229848384857,0.1805710643529892,0.535392165184021,0.3146495521068573,1.0,0.2042495757341385,0.13784216344356537,0.22068053483963013
drive,0.14977459609508514,0.19506777822971344,0.2716398239135742,0.24929353594779968,0.10420341044664383,0.23347437381744385,0.291306734085083,0.21869716048240662,0.2083187699317932,0.24250289797782898,0.11537357419729233,0.11447915434837341
