,what,body,in,india,provides,policy,directions,to,schools,?
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
practice,0.2749895751476288,0.24077245593070984,0.24572531878948212,0.2009037584066391,0.24749499559402466,0.3008865714073181,0.220148965716362,0.289366751909256,0.34740740060806274,0.21386858820915222
has,0.20338068902492523,0.1710911989212036,0.4173259735107422,0.18690930306911469,0.32431983947753906,0.20540334284305573,0.20937839150428772,0.3619994819164276,0.2180989682674408,0.15994466841220856
been,0.2567804455757141,0.19744087755680084,0.3515113592147827,0.24302010238170624,0.1957724541425705,0.24523557722568512,0.16960008442401886,0.34945759177207947,0.22632038593292236,0.24354910850524902
for,0.3017193675041199,0.16740016639232635,0.4322226941585541,0.19895431399345398,0.39385566115379333,0.2759707272052765,0.29713428020477295,0.4451248347759247,0.2320515662431717,0.264628142118454
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
union,0.1396910548210144,0.16131378710269928,0.22726479172706604,0.2085992991924286,0.14551974833011627,0.22774790227413177,0.13360638916492462,0.16926777362823486,0.1849786341190338,0.07797172665596008
government,0.28074538707733154,0.2462058663368225,0.3066793978214264,0.28962358832359314,0.19197691977024078,0.42850491404533386,0.14936551451683044,0.28343796730041504,0.3405122756958008,0.18851417303085327
to,0.455847829580307,0.307265043258667,0.45010748505592346,0.23679906129837036,0.2667657732963562,0.26804789900779724,0.3757004141807556,1.0,0.2362271547317505,0.29463258385658264
provide,0.27049049735069275,0.19112665951251984,0.1910654902458191,0.15636368095874786,0.7857827544212341,0.28752654790878296,0.23445658385753632,0.3479624092578888,0.2159915417432785,0.22704634070396423
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
broad,0.21419112384319305,0.2230551391839981,0.22596749663352966,0.17824751138687134,0.30895036458969116,0.2320294827222824,0.20889700949192047,0.30094268918037415,0.17021606862545013,0.15083929896354675
policy,0.3869883120059967,0.13867482542991638,0.1459147185087204,0.20343050360679626,0.2516099512577057,0.9999998807907104,0.23841425776481628,0.26804789900779724,0.27516844868659973,0.30462446808815
directions,0.2756275534629822,0.2588024139404297,0.2085569202899933,0.17252394556999207,0.21963120996952057,0.23841425776481628,1.0000001192092896,0.3757004141807556,0.23417621850967407,0.127141073346138
while,0.35511791706085205,0.20937588810920715,0.3399278521537781,0.18303200602531433,0.2330137938261032,0.2384832501411438,0.25882333517074585,0.43899232149124146,0.21855491399765015,0.21076419949531555
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
states,0.21526020765304565,0.1780509203672409,0.3977442979812622,0.3310488164424896,0.2352302372455597,0.23547987639904022,0.17409896850585938,0.2828785181045532,0.2958741784095764,0.16272737085819244
create,0.2962724268436432,0.22937460243701935,0.21287982165813446,0.13824784755706787,0.35490813851356506,0.2440892457962036,0.2616007328033447,0.41124165058135986,0.17071837186813354,0.300167441368103
their,0.35142919421195984,0.28403112292289734,0.34976133704185486,0.1598251461982727,0.1963401883840561,0.18500499427318573,0.25534531474113464,0.44619059562683105,0.22621867060661316,0.1898253709077835
own,0.35062843561172485,0.29745158553123474,0.31893372535705566,0.15925610065460205,0.21357421576976776,0.2510402798652649,0.24102181196212769,0.35879063606262207,0.2259266972541809,0.1937696635723114
rules,0.3341682255268097,0.17389246821403503,0.2252369076013565,0.09798461943864822,0.2066652625799179,0.38645365834236145,0.2786673903465271,0.24270765483379364,0.31159207224845886,0.22111085057258606
and,0.31309178471565247,0.2872275710105896,0.4954058527946472,0.2782815098762512,0.28077030181884766,0.2148873209953308,0.3029508590698242,0.48971283435821533,0.29319998621940613,0.20544172823429108
regulations,0.21871556341648102,0.28897175192832947,0.24893879890441895,0.23658497631549835,0.3435099124908447,0.3941294550895691,0.31209659576416016,0.2838025987148285,0.32943618297576904,0.17806588113307953
for,0.3017193675041199,0.16740016639232635,0.4322226941585541,0.19895431399345398,0.39385566115379333,0.2759707272052765,0.29713428020477295,0.4451248347759247,0.2320515662431717,0.264628142118454
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
administration,0.2483910471200943,0.19489115476608276,0.25846216082572937,0.21333098411560059,0.24907861649990082,0.46826016902923584,0.19277480244636536,0.2658160626888275,0.3343256115913391,0.14283715188503265
of,0.33290785551071167,0.25063133239746094,0.5696388483047485,0.29747170209884644,0.3119201064109802,0.24393197894096375,0.2176607847213745,0.41548454761505127,0.265506386756897,0.1826142966747284
the,0.42745697498321533,0.31682634353637695,0.6662389636039734,0.3108653426170349,0.29657405614852905,0.2358427494764328,0.310249000787735,0.535392165184021,0.22905772924423218,0.22068053483963013
sector,0.18244388699531555,0.12194322049617767,0.2731133699417114,0.27027860283851624,0.31834471225738525,0.32551953196525574,0.20516157150268555,0.25943341851234436,0.31846946477890015,0.06294605135917664
.,0.3567904531955719,0.29751062393188477,0.5591574311256409,0.29068249464035034,0.1774633228778839,0.25152966380119324,0.28556028008461,0.4645031690597534,0.2752705216407776,0.4130953550338745
