,the,central,pacific,railroad,established,a,station,for,its,new,line,in,what,year,?
in,0.6662389636039734,0.30844059586524963,0.19652380049228668,0.20349381864070892,0.3118882477283478,0.539380669593811,0.21784305572509766,0.4322226941585541,0.3793783485889435,0.3758552670478821,0.2258777767419815,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
1872,0.06752915680408478,0.041801657527685165,0.028360489755868912,-0.0805080384016037,-0.09730666130781174,-0.01570923626422882,0.022702572867274284,-0.027398593723773956,0.08493470400571823,-0.04928335174918175,-0.04078574851155281,0.008064370602369308,0.06312983483076096,0.06914462894201279,0.001245920779183507
",",0.4933079481124878,0.2587154507637024,0.2034771740436554,0.23499074578285217,0.22739723324775696,0.427140474319458,0.2482491284608841,0.4464869201183319,0.33157986402511597,0.36073189973831177,0.22637072205543518,0.5201468467712402,0.3087472915649414,0.28560417890548706,0.31091248989105225
the,1.0,0.3417201042175293,0.28543707728385925,0.2709158957004547,0.33092597126960754,0.5829201340675354,0.23609806597232819,0.4739971458911896,0.559237003326416,0.3845241069793701,0.29789501428604126,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
central,0.3417201042175293,1.0,0.3234509229660034,0.22845497727394104,0.2357141077518463,0.26925721764564514,0.24363192915916443,0.20646226406097412,0.2514321208000183,0.21884363889694214,0.12354019284248352,0.30844059586524963,0.17723965644836426,0.10783684998750687,0.14787602424621582
pacific,0.28543707728385925,0.3234509229660034,1.0000001192092896,0.24620293080806732,0.17359240353107452,0.2022901177406311,0.15143758058547974,0.1557701677083969,0.19847743213176727,0.23307348787784576,0.18455694615840912,0.19652380049228668,0.12389002740383148,0.1733911633491516,0.13060949742794037
railroad,0.2709158957004547,0.22845497727394104,0.24620293080806732,0.9999999403953552,0.18617914617061615,0.2637462913990021,0.3930911719799042,0.15076477825641632,0.2303294986486435,0.23078596591949463,0.2797975540161133,0.20349381864070892,0.16141441464424133,0.15565966069698334,0.0920378789305687
established,0.33092597126960754,0.2357141077518463,0.17359240353107452,0.18617914617061615,0.9999998807907104,0.23500119149684906,0.18398045003414154,0.1717284768819809,0.25293320417404175,0.21703021228313446,0.17255495488643646,0.3118882477283478,0.14869536459445953,0.2346011996269226,0.15917523205280304
a,0.5829201340675354,0.26925721764564514,0.2022901177406311,0.2637462913990021,0.23500119149684906,1.0,0.21760036051273346,0.44038116931915283,0.4424409866333008,0.3214259147644043,0.23499317467212677,0.539380669593811,0.3320399522781372,0.29350247979164124,0.23916715383529663
station,0.23609806597232819,0.24363192915916443,0.15143758058547974,0.3930911719799042,0.18398045003414154,0.21760036051273346,1.0,0.18705002963542938,0.26112502813339233,0.12154681980609894,0.4222986400127411,0.21784305572509766,0.1613752841949463,0.18827493488788605,0.12574981153011322
