,how,many,of,the,episodes,produced,in,the,first,six,seasons,are,not,in,bbc,'s,archives,?
in,0.2601168751716614,0.41474202275276184,0.5696388483047485,0.6662389636039734,0.17357411980628967,0.2542861998081207,1.0,0.6662389636039734,0.4127444326877594,0.3013422191143036,0.2194332778453827,0.3841303884983063,0.3403114080429077,1.0,0.22430340945720673,-0.037580832839012146,0.15187440812587738,0.20430970191955566
all,0.3725806474685669,0.5443700551986694,0.42798417806625366,0.4860881567001343,0.21445471048355103,0.12008082866668701,0.3335905969142914,0.4860881567001343,0.34243571758270264,0.3547627031803131,0.2379743903875351,0.5343062281608582,0.4974499046802521,0.3335905969142914,0.16617724299430847,0.03181743621826172,0.1781069040298462,0.29575422406196594
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.2131132036447525,0.22260788083076477,0.5201468467712402,0.4933079481124878,0.34503069519996643,0.2737274467945099,0.2613678574562073,0.4062570035457611,0.3769696354866028,0.5201468467712402,0.14724469184875488,-0.0016132977325469255,0.23937274515628815,0.31091248989105225
97,0.06215908005833626,0.06148470193147659,0.07042630761861801,0.04433417692780495,-0.0009277045610360801,0.07118754088878632,0.043773192912340164,0.04433417692780495,-0.01758444868028164,0.1334964483976364,-0.049810826778411865,0.11017056554555893,0.09232039749622345,0.043773192912340164,0.036799099296331406,0.08081767708063126,0.04253247007727623,0.1171717420220375
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.19166667759418488,0.18961067497730255,0.5696388483047485,0.733189046382904,0.3536086082458496,0.3317931592464447,0.20746608078479767,0.39081433415412903,0.3307090103626251,0.5696388483047485,0.1797877550125122,-0.03817026689648628,0.19350644946098328,0.1826142966747284
253,-0.030469883233308792,-0.07773560285568237,-0.06120351701974869,-0.09144530445337296,-0.05133610963821411,-0.06929314136505127,-0.07745238393545151,-0.09144530445337296,-0.04983188211917877,-0.0944424718618393,-0.05722859874367714,-0.10640960931777954,-0.005066999699920416,-0.07745238393545151,-0.1435467153787613,-0.015925783663988113,-0.04553847759962082,-0.14874564111232758
episodes,0.16633862257003784,0.17309854924678802,0.19166667759418488,0.1889590173959732,0.9999999403953552,0.2536705434322357,0.17357411980628967,0.1889590173959732,0.21580514311790466,0.22756434977054596,0.4942089021205902,0.1978527158498764,0.1952504813671112,0.17357411980628967,0.37426334619522095,-0.013447972945868969,0.16483287513256073,0.21740183234214783
produced,0.17719948291778564,0.2355157881975174,0.18961067497730255,0.22045251727104187,0.2536705434322357,1.0000001192092896,0.2542861998081207,0.22045251727104187,0.2504335343837738,0.10567005723714828,0.21695159375667572,0.1927390992641449,0.1850743442773819,0.2542861998081207,0.2725476324558258,-0.03862787038087845,0.10812819004058838,0.1623450517654419
during,0.26830652356147766,0.3661181330680847,0.3869180977344513,0.4838213622570038,0.18832220137119293,0.20210334658622742,0.4627237319946289,0.4838213622570038,0.45377472043037415,0.30874213576316833,0.28287580609321594,0.2297976016998291,0.2700311541557312,0.4627237319946289,0.1864195168018341,0.011294117197394371,0.10497884452342987,0.1325719803571701
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.1889590173959732,0.22045251727104187,0.6662389636039734,1.0,0.49448907375335693,0.3614266812801361,0.24226845800876617,0.40399202704429626,0.4310511648654938,0.6662389636039734,0.2735401690006256,-0.01540423184633255,0.22798994183540344,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.3536086082458496,0.49448907375335693,0.21580514311790466,0.2504335343837738,0.4127444326877594,0.49448907375335693,1.0,0.31582528352737427,0.18467745184898376,0.20306691527366638,0.2955942749977112,0.4127444326877594,0.25469130277633667,-0.014458609744906425,0.13907819986343384,0.18701928853988647
six,0.20644865930080414,0.37673795223236084,0.3317931592464447,0.3614266812801361,0.22756434977054596,0.10567005723714828,0.3013422191143036,0.3614266812801361,0.31582528352737427,1.0,0.29915758967399597,0.32657361030578613,0.20696961879730225,0.3013422191143036,0.08515147864818573,0.06576314568519592,0.19734998047351837,0.15298804640769958
