,what,are,teachers,expected,to,give,their,students,?
teachers,0.2526462972164154,0.2565288841724396,1.0,0.19099828600883484,0.2668606638908386,0.19487546384334564,0.2814970314502716,0.7183375358581543,0.19522249698638916
are,0.29724663496017456,1.0,0.2565288841724396,0.19028612971305847,0.3504326641559601,0.2951275110244751,0.46887820959091187,0.2835792899131775,0.24591213464736938
expected,0.3720298707485199,0.19028612971305847,0.19099828600883484,1.0000001192092896,0.42255479097366333,0.27328091859817505,0.3494219481945038,0.2745611369609833,0.19474582374095917
to,0.455847829580307,0.3504326641559601,0.2668606638908386,0.42255479097366333,1.0,0.4396136403083801,0.44619059562683105,0.2905822694301605,0.29463258385658264
respect,0.35592806339263916,0.23922193050384521,0.24541273713111877,0.3101230561733246,0.3208255469799042,0.3555864095687866,0.3666585087776184,0.188728928565979,0.2402682900428772
their,0.35142919421195984,0.46887820959091187,0.2814970314502716,0.3494219481945038,0.44619059562683105,0.3324339687824249,1.0,0.26472482085227966,0.1898253709077835
students,0.2380729615688324,0.2835792899131775,0.7183375358581543,0.2745611369609833,0.2905822694301605,0.16207411885261536,0.26472482085227966,1.0,0.18017297983169556
;,0.10986888408660889,0.15315808355808258,-0.025261476635932922,0.044737644493579865,0.0979827418923378,0.01522127166390419,0.0970027819275856,-0.02941901423037052,0.10349778085947037
sarcasm,0.4185880422592163,0.21470165252685547,0.1438959836959839,0.17777478694915771,0.2734393775463104,0.2192385345697403,0.19830931723117828,0.17696096003055573,0.3245334029197693
and,0.31309178471565247,0.48576638102531433,0.28640416264533997,0.33531272411346436,0.48971283435821533,0.3040338158607483,0.45114588737487793,0.28111961483955383,0.20544172823429108
attempts,0.192328080534935,0.11473678797483444,0.1915408819913864,0.31293249130249023,0.42883816361427307,0.17110297083854675,0.22464099526405334,0.20999190211296082,0.09428907185792923
to,0.455847829580307,0.3504326641559601,0.2668606638908386,0.42255479097366333,1.0,0.4396136403083801,0.44619059562683105,0.2905822694301605,0.29463258385658264
humiliate,0.3046097159385681,0.1810101568698883,0.15780849754810333,0.2293916940689087,0.36406880617141724,0.2804275453090668,0.3283675014972687,0.19542574882507324,0.18582069873809814
pupils,0.180222749710083,0.24619311094284058,0.5050403475761414,0.205393984913826,0.22638830542564392,0.17571279406547546,0.22561965882778168,0.48713982105255127,0.06499303877353668
are,0.29724663496017456,1.0,0.2565288841724396,0.19028612971305847,0.3504326641559601,0.2951275110244751,0.46887820959091187,0.2835792899131775,0.24591213464736938
seen,0.3087027072906494,0.3265171945095062,0.14652955532073975,0.29421791434288025,0.2634880542755127,0.21614675223827362,0.22761531174182892,0.1392471343278885,0.2567344307899475
as,0.31749409437179565,0.3826591968536377,0.24171572923660278,0.31439387798309326,0.42092081904411316,0.2826775014400482,0.29218852519989014,0.2101105898618698,0.27043893933296204
falling,0.26906242966651917,0.1977693885564804,0.08296145498752594,0.25107190012931824,0.25933295488357544,0.19764503836631775,0.2627665102481842,0.1273433119058609,0.159834623336792
outside,0.3224688768386841,0.30540841817855835,0.1751907616853714,0.24816514551639557,0.3292369544506073,0.20249707996845245,0.3209032714366913,0.21694990992546082,0.14839068055152893
of,0.33290785551071167,0.39081433415412903,0.27737662196159363,0.26944905519485474,0.41548454761505127,0.33489471673965454,0.4329940676689148,0.25513339042663574,0.1826142966747284
what,0.9999998807907104,0.29724663496017456,0.2526462972164154,0.3720298707485199,0.455847829580307,0.32935357093811035,0.35142919421195984,0.2380729615688324,0.5051238536834717
constitutes,0.36108922958374023,0.3486129641532898,0.21403630077838898,0.1887594312429428,0.2878058850765228,0.24498103559017181,0.2424636036157608,0.2589247226715088,0.2611486315727234
reasonable,0.40443673729896545,0.2777056097984314,0.1990215927362442,0.38066771626472473,0.3665233254432678,0.3862914741039276,0.28018122911453247,0.22658026218414307,0.3725526034832001
discipline,0.2522185742855072,0.12893009185791016,0.28530004620552063,0.27857449650764465,0.25499123334884644,0.120090551674366,0.2390514612197876,0.32113873958587646,0.06836310029029846
.,0.3567904531955719,0.3452940285205841,0.24628326296806335,0.27163344621658325,0.4645031690597534,0.34017711877822876,0.34427863359451294,0.2607303857803345,0.4130953550338745
