,what,is,the,most,elemental,way,to,test,the,primality,of,any,integer,n,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.20710735023021698,0.36217406392097473,0.535392165184021,0.19235259294509888,1.0,0.25188151001930237,0.733189046382904,0.4525727927684784,0.14182277023792267,0.18813885748386383,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,1.0,0.16418635845184326,0.3285220265388489,0.321603000164032,0.15754471719264984,0.47635307908058167,0.2070612758398056,0.4178851246833801,0.3733811676502228,0.12146671861410141,0.06949906796216965,0.2107497900724411
basic,0.3564627468585968,0.2828887104988098,0.27259987592697144,0.2763790488243103,0.37827232480049133,0.3338871896266937,0.28033503890037537,0.2193073332309723,0.27259987592697144,0.22181037068367004,0.2817785441875458,0.34444114565849304,0.19033806025981903,0.15232492983341217,0.26534420251846313
method,0.25476205348968506,0.21948537230491638,0.21624743938446045,0.23232249915599823,0.2610471248626709,0.41662442684173584,0.2593044936656952,0.2776098847389221,0.21624743938446045,0.36009106040000916,0.22896558046340942,0.2811509072780609,0.2733946144580841,0.1640596240758896,0.2194802314043045
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.26839062571525574,0.266871839761734,0.41548454761505127,0.164191335439682,0.733189046382904,0.28515246510505676,1.0,0.3769088089466095,0.158325657248497,0.18925218284130096,0.1826142966747284
checking,0.3549598753452301,0.20780561864376068,0.27957913279533386,0.2678850591182709,0.18071384727954865,0.32484883069992065,0.2554117441177368,0.2589966952800751,0.27957913279533386,0.2903974950313568,0.22720222175121307,0.4352298974990845,0.30502769351005554,0.1753918081521988,0.3428910970687866
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.20710735023021698,0.36217406392097473,0.535392165184021,0.19235259294509888,1.0,0.25188151001930237,0.733189046382904,0.4525727927684784,0.14182277023792267,0.18813885748386383,0.22068053483963013
primality,0.2850114405155182,0.24844646453857422,0.25188151001930237,0.2070612758398056,0.31382322311401367,0.28191184997558594,0.22107408940792084,0.32035455107688904,0.25188151001930237,1.0,0.28515246510505676,0.3134704530239105,0.33977168798446655,0.19567985832691193,0.24305593967437744
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.26839062571525574,0.266871839761734,0.41548454761505127,0.164191335439682,0.733189046382904,0.28515246510505676,1.0,0.3769088089466095,0.158325657248497,0.18925218284130096,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.30461210012435913,0.3330821096897125,0.45503583550453186,0.2521366477012634,0.5829201340675354,0.2352360039949417,0.5052502155303955,0.45031747221946716,0.22195649147033691,0.25362148880958557,0.23916715383529663
given,0.21883496642112732,0.249215230345726,0.37508252263069153,0.2519000172615051,0.19769923388957977,0.23537859320640564,0.3428947925567627,0.1287793666124344,0.37508252263069153,0.24112646281719208,0.39388060569763184,0.3589085638523102,0.199785977602005,0.13886377215385437,0.2570464313030243
integer,0.23293888568878174,0.2086324691772461,0.14182277023792267,0.12146671861410141,0.335644394159317,0.23271578550338745,0.18582624197006226,0.1697130799293518,0.14182277023792267,0.33977168798446655,0.158325657248497,0.304497092962265,1.0,0.3231755495071411,0.2503974437713623
n,0.16510315239429474,0.2254602462053299,0.18813885748386383,0.06949906796216965,0.2297292798757553,0.14822527766227722,0.16421891748905182,0.20229095220565796,0.18813885748386383,0.19567985832691193,0.18925218284130096,0.21605715155601501,0.3231755495071411,1.0,0.19161871075630188
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.27535027265548706,0.31685471534729004,0.42745086550712585,0.1841357946395874,0.5823672413825989,0.24844646453857422,0.4854315221309662,0.35691767930984497,0.2086324691772461,0.2254602462053299,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.35463574528694153,0.23034310340881348,0.29157403111457825,0.2987143397331238,0.1567419469356537,0.489897221326828,0.20214374363422394,0.4222904443740845,0.2513023018836975,0.19616864621639252,0.16446147859096527,0.18963319063186646
trial,0.2327587604522705,0.17689630389213562,0.20843634009361267,0.10993974655866623,0.14500229060649872,0.17444036900997162,0.24072450399398804,0.3117169141769409,0.20843634009361267,0.24682952463626862,0.18292099237442017,0.25959986448287964,0.1391438990831375,0.08063504844903946,0.16902455687522888
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.16680490970611572,0.2005472630262375,0.18958424031734467,0.20332986116409302,0.08867622911930084,0.26203617453575134,0.10965608805418015,0.23579144477844238,0.2046404778957367,0.19174468517303467,0.07021425664424896,0.08900629729032516
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.25196829438209534,0.33520638942718506,0.4645031690597534,0.23588362336158752,0.5934505462646484,0.23931632936000824,0.5352458953857422,0.39295488595962524,0.19786179065704346,0.29137879610061646,0.4130953550338745
