,how,many,interceptions,did,manning,have,at,the,end,of,the,game,?
manning,0.2318497896194458,0.17441397905349731,0.47789567708969116,0.22743284702301025,0.9999998807907104,0.14972110092639923,0.2622990310192108,0.27058160305023193,0.2056039273738861,0.20024974644184113,0.27058160305023193,0.3214661478996277,0.15856626629829407
finished,0.18142320215702057,0.15678347647190094,0.24484707415103912,0.34182655811309814,0.2231869399547577,0.17094801366329193,0.3123586177825928,0.2754973769187927,0.28093042969703674,0.19935797154903412,0.2754973769187927,0.21245916187763214,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.22331646084785461,0.34736719727516174,0.27058160305023193,0.40389683842658997,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.285271555185318,0.22068053483963013
game,0.215279221534729,0.21957436203956604,0.2939920723438263,0.19789010286331177,0.3214661478996277,0.2211744487285614,0.18453927338123322,0.285271555185318,0.18264123797416687,0.2298848181962967,0.285271555185318,0.9999998807907104,0.1829071193933487
13,-0.02601788192987442,0.04598686099052429,0.04330217465758324,0.02672848105430603,0.03662071377038956,-0.03633527457714081,-0.0434831939637661,-0.007407139986753464,0.05660169944167137,0.019282439723610878,-0.007407139986753464,-0.016837120056152344,-0.11384815722703934
of,0.2480744868516922,0.37253960967063904,0.1719072461128235,0.2513895630836487,0.20024974644184113,0.3802283704280853,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.733189046382904,0.2298848181962967,0.1826142966747284
23,-0.021877937018871307,-0.05538930743932724,0.03134851157665253,-0.015436539426445961,0.0025590944569557905,0.006524129305034876,0.02754119597375393,-0.04008803516626358,-0.08325636386871338,-0.01973372884094715,-0.04008803516626358,-0.003430671989917755,0.012076443061232567
for,0.3308170735836029,0.40972793102264404,0.30427032709121704,0.318512886762619,0.33057859539985657,0.41175219416618347,0.34237727522850037,0.4739971458911896,0.22042374312877655,0.4185989499092102,0.4739971458911896,0.2608485519886017,0.264628142118454
141,-0.12393007427453995,0.015501657500863075,0.03871378302574158,-0.09340690821409225,-0.01382442843168974,-0.037250202149152756,0.05299483984708786,0.19760951399803162,0.02340882644057274,0.23059310019016266,0.19760951399803162,-0.05470919981598854,-0.08005204051733017
yards,0.1345205456018448,0.13134367763996124,0.6127163171768188,0.11230118572711945,0.5283294916152954,0.13095317780971527,0.1900969296693802,0.16070343554019928,0.24791282415390015,0.14466260373592377,0.16070343554019928,0.2516956329345703,0.12453813850879669
with,0.3525622487068176,0.35744401812553406,0.26026803255081177,0.25472134351730347,0.18539859354496002,0.48046383261680603,0.29126521944999695,0.4223487675189972,0.23444485664367676,0.41827285289764404,0.4223487675189972,0.19394829869270325,0.2433311939239502
one,0.3213292360305786,0.4223630726337433,0.20258136093616486,0.27659472823143005,0.1945406049489975,0.4507926106452942,0.32580816745758057,0.5514441132545471,0.27769872546195984,0.4999135136604309,0.5514441132545471,0.2554377615451813,0.2673267424106598
interception,0.19612377882003784,0.15024176239967346,0.9456818103790283,0.21140055358409882,0.4784112870693207,0.18469397723674774,0.1913604438304901,0.24153481423854828,0.297647088766098,0.17619989812374115,0.24153481423854828,0.28776344656944275,0.11704724282026291
and,0.33647966384887695,0.5296266674995422,0.24625982344150543,0.34479495882987976,0.2638654112815857,0.4711785912513733,0.3571503460407257,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.5171257257461548,0.25192898511886597,0.20544172823429108
zero,0.20801222324371338,0.19059140980243683,0.29413333535194397,0.13187135756015778,0.04303186014294624,0.23591838777065277,0.1339619904756546,0.22528071701526642,0.2025074064731598,0.20139671862125397,0.22528071701526642,0.21722480654716492,0.16971594095230103
touchdowns,0.15057362616062164,0.1144808754324913,0.7320449352264404,0.20483340322971344,0.5383488535881042,0.20013733208179474,0.22556564211845398,0.20508192479610443,0.3135312497615814,0.18799830973148346,0.20508192479610443,0.3884691894054413,0.1509619653224945
.,0.3287222981452942,0.3974229395389557,0.213409885764122,0.35288307070732117,0.2937074899673462,0.41614407300949097,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.2581658959388733,0.4130953550338745
