,how,long,did,julia,butterfly,hill,live,in,a,tree,?
julia,0.08576720952987671,0.10195282101631165,0.19374728202819824,1.0,0.15641097724437714,0.12600012123584747,0.1103954166173935,0.20583799481391907,0.1759791076183319,0.13498122990131378,0.09678179025650024
butterfly,0.13676339387893677,0.26622405648231506,0.13075686991214752,0.15641097724437714,0.9999999403953552,0.1419461965560913,0.15616869926452637,0.18615534901618958,0.2375304251909256,0.25376102328300476,0.14161719381809235
hill,0.10063447058200836,0.15769395232200623,0.11027105897665024,0.12600012123584747,0.1419461965560913,0.9999999403953552,0.16851435601711273,0.21030452847480774,0.16101446747779846,0.2244211882352829,0.1149863451719284
lived,0.1416093111038208,0.2418166846036911,0.2549818158149719,0.13490526378154755,0.11748748272657394,0.2217394858598709,0.5217254757881165,0.3669787347316742,0.20276539027690887,0.10554160177707672,0.1798510104417801
in,0.2601168751716614,0.2759332060813904,0.2593238651752472,0.20583799481391907,0.18615534901618958,0.21030452847480774,0.3068392276763916,1.0,0.539380669593811,0.15590032935142517,0.20430970191955566
luna,0.11043938249349594,0.18122686445713043,0.10888201743364334,0.29743269085884094,0.2863798439502716,0.11651135236024857,0.1533433198928833,0.1942635476589203,0.23182828724384308,0.1081438958644867,0.09263085573911667
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.24484020471572876,0.18034452199935913,0.2938556969165802,0.29754534363746643,0.5201468467712402,0.427140474319458,0.17433692514896393,0.31091248989105225
a,0.29312583804130554,0.3795371353626251,0.2552328109741211,0.1759791076183319,0.2375304251909256,0.16101446747779846,0.21948647499084473,0.539380669593811,1.0,0.20696568489074707,0.23916715383529663
180-foot,0.2188633531332016,0.25067952275276184,0.2776135504245758,0.1999753713607788,0.25278595089912415,0.24694383144378662,0.2571480870246887,0.3149220943450928,0.32180777192115784,0.30647748708724976,0.25094613432884216
(,0.1676948219537735,0.2487790733575821,0.18979617953300476,0.1989063173532486,0.1773603856563568,0.18680965900421143,0.20015591382980347,0.3087427020072937,0.3206180930137634,0.12142543494701385,0.40561532974243164
55,-0.08538521826267242,-0.006014706566929817,0.06445290893316269,0.06658947467803955,-0.0010959240607917309,-0.03780005872249603,0.003465085756033659,0.0764915719628334,-0.03565897047519684,0.05736251175403595,-0.008884507231414318
m,0.17182649672031403,0.2667013108730316,0.18840010464191437,0.22436608374118805,0.15894386172294617,0.1282116174697876,0.14428794384002686,0.12893682718276978,0.16919291019439697,0.1522945761680603,0.2618667185306549
),0.17939934134483337,0.23425164818763733,0.18584993481636047,0.21064460277557373,0.1974848061800003,0.18099552392959595,0.20233401656150818,0.3326910734176636,0.3640355169773102,0.13879509270191193,0.42300865054130554
-tall,0.1676502674818039,0.2777027487754822,0.17809522151947021,0.20122520625591278,0.2757393419742584,0.2826025187969208,0.1897650957107544,0.2442001849412918,0.22700369358062744,0.250137597322464,0.28096437454223633
