,when,did,tesla,come,to,the,us,?
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.07247626781463623,0.17548894882202148,0.1324402391910553,0.2018621414899826,0.10250775516033173
gained,0.2222561240196228,0.2939504086971283,0.2018451988697052,0.18937042355537415,0.22058042883872986,0.29543522000312805,0.114347442984581,0.11261032521724701
experience,0.2492937445640564,0.2411177009344101,0.23926784098148346,0.23789484798908234,0.25535836815834045,0.21682339906692505,0.24361594021320343,0.25203612446784973
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.26272067427635193,0.45010748505592346,0.6662389636039734,0.19746538996696472,0.20430970191955566
telephony,0.2705365717411041,0.15577323734760284,0.3377399444580078,0.14085565507411957,0.27052682638168335,0.2518288791179657,0.21737702190876007,0.14779767394065857
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.3412281572818756,0.48971283435821533,0.5171257257461548,0.25715014338493347,0.20544172823429108
electrical,0.29064828157424927,0.12294142693281174,0.45727142691612244,0.1239486038684845,0.2649001479148865,0.2523402273654938,0.09237932413816452,0.10923371464014053
engineering,0.15902210772037506,0.14655107259750366,0.31800028681755066,0.049051590263843536,0.21773739159107208,0.23901307582855225,0.1345384567975998,0.16555240750312805
before,0.5650408267974854,0.33642593026161194,0.14506052434444427,0.2535293400287628,0.4190867841243744,0.45900648832321167,0.17247691750526428,0.2507109045982361
emigrating,0.30036458373069763,0.17718683183193207,0.23259085416793823,0.269646018743515,0.3138192296028137,0.3192072808742523,0.16913437843322754,0.14666429162025452
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.4297197163105011,1.0,0.535392165184021,0.2928973436355591,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,0.36020293831825256,0.535392165184021,1.0,0.25727739930152893,0.22068053483963013
united,0.2490900456905365,0.21137088537216187,0.1552019715309143,0.1817139983177185,0.2715383470058441,0.34367692470550537,0.4374046325683594,0.17266890406608582
states,0.24639196693897247,0.21754568815231323,0.17635658383369446,0.1799706369638443,0.2828785181045532,0.3463578522205353,0.4605454206466675,0.16272737085819244
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.26272067427635193,0.45010748505592346,0.6662389636039734,0.19746538996696472,0.20430970191955566
1884,0.004922932013869286,-0.019103914499282837,0.029632732272148132,-0.006584919523447752,0.0789077877998352,0.07194139063358307,-0.02019040659070015,-0.08445221930742264
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.4297197163105011,1.0,0.535392165184021,0.2928973436355591,0.29463258385658264
work,0.2500542998313904,0.336654931306839,0.2545209228992462,0.24058614671230316,0.3482864499092102,0.2704800069332123,0.2215554565191269,0.2621155381202698
for,0.43402108550071716,0.318512886762619,0.13983871042728424,0.2792086601257324,0.4451248347759247,0.4739971458911896,0.26768606901168823,0.264628142118454
thomas,0.19259870052337646,0.20728807151317596,0.21892967820167542,0.07770068198442459,0.1928519904613495,0.23505409061908722,0.17635606229305267,0.16133050620555878
edison,0.25418660044670105,0.1372239738702774,0.35526686906814575,0.13787980377674103,0.21176284551620483,0.25419825315475464,0.21895603835582733,0.10244420915842056
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.26272067427635193,0.45010748505592346,0.6662389636039734,0.19746538996696472,0.20430970191955566
new,0.257220059633255,0.227974995970726,0.15999311208724976,0.2029125690460205,0.33159172534942627,0.3845241069793701,0.1881105750799179,0.14782847464084625
york,0.21644815802574158,0.16606222093105316,0.15629629790782928,0.15544937551021576,0.22230617702007294,0.3034006953239441,0.18448179960250854,0.15262620151042938
city,0.19592350721359253,0.12266099452972412,0.13220614194869995,0.1402886062860489,0.20300441980361938,0.35769423842430115,0.17724035680294037,0.13423943519592285
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.2866859436035156,0.4645031690597534,0.5934505462646484,0.3162994682788849,0.4130953550338745
