,when,did,syria,and,egypt,launch,a,surprise,attack,on,israel,?
on,0.37706470489501953,0.2670976221561432,0.1459866315126419,0.4077630043029785,0.1466314196586609,0.2868025302886963,0.3848365545272827,0.2734735310077667,0.27725884318351746,0.9999999403953552,0.190166637301445,0.2714994251728058
october,0.273419588804245,0.2746104896068573,0.14020192623138428,0.2883152663707733,0.20213769376277924,0.20404979586601257,0.2402924746274948,0.22009317576885223,0.21724511682987213,0.3742676079273224,0.17192432284355164,0.29706719517707825
6,0.11803975701332092,-0.0043754540383815765,0.0938575491309166,0.11442969739437103,0.006904796231538057,0.09282518923282623,0.023897485807538033,0.0823902040719986,0.022731343284249306,0.005334584508091211,0.010400093160569668,0.045001473277807236
",",0.36674630641937256,0.3015086054801941,0.22234797477722168,0.6633074283599854,0.2490617334842682,0.19433410465717316,0.427140474319458,0.27581435441970825,0.29392024874687195,0.49057599902153015,0.22234781086444855,0.31091248989105225
1973,-0.26069384813308716,-0.23175965249538422,-0.1657632291316986,-0.23950208723545074,-0.13671332597732544,-0.22840115427970886,-0.13350971043109894,-0.23466311395168304,-0.14405110478401184,-0.18441499769687653,-0.11918941885232925,-0.07644321769475937
",",0.36674630641937256,0.3015086054801941,0.22234797477722168,0.6633074283599854,0.2490617334842682,0.19433410465717316,0.427140474319458,0.27581435441970825,0.29392024874687195,0.49057599902153015,0.22234781086444855,0.31091248989105225
syria,0.23408985137939453,0.12997110188007355,0.9999999403953552,0.2507474720478058,0.5831447839736938,0.21588388085365295,0.166398286819458,0.17045775055885315,0.1719595044851303,0.1459866315126419,0.48963263630867004,0.1554446816444397
and,0.4716290831565857,0.34479495882987976,0.2507474720478058,1.0,0.25949424505233765,0.18879936635494232,0.3739250600337982,0.24695338308811188,0.24922382831573486,0.4077630043029785,0.24438269436359406,0.20544172823429108
egypt,0.2453436702489853,0.1887594312429428,0.5831447839736938,0.25949424505233765,1.0,0.13559821248054504,0.14361631870269775,0.09971300512552261,0.13133201003074646,0.1466314196586609,0.46510323882102966,0.17769601941108704
",",0.36674630641937256,0.3015086054801941,0.22234797477722168,0.6633074283599854,0.2490617334842682,0.19433410465717316,0.427140474319458,0.27581435441970825,0.29392024874687195,0.49057599902153015,0.22234781086444855,0.31091248989105225
