,what,type,of,behavior,in,primes,is,it,possible,to,determine,?
however,0.4480680823326111,0.23281864821910858,0.3800618350505829,0.2879539430141449,0.3982149362564087,0.256695032119751,0.33769986033439636,0.467002272605896,0.4253973662853241,0.5474119186401367,0.4520881772041321,0.2152075469493866
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1586613655090332,0.5201468467712402,0.29003697633743286,0.4691906273365021,0.48329564929008484,0.3032452464103699,0.44245919585227966,0.2144405096769333,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2124595195055008,0.6662389636039734,0.22359657287597656,0.5823672413825989,0.6251175999641418,0.32701125741004944,0.535392165184021,0.40889066457748413,0.22068053483963013
distribution,0.17429208755493164,0.1195337325334549,0.254255473613739,0.2839955687522888,0.23537677526474,0.2172791212797165,0.2414398044347763,0.2561117708683014,0.20199212431907654,0.18405549228191376,0.23098590970039368,0.0929616317152977
of,0.33290785551071167,0.18112817406654358,1.0,0.1818811446428299,0.5696388483047485,0.22199293971061707,0.4854315221309662,0.38761502504348755,0.3314395844936371,0.41548454761505127,0.3512130081653595,0.1826142966747284
primes,0.2505246102809906,0.14125247299671173,0.22199293971061707,0.19238325953483582,0.20882321894168854,1.0,0.2382466346025467,0.2287449687719345,0.3325490951538086,0.22901344299316406,0.22139643132686615,0.18851876258850098
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1586613655090332,0.5201468467712402,0.29003697633743286,0.4691906273365021,0.48329564929008484,0.3032452464103699,0.44245919585227966,0.2144405096769333,0.31091248989105225
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3315574526786804,0.435920387506485,0.30276167392730713,0.3995479643344879,0.5921133160591125,0.42499589920043945,0.5436353087425232,0.41576048731803894,0.32716336846351624
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.194302499294281,0.5394441485404968,0.2382466346025467,1.0,0.6328473687171936,0.2872174084186554,0.42745086550712585,0.31959035992622375,0.22961433231830597
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23964552581310272,0.45010748505592346,0.22901344299316406,0.42745086550712585,0.513711154460907,0.4506641626358032,1.0,0.4076496958732605,0.29463258385658264
say,0.5386801958084106,0.20846037566661835,0.30290520191192627,0.22376325726509094,0.26482993364334106,0.28567302227020264,0.3160853683948517,0.34911516308784485,0.3165733516216278,0.38071900606155396,0.3902457356452942,0.4357808530330658
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1586613655090332,0.5201468467712402,0.29003697633743286,0.4691906273365021,0.48329564929008484,0.3032452464103699,0.44245919585227966,0.2144405096769333,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2124595195055008,0.6662389636039734,0.22359657287597656,0.5823672413825989,0.6251175999641418,0.32701125741004944,0.535392165184021,0.40889066457748413,0.22068053483963013
statistical,0.2944276034832001,0.08096253871917725,0.3284662663936615,0.2457207292318344,0.27423131465911865,0.20698532462120056,0.18036481738090515,0.2093343734741211,0.18854647874832153,0.16316303610801697,0.3054437041282654,0.1697750836610794
behaviour,0.3885602355003357,0.18570026755332947,0.20121999084949493,0.8230318427085876,0.14667336642742157,0.19233019649982452,0.19106417894363403,0.24972157180309296,0.2680930197238922,0.2724132537841797,0.33305254578590393,0.22483104467391968
of,0.33290785551071167,0.18112817406654358,1.0,0.1818811446428299,0.5696388483047485,0.22199293971061707,0.4854315221309662,0.38761502504348755,0.3314395844936371,0.41548454761505127,0.3512130081653595,0.1826142966747284
primes,0.2505246102809906,0.14125247299671173,0.22199293971061707,0.19238325953483582,0.20882321894168854,1.0,0.2382466346025467,0.2287449687719345,0.3325490951538086,0.22901344299316406,0.22139643132686615,0.18851876258850098
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.13157719373703003,1.0,0.20882321894168854,0.5394441485404968,0.5130809545516968,0.2287878543138504,0.45010748505592346,0.28156906366348267,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2124595195055008,0.6662389636039734,0.22359657287597656,0.5823672413825989,0.6251175999641418,0.32701125741004944,0.535392165184021,0.40889066457748413,0.22068053483963013
large,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.10824640095233917,0.2841601073741913,0.17346440255641937,0.2971126437187195,0.2843167781829834,0.23027294874191284,0.3150999844074249,0.23867632448673248,0.1355665624141693
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1586613655090332,0.5201468467712402,0.29003697633743286,0.4691906273365021,0.48329564929008484,0.3032452464103699,0.44245919585227966,0.2144405096769333,0.31091248989105225
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.29131147265434265,0.26527702808380127,0.2540391981601715,0.44256699085235596,0.3819273114204407,0.49371016025543213,0.4979398250579834,0.3785102665424347,0.3226337134838104
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.316130131483078,0.3481820821762085,0.24869440495967865,0.4819129705429077,0.5203388929367065,0.43379613757133484,0.4972836375236511,0.43451228737831116,0.3324260413646698
modelled,0.22384430468082428,0.16590332984924316,0.32157981395721436,0.2267012596130371,0.34846898913383484,0.23497770726680756,0.2221464365720749,0.1726725995540619,0.17054928839206696,0.1958804577589035,0.2520290017127991,0.08437465876340866
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.262289822101593,0.5591574311256409,0.2564551830291748,0.4569662809371948,0.5593622326850891,0.2935521602630615,0.4645031690597534,0.323413223028183,0.4130953550338745
