,where,in,dundee,will,the,gallery,be,located,?
the,0.5003893971443176,0.6662389636039734,0.2228047251701355,0.3635469079017639,1.0,0.19251246750354767,0.4248143136501312,0.407527357339859,0.22068053483963013
v,0.18955472111701965,0.15216681361198425,0.14429038763046265,0.2025434374809265,0.18580520153045654,0.14258474111557007,0.11805149912834167,0.0894060805439949,0.28677162528038025
&,0.08200476318597794,0.1358654648065567,0.1457192301750183,0.12975667417049408,0.14992168545722961,0.21348820626735687,0.08198343962430954,0.14349687099456787,0.12596383690834045
a,0.40997210144996643,0.539380669593811,0.18508514761924744,0.3401327431201935,0.5829201340675354,0.13071094453334808,0.39883795380592346,0.2605401277542114,0.23916715383529663
dundee,0.19236046075820923,0.21948131918907166,0.9999999403953552,0.15871119499206543,0.2228047251701355,0.13820381462574005,0.11931823194026947,0.16837328672409058,0.133137047290802
will,0.3374059498310089,0.2580665349960327,0.15871119499206543,1.0,0.3635469079017639,0.15355253219604492,0.4925616979598999,0.12029515206813812,0.35046905279159546
be,0.3651217818260193,0.3481820821762085,0.11931823194026947,0.4925616979598999,0.4248143136501312,0.15811461210250854,1.0,0.1374867707490921,0.3324260413646698
on,0.37630224227905273,0.46853652596473694,0.17639027535915375,0.3240351676940918,0.5107308030128479,0.1865847259759903,0.37900757789611816,0.22447186708450317,0.2714994251728058
the,0.5003893971443176,0.6662389636039734,0.2228047251701355,0.3635469079017639,1.0,0.19251246750354767,0.4248143136501312,0.407527357339859,0.22068053483963013
city,0.2686662971973419,0.3911624252796173,0.3341968059539795,0.11721272766590118,0.35769423842430115,0.20712539553642273,0.11616156995296478,0.3682219088077545,0.13423943519592285
's,0.0007701900321990252,-0.037580832839012146,0.11526058614253998,0.00371179124340415,-0.01540423184633255,-0.08047135919332504,0.025217169895768166,-0.031078986823558807,-0.023395681753754616
waterfront,0.2530478239059448,0.31210532784461975,0.2403363287448883,0.13005541265010834,0.3265892267227173,0.28164994716644287,0.15737059712409973,0.31610509753227234,0.16367992758750916
and,0.43859338760375977,0.4954058527946472,0.243573859333992,0.35983073711395264,0.5171257257461548,0.20957361161708832,0.41766801476478577,0.24183952808380127,0.20544172823429108
is,0.3586711287498474,0.5394441485404968,0.15815377235412598,0.3723262846469879,0.5823672413825989,0.15374112129211426,0.4819129705429077,0.35717159509658813,0.22961433231830597
intended,0.25295114517211914,0.2369074523448944,0.1504458338022232,0.39126071333885193,0.29853108525276184,0.14344611763954163,0.2905513644218445,0.20255301892757416,0.21823447942733765
to,0.47735077142715454,0.45010748505592346,0.14178185164928436,0.5091033577919006,0.535392165184021,0.19736915826797485,0.4972836375236511,0.20850814878940582,0.29463258385658264
focus,0.20608018338680267,0.27219411730766296,0.12117321789264679,0.26723513007164,0.25318023562431335,0.14552471041679382,0.31418439745903015,0.18615655601024628,0.23925252258777618
on,0.37630224227905273,0.46853652596473694,0.17639027535915375,0.3240351676940918,0.5107308030128479,0.1865847259759903,0.37900757789611816,0.22447186708450317,0.2714994251728058
fashion,0.16228127479553223,0.19396661221981049,0.10822884738445282,0.15192733705043793,0.20197291672229767,0.2445584237575531,0.1521959900856018,0.08036565780639648,0.11952155828475952
",",0.3149496018886566,0.5201468467712402,0.2109282910823822,0.29706671833992004,0.4933079481124878,0.21593497693538666,0.39254459738731384,0.2678719460964203,0.31091248989105225
architecture,0.1649181842803955,0.2624244689941406,0.13297107815742493,0.12320578098297119,0.24488379061222076,0.30409112572669983,0.14680521190166473,0.27898094058036804,0.14343059062957764
",",0.3149496018886566,0.5201468467712402,0.2109282910823822,0.29706671833992004,0.4933079481124878,0.21593497693538666,0.39254459738731384,0.2678719460964203,0.31091248989105225
product,0.22332638502120972,0.17412906885147095,0.06767414510250092,0.2644597887992859,0.23984220623970032,0.13955774903297424,0.30949610471725464,0.11643196642398834,0.19651241600513458
design,0.16279427707195282,0.21856798231601715,0.15759627521038055,0.1803235113620758,0.27913451194763184,0.24584053456783295,0.2264687865972519,0.20650503039360046,0.16351860761642456
",",0.3149496018886566,0.5201468467712402,0.2109282910823822,0.29706671833992004,0.4933079481124878,0.21593497693538666,0.39254459738731384,0.2678719460964203,0.31091248989105225
graphic,0.1524200290441513,0.2011031210422516,0.14050200581550598,0.15159273147583008,0.21247245371341705,0.2694287896156311,0.1931336522102356,0.09021811932325363,0.1509546935558319
arts,0.22172929346561432,0.2445804625749588,0.20938876271247864,0.19110268354415894,0.23374557495117188,0.3583703935146332,0.1190619021654129,0.17429593205451965,0.09471383690834045
and,0.43859338760375977,0.4954058527946472,0.243573859333992,0.35983073711395264,0.5171257257461548,0.20957361161708832,0.41766801476478577,0.24183952808380127,0.20544172823429108
photography,0.1273246556520462,0.21896670758724213,0.10319629311561584,0.025608351454138756,0.1538320779800415,0.40673136711120605,0.12953031063079834,0.16448383033275604,0.12825748324394226
.,0.41390106081962585,0.5591574311256409,0.22160862386226654,0.33682769536972046,0.5934505462646484,0.21326512098312378,0.4383580684661865,0.28226932883262634,0.4130953550338745
