,what,did,luther,gradually,see,as,hopeless,in,the,reformation,?
however,0.4480680823326111,0.5603718757629395,0.19122347235679626,0.4545762538909912,0.4014091193675995,0.4668710231781006,0.3815194070339203,0.3982149362564087,0.49814513325691223,0.3012111186981201,0.2152075469493866
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.21068459749221802,0.35306161642074585,0.48816442489624023,0.2788796126842499,0.5201468467712402,0.4933079481124878,0.2554768919944763,0.31091248989105225
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.2860504984855652,0.3243166506290436,1.0,0.25723952054977417,0.3887844979763031,0.48381632566452026,0.2302391082048416,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.3209700584411621,0.3770301640033722,0.48381632566452026,0.22763888537883759,0.6662389636039734,1.0,0.3290504217147827,0.22068053483963013
reformation,0.23052695393562317,0.20929229259490967,0.43711021542549133,0.3540637791156769,0.25342074036598206,0.2302391082048416,0.14218662679195404,0.2716333270072937,0.3290504217147827,1.0,0.14843040704727173
continued,0.17878234386444092,0.4863187372684479,0.15168172121047974,0.3704921305179596,0.1112799122929573,0.2586710751056671,0.21193353831768036,0.2845509350299835,0.29953038692474365,0.23768746852874756,0.10404038429260254
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.21068459749221802,0.35306161642074585,0.48816442489624023,0.2788796126842499,0.5201468467712402,0.4933079481124878,0.2554768919944763,0.31091248989105225
luther,0.2134782373905182,0.23667675256729126,1.0,0.14281101524829865,0.1657041758298874,0.20242992043495178,0.146272674202919,0.20523880422115326,0.1759674996137619,0.43711021542549133,0.1732746809720993
began,0.1665823757648468,0.4415510594844818,0.17262868583202362,0.33726853132247925,0.11598818004131317,0.25156188011169434,0.1855698674917221,0.34154343605041504,0.3059147596359253,0.26267650723457336,0.1370266228914261
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.34974226355552673,0.3792734146118164,0.42092081904411316,0.32214978337287903,0.45010748505592346,0.535392165184021,0.27920275926589966,0.29463258385658264
lose,0.26612868905067444,0.31227317452430725,0.15045443177223206,0.2783103585243225,0.2378356158733368,0.23273169994354248,0.3585429787635803,0.26334479451179504,0.29030492901802063,0.10670532286167145,0.18494220077991486
hope,0.32692182064056396,0.2413310557603836,0.20763246715068817,0.20854876935482025,0.33478230237960815,0.24941639602184296,0.49842679500579834,0.23561698198318481,0.2378109097480774,0.18516911566257477,0.3014601767063141
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2659119665622711,0.2973747253417969,0.3887844979763031,0.21129509806632996,1.0,0.6662389636039734,0.2716333270072937,0.20430970191955566
large-scale,0.26211512088775635,0.15781648457050323,0.1079695001244545,0.28288549184799194,0.28054922819137573,0.3014945685863495,0.22793178260326385,0.3469795286655426,0.3744625151157379,0.3117770254611969,0.238608717918396
jewish,0.1696387529373169,0.19554156064987183,0.27001291513442993,0.16316772997379303,0.13787224888801575,0.19914422929286957,0.11481889337301254,0.22940313816070557,0.19492539763450623,0.3051501512527466,0.15521590411663055
conversion,0.21660274267196655,0.14528439939022064,0.16354045271873474,0.19919535517692566,0.3285641670227051,0.2696652412414551,0.1582638919353485,0.19224700331687927,0.2308437079191208,0.3755700886249542,0.1924358606338501
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.34974226355552673,0.3792734146118164,0.42092081904411316,0.32214978337287903,0.45010748505592346,0.535392165184021,0.27920275926589966,0.29463258385658264
christianity,0.27987581491470337,0.21473132073879242,0.3391180634498596,0.22375249862670898,0.24622885882854462,0.2672104239463806,0.21226708590984344,0.22138716280460358,0.2489117980003357,0.4971783757209778,0.22408421337604523
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.24473609030246735,0.3851161599159241,0.515582263469696,0.24366694688796997,0.5591574311256409,0.5934505462646484,0.29916802048683167,0.4130953550338745
