,what,river,was,petrela,located,by,?
meanwhile,0.24885934591293335,0.1360105276107788,0.17749933898448944,0.17582033574581146,0.17006605863571167,0.16945959627628326,0.16201108694076538
",",0.3087472915649414,0.26637205481529236,0.45456063747406006,0.2937978208065033,0.2678719460964203,0.3680937886238098,0.31091248989105225
they,0.4431931674480438,0.15919263660907745,0.3300964832305908,0.1797635704278946,0.19817660748958588,0.3391372263431549,0.2753053903579712
occupied,0.2295091450214386,0.20238374173641205,0.3012172281742096,0.15583159029483795,0.3428031802177429,0.2622529864311218,0.11679025739431381
petrela,0.15169110894203186,0.2576068341732025,0.18686339259147644,1.0,0.19205494225025177,0.12889789044857025,0.12583987414836884
",",0.3087472915649414,0.26637205481529236,0.45456063747406006,0.2937978208065033,0.2678719460964203,0.3680937886238098,0.31091248989105225
the,0.42745697498321533,0.2894456386566162,0.48711544275283813,0.1985194981098175,0.407527357339859,0.4408751428127289,0.22068053483963013
citadel,0.1670060008764267,0.2884339988231659,0.2652580440044403,0.19671739637851715,0.31207069754600525,0.1185234859585762,0.11120149493217468
of,0.33290785551071167,0.19903257489204407,0.4069072902202606,0.2183992862701416,0.32520920038223267,0.3646814823150635,0.1826142966747284
mili,0.12104899436235428,0.1769784688949585,0.2819327414035797,0.3096698522567749,0.2156228870153427,0.2362450659275055,0.08593247085809708
at,0.2838611304759979,0.16691477596759796,0.36707764863967896,0.20465587079524994,0.3688831031322479,0.2368064820766449,0.21978627145290375
the,0.42745697498321533,0.2894456386566162,0.48711544275283813,0.1985194981098175,0.407527357339859,0.4408751428127289,0.22068053483963013
banks,0.11580011993646622,0.45557889342308044,0.18093253672122955,0.12845008075237274,0.2491593360900879,0.17911548912525177,0.11048095673322678
of,0.33290785551071167,0.19903257489204407,0.4069072902202606,0.2183992862701416,0.32520920038223267,0.3646814823150635,0.1826142966747284
the,0.42745697498321533,0.2894456386566162,0.48711544275283813,0.1985194981098175,0.407527357339859,0.4408751428127289,0.22068053483963013
river,0.13815869390964508,0.9999999403953552,0.15785206854343414,0.2576068341732025,0.29117700457572937,0.11889402568340302,0.15390869975090027
deabolis,0.23471735417842865,0.23749321699142456,0.3043895363807678,0.26043424010276794,0.202083021402359,0.2588576674461365,0.20276884734630585
",",0.3087472915649414,0.26637205481529236,0.45456063747406006,0.2937978208065033,0.2678719460964203,0.3680937886238098,0.31091248989105225
gllavenica,0.22731587290763855,0.2628462016582489,0.3075246214866638,0.46305108070373535,0.2560533285140991,0.19112154841423035,0.22138792276382446
(,0.2411840260028839,0.16287720203399658,0.2980341613292694,0.22445397078990936,0.21025894582271576,0.20696312189102173,0.40561532974243164
ballsh,0.20480524003505707,0.19482645392417908,0.25204142928123474,0.23781250417232513,0.10229983925819397,0.16631245613098145,0.2233724594116211
),0.26259949803352356,0.16430801153182983,0.3267642855644226,0.24630047380924225,0.19755883514881134,0.2151763141155243,0.42300865054130554
",",0.3087472915649414,0.26637205481529236,0.45456063747406006,0.2937978208065033,0.2678719460964203,0.3680937886238098,0.31091248989105225
kanina,0.14842747151851654,0.2276412695646286,0.19137738645076752,0.3472561240196228,0.15976831316947937,0.07700816541910172,0.09834863990545273
and,0.31309178471565247,0.19898422062397003,0.3740963041782379,0.19082866609096527,0.24183952808380127,0.4289871156215668,0.20544172823429108
jericho,0.21952828764915466,0.17998285591602325,0.2747330367565155,0.20279327034950256,0.15868349373340607,0.19456326961517334,0.1654619723558426
.,0.3567904531955719,0.21443960070610046,0.40146201848983765,0.20815540850162506,0.28226932883262634,0.3936232924461365,0.4130953550338745
