,how,many,households,has,kids,under,the,age,of,18,living,in,them,?
there,0.3328511416912079,0.4993700683116913,0.30854225158691406,0.42909398674964905,0.14670929312705994,0.23181530833244324,0.47025805711746216,0.225858673453331,0.44397735595703125,-0.1199415922164917,0.37961074709892273,0.5361666083335876,0.4303891360759735,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.3441278040409088,0.2784052789211273,0.202979177236557,0.28293636441230774,0.3906462490558624,0.20031394064426422,0.34038281440734863,-0.09013911336660385,0.30441248416900635,0.3815755248069763,0.4602346122264862,0.17890112102031708
"158,349",0.0848337784409523,0.18214774131774902,0.15946301817893982,0.11398615688085556,-0.08011358231306076,0.10965963453054428,0.16434766352176666,0.03171197697520256,0.1932903379201889,-0.0040664272382855415,0.12962666153907776,0.13153381645679474,0.12010465562343597,0.0239694956690073
households,0.21022699773311615,0.26178956031799316,1.0000001192092896,0.1987396776676178,0.24338406324386597,0.16036809980869293,0.26440316438674927,0.26058149337768555,0.2765655219554901,-0.07622837275266647,0.4100218415260315,0.24879489839076996,0.2886597514152527,0.17362827062606812
",",0.22659391164779663,0.40610817074775696,0.2694286108016968,0.3734780251979828,0.2561202347278595,0.24875585734844208,0.4933079481124878,0.2693369388580322,0.4946078956127167,-0.03270421177148819,0.26278790831565857,0.5201468467712402,0.3985835015773773,0.31091248989105225
of,0.2480744868516922,0.37253960967063904,0.2765655219554901,0.3909035325050354,0.13836975395679474,0.32766106724739075,0.733189046382904,0.2372717410326004,1.0,-0.09725122153759003,0.3499443829059601,0.5696388483047485,0.34503093361854553,0.1826142966747284
which,0.4852597713470459,0.5168171525001526,0.23460061848163605,0.4350704550743103,0.2191992849111557,0.3235377371311188,0.6521818041801453,0.1620659977197647,0.5011631846427917,-0.10924653708934784,0.23109818994998932,0.4840516746044159,0.4958057701587677,0.25814583897590637
"68,511",-0.10893036425113678,-0.1530572772026062,0.0023934587370604277,-0.0377708300948143,0.05820455402135849,0.06436355412006378,-0.11695859581232071,-0.07214640825986862,-0.1228855550289154,-0.03730577230453491,-0.08486247062683105,-0.10389978438615799,-0.05130765959620476,-0.03545636311173439
(,0.1676948219537735,0.1455259770154953,0.10650848597288132,0.2498389035463333,0.16711808741092682,0.21003201603889465,0.33289089798927307,0.14561709761619568,0.35032153129577637,-0.03771994635462761,0.17554375529289246,0.3087427020072937,0.2401011437177658,0.40561532974243164
43.3,0.05889398232102394,0.09454948455095291,0.09670114517211914,0.11403476446866989,-0.035037025809288025,0.13981707394123077,0.2625017464160919,0.1320444494485855,0.32537469267845154,0.06499599665403366,0.12444810569286346,0.19294564425945282,0.17080271244049072,0.12558378279209137
%,0.1237400695681572,0.24948352575302124,0.4648574888706207,0.2022343873977661,0.1472519189119339,0.15971294045448303,0.21490740776062012,0.2164400815963745,0.19953428208827972,-0.019343817606568336,0.2514876425266266,0.19465309381484985,0.1877780556678772,0.21441808342933655
),0.17939934134483337,0.16602720320224762,0.10031633079051971,0.26944878697395325,0.17225255072116852,0.2076013684272766,0.3456730246543884,0.16737043857574463,0.3680361211299896,-0.05143691226840019,0.19151180982589722,0.3326910734176636,0.24844101071357727,0.42300865054130554
had,0.2549138069152832,0.40130746364593506,0.29948997497558594,0.5787927508354187,0.17708775401115417,0.25874900817871094,0.3875846862792969,0.24192391335964203,0.37755560874938965,-0.11807180196046829,0.22717885673046112,0.385026752948761,0.3781377673149109,0.20728366076946259
children,0.16621150076389313,0.1948380321264267,0.36043110489845276,0.14232949912548065,0.4341637194156647,0.18634213507175446,0.15654058754444122,0.3325749635696411,0.1978350728750229,-0.05347852036356926,0.20734187960624695,0.2065156251192093,0.3037116825580597,0.21788206696510315
under,0.23006081581115723,0.21268652379512787,0.16036809980869293,0.19055907428264618,0.14597956836223602,0.9999999403953552,0.3348022699356079,0.17188125848770142,0.32766106724739075,-0.11987436562776566,0.08326435089111328,0.2535393238067627,0.26125749945640564,0.18233340978622437
