,up,to,what,age,do,students,in,the,united,kingdom,attend,preparatory,schools,?
preparatory,0.1922263652086258,0.2960403263568878,0.1975819319486618,0.16229495406150818,0.16369231045246124,0.3640957772731781,0.30538713932037354,0.29037582874298096,0.25400492548942566,0.19518113136291504,0.38998129963874817,0.9999998807907104,0.4085295796394348,0.10992063581943512
schools,0.19359968602657318,0.2362271547317505,0.1820785105228424,0.1549680382013321,0.19505831599235535,0.6169943809509277,0.2632134258747101,0.22905772924423218,0.30707988142967224,0.19974325597286224,0.4374011754989624,0.4085295796394348,1.0,0.18349280953407288
in,0.3120773434638977,0.45010748505592346,0.30808621644973755,0.30576348304748535,0.23402775824069977,0.2676171064376831,1.0,0.6662389636039734,0.3938477039337158,0.28265801072120667,0.2352246344089508,0.30538713932037354,0.2632134258747101,0.20430970191955566
the,0.38423117995262146,0.535392165184021,0.42745697498321533,0.24711290001869202,0.30239659547805786,0.25268980860710144,0.6662389636039734,1.0,0.34367692470550537,0.3143408000469208,0.23206810653209686,0.29037582874298096,0.22905772924423218,0.22068053483963013
uk,0.1651255190372467,0.18409153819084167,0.17163191735744476,0.14673353731632233,0.12549059092998505,0.2091427743434906,0.2261405885219574,0.2143084555864334,0.40107643604278564,0.5142970681190491,0.16261786222457886,0.1723896861076355,0.21530239284038544,0.20222434401512146
prepare,0.20405016839504242,0.3789248764514923,0.30663585662841797,0.10762006789445877,0.30959829688072205,0.2779466211795807,0.23856060206890106,0.2688513994216919,0.15354737639427185,0.10437332838773727,0.30854982137680054,0.6213857531547546,0.2184009552001953,0.2191268503665924
pupils,0.13872474431991577,0.22638830542564392,0.180222749710083,0.25899529457092285,0.17518720030784607,0.48713982105255127,0.15253189206123352,0.161826953291893,0.053885020315647125,0.08588314056396484,0.33346182107925415,0.2997712790966034,0.413528710603714,0.06499303877353668
aged,0.06826620548963547,0.16537721455097198,0.12079130113124847,0.53043133020401,0.09669335186481476,0.20061270892620087,0.2822393774986267,0.11497313529253006,0.2068248689174652,0.16870234906673431,0.19580768048763275,0.24328292906284332,0.18683438003063202,0.15621034801006317
up,1.0000001192092896,0.40375280380249023,0.28591108322143555,0.14081111550331116,0.26271459460258484,0.2028108537197113,0.3120773434638977,0.38423117995262146,0.15901578962802887,0.13851557672023773,0.2041889876127243,0.1922263652086258,0.19359968602657318,0.1819818764925003
to,0.40375280380249023,1.0,0.455847829580307,0.23830388486385345,0.38876664638519287,0.2905822694301605,0.45010748505592346,0.535392165184021,0.2715383470058441,0.19473806023597717,0.3481958508491516,0.2960403263568878,0.2362271547317505,0.29463258385658264
13,0.0004794958222191781,0.05182816833257675,-0.0796622633934021,0.03737974911928177,-0.05838824436068535,-0.006667551584541798,0.02730540931224823,-0.007407139986753464,0.050498198717832565,0.00406286958605051,-0.003231222042813897,-0.030556611716747284,0.018976612016558647,-0.11384815722703934
years,0.24200905859470367,0.23891852796077728,0.1981470286846161,0.477315217256546,0.180253803730011,0.24958103895187378,0.33554986119270325,0.2912273406982422,0.2736840844154358,0.2154371440410614,0.21537712216377258,0.18848943710327148,0.23278145492076874,0.1914375126361847
old,0.1661805808544159,0.2412436157464981,0.22117848694324493,0.3780447840690613,0.1431131362915039,0.18753564357757568,0.2865324318408966,0.31849798560142517,0.23403705656528473,0.24223244190216064,0.14465323090553284,0.1930297315120697,0.17869268357753754,0.20577076077461243
to,0.40375280380249023,1.0,0.455847829580307,0.23830388486385345,0.38876664638519287,0.2905822694301605,0.45010748505592346,0.535392165184021,0.2715383470058441,0.19473806023597717,0.3481958508491516,0.2960403263568878,0.2362271547317505,0.29463258385658264
enter,0.190712571144104,0.3060675263404846,0.2278345823287964,0.14311352372169495,0.2698597013950348,0.22965629398822784,0.2540470063686371,0.3499310314655304,0.18126192688941956,0.17846348881721497,0.3585602343082428,0.2891860604286194,0.135722815990448,0.11047764122486115
public,0.14496830105781555,0.2672370672225952,0.1729622185230255,0.12472128868103027,0.14626605808734894,0.3258378803730011,0.29074716567993164,0.22857438027858734,0.30716967582702637,0.2544805109500885,0.32432588934898376,0.33324551582336426,0.4260808527469635,0.19872993230819702
schools,0.19359968602657318,0.2362271547317505,0.1820785105228424,0.1549680382013321,0.19505831599235535,0.6169943809509277,0.2632134258747101,0.22905772924423218,0.30707988142967224,0.19974325597286224,0.4374011754989624,0.4085295796394348,1.0,0.18349280953407288
.,0.351434588432312,0.4645031690597534,0.3567904531955719,0.2498820275068283,0.3613996207714081,0.2607303857803345,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.23047322034835815,0.1994091272354126,0.25015321373939514,0.2752705216407776,0.4130953550338745
