,what,republic,has,maintained,its,control,of,iran,?
the,0.42745697498321533,0.2862427830696106,0.4177538752555847,0.2751169800758362,0.559237003326416,0.32841500639915466,0.733189046382904,0.2222200483083725,0.22068053483963013
islamic,0.2204568088054657,0.2628084719181061,0.14078153669834137,0.19390466809272766,0.2048245519399643,0.11910463124513626,0.25656506419181824,0.4710836112499237,0.1692383587360382
republic,0.18626701831817627,0.9999999403953552,0.18762972950935364,0.09027647972106934,0.2300533801317215,0.2744846045970917,0.2802940905094147,0.3211982548236847,0.16880398988723755
has,0.20338068902492523,0.18762972950935364,1.0,0.1698572039604187,0.4627293348312378,0.18516941368579865,0.3909035325050354,0.19236522912979126,0.15994466841220856
also,0.42747777700424194,0.23320212960243225,0.505894660949707,0.21277205646038055,0.41668900847435,0.26935648918151855,0.4924938678741455,0.24878323078155518,0.21848613023757935
maintained,0.20107032358646393,0.09027647972106934,0.1698572039604187,1.0000001192092896,0.246238574385643,0.308443158864975,0.2985607385635376,0.09500738233327866,0.17174425721168518
its,0.30393704771995544,0.2300533801317215,0.4627293348312378,0.246238574385643,1.0,0.23098616302013397,0.48690423369407654,0.19463782012462616,0.15103481709957123
hold,0.20790280401706696,0.16939043998718262,0.24276848137378693,0.2565244138240814,0.24689245223999023,0.3043520748615265,0.2465030699968338,0.1727595180273056,0.18586084246635437
on,0.34226128458976746,0.15945054590702057,0.34604379534721375,0.22541135549545288,0.34331920742988586,0.2284763753414154,0.3966929316520691,0.1285727322101593,0.2714994251728058
power,0.22216427326202393,0.1534702628850937,0.1779095083475113,0.211390420794487,0.2320486605167389,0.41215890645980835,0.25273123383522034,0.1758042573928833,0.15304024517536163
in,0.30808621644973755,0.2782426178455353,0.4173259735107422,0.21686826646327972,0.3793783485889435,0.24831421673297882,0.5696388483047485,0.2470509260892868,0.20430970191955566
iran,0.1860760748386383,0.3211982548236847,0.19236522912979126,0.09500738233327866,0.19463782012462616,0.14065048098564148,0.23381876945495605,1.0,0.13501082360744476
in,0.30808621644973755,0.2782426178455353,0.4173259735107422,0.21686826646327972,0.3793783485889435,0.24831421673297882,0.5696388483047485,0.2470509260892868,0.20430970191955566
spite,0.21531596779823303,0.10654537379741669,0.2588801980018616,0.2638954520225525,0.31708070635795593,0.129562646150589,0.3317907452583313,0.16695022583007812,0.1537058800458908
of,0.33290785551071167,0.2802940905094147,0.3909035325050354,0.2985607385635376,0.48690423369407654,0.2817542552947998,1.0,0.23381876945495605,0.1826142966747284
us,0.32081687450408936,0.15630130469799042,0.16496556997299194,0.1827465146780014,0.15464551746845245,0.12065272033214569,0.23568789660930634,0.18379206955432892,0.2742428481578827
economic,0.18082544207572937,0.24663405120372772,0.2052665501832962,0.22680781781673431,0.27847450971603394,0.22424155473709106,0.3030148148536682,0.19921056926250458,0.1206481084227562
sanctions,0.3307080864906311,0.1644289642572403,0.1647941917181015,0.28763577342033386,0.23563705384731293,0.2842755615711212,0.23423455655574799,0.2659151554107666,0.2475357949733734
",",0.3087472915649414,0.24418231844902039,0.3734780251979828,0.21539410948753357,0.33157986402511597,0.20811550319194794,0.4946078956127167,0.21806921064853668,0.31091248989105225
and,0.31309178471565247,0.25642362236976624,0.43716782331466675,0.28013068437576294,0.3841775357723236,0.29790008068084717,0.5116966962814331,0.21643413603305817,0.20544172823429108
has,0.20338068902492523,0.18762972950935364,1.0,0.1698572039604187,0.4627293348312378,0.18516941368579865,0.3909035325050354,0.19236522912979126,0.15994466841220856
created,0.20714101195335388,0.1734246462583542,0.2519540786743164,0.3039276897907257,0.28512200713157654,0.15902239084243774,0.32043445110321045,0.10246577113866806,0.21177415549755096
or,0.33867141604423523,0.17498844861984253,0.316264808177948,0.17426462471485138,0.30017510056495667,0.21823447942733765,0.3792596757411957,0.20138238370418549,0.32389625906944275
assisted,0.1354658454656601,0.09483898431062698,0.10563670098781586,0.3224574029445648,0.09257277101278305,0.31556451320648193,0.282266229391098,0.16369286179542542,0.08560974150896072
like-minded,0.39803770184516907,0.16023050248622894,0.2894904613494873,0.29147687554359436,0.25250595808029175,0.18796849250793457,0.325588196516037,0.19874180853366852,0.3500843048095703
shia,0.16993695497512817,0.17107748985290527,0.11587034910917282,0.15449237823486328,0.10423995554447174,0.132868230342865,0.17946043610572815,0.44335293769836426,0.18920543789863586
terrorist,0.19741851091384888,0.17347972095012665,0.13928720355033875,0.1462325006723404,0.15834449231624603,0.15543071925640106,0.1716226041316986,0.2847844958305359,0.14968016743659973
groups,0.23137421905994415,0.17529211938381195,0.21874025464057922,0.13270224630832672,0.16035817563533783,0.15713047981262207,0.24723079800605774,0.16843289136886597,0.14349548518657684
in,0.30808621644973755,0.2782426178455353,0.4173259735107422,0.21686826646327972,0.3793783485889435,0.24831421673297882,0.5696388483047485,0.2470509260892868,0.20430970191955566
iraq,0.19968436658382416,0.27616164088249207,0.17999696731567383,0.18211489915847778,0.2592979967594147,0.1926131397485733,0.24110949039459229,0.6300618648529053,0.13788843154907227
",",0.3087472915649414,0.24418231844902039,0.3734780251979828,0.21539410948753357,0.33157986402511597,0.20811550319194794,0.4946078956127167,0.21806921064853668,0.31091248989105225
