,what,needs,to,be,larger,to,get,the,same,work,out,of,lower,pressure,steam,?
to,0.455847829580307,0.3999912142753601,1.0,0.4972836375236511,0.27928784489631653,1.0,0.4388369917869568,0.535392165184021,0.3205692768096924,0.3482864499092102,0.42386990785598755,0.41548454761505127,0.233318492770195,0.30812981724739075,0.22894427180290222,0.29463258385658264
derive,0.24581676721572876,0.15696154534816742,0.23538504540920258,0.22687821090221405,0.19546979665756226,0.23538504540920258,0.17881910502910614,0.28650766611099243,0.25766250491142273,0.19852203130722046,0.18785910308361053,0.28225037455558777,0.20918409526348114,0.13322371244430542,0.18243947625160217,0.138357475399971
equal,0.2397335022687912,0.2629798352718353,0.28325995802879333,0.3166142404079437,0.21977609395980835,0.28325995802879333,0.2814399003982544,0.21154357492923737,0.42329803109169006,0.22532610595226288,0.20040838420391083,0.2787107825279236,0.2082320898771286,0.26319995522499084,0.11774831265211105,0.15421567857265472
work,0.3762225806713104,0.38107502460479736,0.3482864499092102,0.34449198842048645,0.18890351057052612,0.3482864499092102,0.3732481598854065,0.2704800069332123,0.27608993649482727,1.0,0.2687481939792633,0.23473061621189117,0.1517663449048996,0.225436732172966,0.1961936056613922,0.2621155381202698
from,0.2737620174884796,0.20775219798088074,0.4069952368736267,0.3107333183288574,0.19401557743549347,0.4069952368736267,0.3159880042076111,0.40150508284568787,0.29289567470550537,0.20936714112758636,0.3196950852870941,0.4249346852302551,0.2286408692598343,0.16618163883686066,0.2270648181438446,0.19969791173934937
lower-pressure,0.3006000816822052,0.2361125946044922,0.3608352541923523,0.30206599831581116,0.29620596766471863,0.3608352541923523,0.28772661089897156,0.33124586939811707,0.2758120596408844,0.263389527797699,0.29162469506263733,0.2801431715488434,0.5634544491767883,0.895282506942749,0.32518470287323,0.20680983364582062
steam,0.15672586858272552,0.20047898590564728,0.22894427180290222,0.22586002945899963,0.16878406703472137,0.22894427180290222,0.17733164131641388,0.23105813562870026,0.12612633407115936,0.1961936056613922,0.1924295872449875,0.20239725708961487,0.17331621050834656,0.32320529222488403,1.0000001192092896,0.113324373960495
requires,0.24784088134765625,0.5798021554946899,0.2967781126499176,0.34043407440185547,0.2000010460615158,0.2967781126499176,0.30250024795532227,0.2693159878253937,0.2630915641784668,0.2508397400379181,0.18644513189792633,0.29617026448249817,0.15156902372837067,0.21342326700687408,0.15768934786319733,0.26020103693008423
a,0.3320399522781372,0.34144335985183716,0.45503583550453186,0.39883795380592346,0.2846074104309082,0.45503583550453186,0.27948489785194397,0.5829201340675354,0.4048157036304474,0.266241192817688,0.34264278411865234,0.5052502155303955,0.2221667766571045,0.23459996283054352,0.2141898274421692,0.23916715383529663
larger,0.23663538694381714,0.245463564991951,0.27928784489631653,0.319801926612854,1.0000001192092896,0.27928784489631653,0.2292676419019699,0.378620445728302,0.26599594950675964,0.18890351057052612,0.2171550691127777,0.32469573616981506,0.34871938824653625,0.2433246523141861,0.16878406703472137,0.1602165699005127
