,what,will,the,``,50,'',given,to,the,super,bowl,winner,weigh,in,pounds,?
each,0.3353266417980194,0.4154128432273865,0.470844566822052,0.1741076558828354,0.07577235251665115,-0.02088087610900402,0.28536584973335266,0.3941934108734131,0.470844566822052,0.1298409402370453,0.12666155397891998,0.19548963010311127,0.26509785652160645,0.30816060304641724,0.26522812247276306,0.21173812448978424
digit,0.1937682181596756,0.2715877592563629,0.285200834274292,0.4006814658641815,0.02568308636546135,0.060174960643053055,0.16661183536052704,0.21778646111488342,0.285200834274292,0.172504723072052,0.17496541142463684,0.16166286170482635,0.20516318082809448,0.20658433437347412,0.2667084038257599,0.18151362240314484
will,0.3510494530200958,1.0,0.3635469079017639,0.07008423656225204,0.07188837975263596,-0.00181001634337008,0.3105083107948303,0.5091033577919006,0.3635469079017639,0.1544499397277832,0.1507955938577652,0.21189402043819427,0.31367677450180054,0.2580665349960327,0.24562722444534302,0.35046905279159546
weigh,0.24345776438713074,0.31367677450180054,0.18926309049129486,0.11744791269302368,0.08983735740184784,-0.023960990831255913,0.16500023007392883,0.2372981756925583,0.18926309049129486,0.11052869260311127,0.13910791277885437,0.09879408031702042,1.0000001192092896,0.14941439032554626,0.6147064566612244,0.25093239545822144
33,-0.15484987199306488,-0.00218005757778883,-0.03255842998623848,-0.01641661860048771,0.04033725708723068,0.007830564863979816,-0.10050271451473236,-0.042861104011535645,-0.03255842998623848,-0.01011964026838541,-0.0737578421831131,-0.1943942755460739,0.11118846386671066,-0.11882872134447098,0.07216383516788483,-0.19592872262001038
lb,0.10980933159589767,0.19189384579658508,0.11970353126525879,0.1307298094034195,0.008486799895763397,-0.10525873303413391,0.15880882740020752,0.15806052088737488,0.11970353126525879,0.1404120773077011,0.21907399594783783,0.0771920382976532,0.539096474647522,0.10486554354429245,0.563682496547699,0.19396306574344635
(,0.2411840260028839,0.26469120383262634,0.33289089798927307,0.15585018694400787,0.03192463144659996,-0.022970275953412056,0.2224431186914444,0.30882009863853455,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.24413546919822693,0.23141393065452576,0.3087427020072937,0.18413324654102325,0.40561532974243164
15,-0.01077192835509777,-0.02772373892366886,-0.011810222640633583,-0.13322193920612335,-0.002598449354991317,0.04381263628602028,-0.10224272310733795,-0.047946229577064514,-0.011810222640633583,0.05679239332675934,0.08152211457490921,0.08035897463560104,-0.0033994533587247133,0.02424248494207859,-0.03481333702802658,-0.010706285014748573
kg,0.08752016723155975,0.18216757476329803,0.14337459206581116,0.12354104220867157,-0.03730445355176926,-0.07122167199850082,0.2041715383529663,0.14216412603855133,0.14337459206581116,0.09340774267911911,0.1519930064678192,0.13798706233501434,0.5982378125190735,0.1480094939470291,0.6146824359893799,0.14374905824661255
),0.26259949803352356,0.24492529034614563,0.3456730246543884,0.1698397845029831,-0.0024984623305499554,-0.028269650414586067,0.25457310676574707,0.31236231327056885,0.3456730246543884,0.1971341073513031,0.16361013054847717,0.23899239301681519,0.21772557497024536,0.3326910734176636,0.174909308552742,0.42300865054130554
