,what,did,basset,analyze,before,coming,to,his,conclusions,?
during,0.24137552082538605,0.30679523944854736,0.09723711758852005,0.20027007162570953,0.4833252727985382,0.3113897740840912,0.2828781306743622,0.36789870262145996,0.17681950330734253,0.1325719803571701
his,0.26976513862609863,0.3546801507472992,0.17061173915863037,0.1565515249967575,0.358011394739151,0.2838437557220459,0.3715193271636963,0.9999998807907104,0.2198694795370102,0.18075084686279297
analysis,0.2842639982700348,0.16624894738197327,0.12832698225975037,0.6809750199317932,0.1309177726507187,0.1512613594532013,0.21860700845718384,0.17700746655464172,0.446840763092041,0.15352053940296173
of,0.33290785551071167,0.2513895630836487,0.17474320530891418,0.2221144735813141,0.3282964527606964,0.31330832839012146,0.41548454761505127,0.38364991545677185,0.2213919460773468,0.1826142966747284
nineteenth-century,0.2100762575864792,0.25969114899635315,0.22520963847637177,0.22754240036010742,0.29605215787887573,0.25007566809654236,0.24242883920669556,0.33018970489501953,0.22582800686359406,0.12242254614830017
cartographic,0.15486185252666473,0.17073526978492737,0.2352665513753891,0.29393333196640015,0.16635189950466156,0.08063626289367676,0.21821047365665436,0.1624288260936737,0.22201824188232422,0.13701729476451874
techniques,0.19165433943271637,0.21477444469928741,0.12310009449720383,0.42601433396339417,0.22698639333248138,0.08137647062540054,0.2575913667678833,0.2309902459383011,0.32164981961250305,0.1533757448196411
",",0.3087472915649414,0.3015086054801941,0.21245740354061127,0.1857992708683014,0.3156566619873047,0.32352879643440247,0.44245919585227966,0.3378419280052185,0.23858857154846191,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.16158579289913177,0.10562922060489655,0.3621264398097992,0.2832106947898865,0.385390967130661,0.7171558737754822,0.18448038399219513,0.2089974731206894
highlights,0.23293812572956085,0.17197751998901367,0.06785261631011963,0.17590589821338654,0.20822501182556152,0.15879128873348236,0.22284379601478577,0.1550777554512024,0.21222220361232758,0.17713455855846405
the,0.42745697498321533,0.34736719727516174,0.19770842790603638,0.2610788345336914,0.45900648832321167,0.4306776821613312,0.535392165184021,0.4394008219242096,0.22610555589199066,0.22068053483963013
use,0.3453877568244934,0.32446643710136414,0.13501106202602386,0.3487902581691742,0.25643518567085266,0.2686096131801605,0.47261837124824524,0.19605936110019684,0.2217210978269577,0.32795652747154236
of,0.33290785551071167,0.2513895630836487,0.17474320530891418,0.2221144735813141,0.3282964527606964,0.31330832839012146,0.41548454761505127,0.38364991545677185,0.2213919460773468,0.1826142966747284
blank,0.2176256626844406,0.16947798430919647,0.1088462769985199,0.11404838413000107,0.2211102545261383,0.12612003087997437,0.2217026799917221,0.19548621773719788,0.17285147309303284,0.21930930018424988
space,0.20525942742824554,0.1488010138273239,0.07431753724813461,0.28719162940979004,0.22552019357681274,0.17230696976184845,0.22712917625904083,0.14531013369560242,0.1870294064283371,0.1885536164045334
to,0.455847829580307,0.4452643394470215,0.15541698038578033,0.2967029809951782,0.4190867841243744,0.37835928797721863,1.0,0.3715193271636963,0.2665666341781616,0.29463258385658264
denote,0.2585914134979248,0.1529988944530487,0.08318222314119339,0.18401041626930237,0.177639901638031,0.158222034573555,0.2229822427034378,0.08689600229263306,0.2610118091106415,0.2174435704946518
unknown,0.2441980093717575,0.16901658475399017,0.09857155382633209,0.21580742299556732,0.17625129222869873,0.22579370439052582,0.2203521579504013,0.29005128145217896,0.29677513241767883,0.22083927690982819
or,0.33867141604423523,0.28211739659309387,0.11311345547437668,0.26050835847854614,0.3352810740470886,0.28963321447372437,0.38921234011650085,0.2118215411901474,0.23406469821929932,0.32389625906944275
unexplored,0.2668616473674774,0.20208214223384857,0.1060032993555069,0.26283901929855347,0.21017706394195557,0.247707799077034,0.23936088383197784,0.20976832509040833,0.3394089341163635,0.17081645131111145
territory,0.21338070929050446,0.14672954380512238,0.15042313933372498,0.06946223229169846,0.20787757635116577,0.15256153047084808,0.2642725706100464,0.18494030833244324,0.10135756433010101,0.09435105323791504
.,0.3567904531955719,0.35288307070732117,0.19447849690914154,0.21424360573291779,0.36693984270095825,0.32087481021881104,0.4645031690597534,0.3119256794452667,0.23955658078193665,0.4130953550338745
,what,did,basset,analyze,before,coming,to,his,conclusions,?
to,0.455847829580307,0.4452643394470215,0.15541698038578033,0.2967029809951782,0.4190867841243744,0.37835928797721863,1.0,0.3715193271636963,0.2665666341781616,0.29463258385658264
better,0.3551420271396637,0.30515921115875244,0.11060842871665955,0.2003229558467865,0.2922855019569397,0.20850025117397308,0.29406851530075073,0.2529103457927704,0.1349545121192932,0.32159438729286194
illustrate,0.27783066034317017,0.1559685468673706,0.1498008668422699,0.2753085494041443,0.09308795630931854,0.15011806786060333,0.2710002064704895,0.20126767456531525,0.27107805013656616,0.19764339923858643
this,0.5489566326141357,0.3609912693500519,0.11216361075639725,0.3192199766635895,0.39637717604637146,0.3833339810371399,0.5759071707725525,0.3549620509147644,0.3217143714427948,0.3155723512172699
