,what,hymn,did,luther,write,after,the,martyrdom,of,esch,and,voes,?
this,0.5489566326141357,0.16291919350624084,0.3609912693500519,0.17328955233097076,0.3430570960044861,0.3357301354408264,0.6274310946464539,0.20940208435058594,0.45148900151252747,0.16893760859966278,0.42353692650794983,0.22472138702869415,0.3155723512172699
behavior,0.3737046718597412,0.009766263887286186,0.17911140620708466,0.11295241117477417,0.1519578993320465,0.10681363940238953,0.2124595195055008,0.1348440945148468,0.1818811446428299,0.11538484692573547,0.22840261459350586,0.113559789955616,0.20805177092552185
started,0.21609699726104736,0.1424422562122345,0.3904789686203003,0.1694270372390747,0.2622615694999695,0.443480521440506,0.3222070634365082,0.18367645144462585,0.22928385436534882,0.14310385286808014,0.2649672031402588,0.22587646543979645,0.19447724521160126
with,0.2464839518070221,0.148435577750206,0.25472134351730347,0.14705438911914825,0.22812609374523163,0.33843478560447693,0.4223487675189972,0.20007428526878357,0.41827285289764404,0.19710782170295715,0.5477725267410278,0.2694065272808075,0.2433311939239502
his,0.26976513862609863,0.20094148814678192,0.3546801507472992,0.27093374729156494,0.2745184898376465,0.41949746012687683,0.4394008219242096,0.31117725372314453,0.38364991545677185,0.14995816349983215,0.4234102666378021,0.2654341161251068,0.18075084686279297
learning,0.29806870222091675,0.18520203232765198,0.22718432545661926,0.13097092509269714,0.3685704469680786,0.18149636685848236,0.2504628002643585,0.2258099466562271,0.23709416389465332,0.20010288059711456,0.2687397301197052,0.20714198052883148,0.25810256600379944
of,0.33290785551071167,0.27317509055137634,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.3867455720901489,0.733189046382904,0.3053757846355438,1.0,0.24286475777626038,0.5116966962814331,0.264090359210968,0.1826142966747284
the,0.42745697498321533,0.22713270783424377,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.4565047025680542,1.0,0.2568643093109131,0.733189046382904,0.2576843202114105,0.5171257257461548,0.3069547414779663,0.22068053483963013
execution,0.2218502163887024,0.07555404305458069,0.19928541779518127,0.17864222824573517,0.2320232391357422,0.21756036579608917,0.2074618637561798,0.3618945777416229,0.2427012324333191,0.15496927499771118,0.16205447912216187,0.08292409032583237,0.15878841280937195
of,0.33290785551071167,0.27317509055137634,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.3867455720901489,0.733189046382904,0.3053757846355438,1.0,0.24286475777626038,0.5116966962814331,0.264090359210968,0.1826142966747284
johann,0.14257463812828064,0.2852459251880646,0.20292572677135468,0.3837730586528778,0.2190401405096054,0.15328314900398254,0.1716882735490799,0.27165132761001587,0.19805940985679626,0.3386606276035309,0.22396446764469147,0.28347307443618774,0.1194499209523201
esch,0.18808503448963165,0.12358668446540833,0.07795703411102295,0.2504364550113678,0.17289435863494873,0.14063535630702972,0.2576843202114105,0.1367207169532776,0.24286475777626038,1.0000001192092896,0.2045113891363144,0.3675757944583893,0.18257418274879456
and,0.31309178471565247,0.1816401183605194,0.34479495882987976,0.20796556770801544,0.2489921897649765,0.3765919506549835,0.5171257257461548,0.22641240060329437,0.5116966962814331,0.2045113891363144,1.0,0.3322458267211914,0.20544172823429108
heinrich,0.14115774631500244,0.22248801589012146,0.18175017833709717,0.38229793310165405,0.20887991786003113,0.20038223266601562,0.22804324328899384,0.24816296994686127,0.21753917634487152,0.3791395425796509,0.20870816707611084,0.2614362835884094,0.16990648210048676
voes,0.1991618275642395,0.2788707911968231,0.2481946051120758,0.1679193377494812,0.22645844519138336,0.21139776706695557,0.3069547414779663,0.18284644186496735,0.264090359210968,0.3675757944583893,0.3322458267211914,1.0000001192092896,0.23562505841255188
",",0.3087472915649414,0.22048476338386536,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.38860568404197693,0.4933079481124878,0.23861335217952728,0.4946078956127167,0.25994279980659485,0.6633074283599854,0.3500317931175232,0.31091248989105225
the,0.42745697498321533,0.22713270783424377,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.4565047025680542,1.0,0.2568643093109131,0.733189046382904,0.2576843202114105,0.5171257257461548,0.3069547414779663,0.22068053483963013
first,0.28086137771606445,0.20774662494659424,0.33691170811653137,0.20517638325691223,0.24849028885364532,0.42302387952804565,0.49448907375335693,0.21281105279922485,0.3536086082458496,0.10977533459663391,0.3167642652988434,0.24115578830242157,0.18701928853988647
individuals,0.25709760189056396,0.05439183488488197,0.18585044145584106,0.1928480565547943,0.12137966603040695,0.18934188783168793,0.3022412955760956,0.1825578361749649,0.27365922927856445,0.1478768140077591,0.2956017851829529,0.20223690569400787,0.20243582129478455
to,0.455847829580307,0.1294938325881958,0.4452643394470215,0.18029534816741943,0.4184085726737976,0.37890323996543884,0.535392165184021,0.19073344767093658,0.41548454761505127,0.22360774874687195,0.48971283435821533,0.29723629355430603,0.29463258385658264
be,0.3929833769798279,0.14811815321445465,0.22657383978366852,0.15299063920974731,0.30719614028930664,0.32360681891441345,0.4248143136501312,0.15359444916248322,0.33904364705085754,0.17444856464862823,0.41766801476478577,0.17822620272636414,0.3324260413646698
martyred,0.20968006551265717,0.3472682535648346,0.2808261215686798,0.39410483837127686,0.17587706446647644,0.2784671485424042,0.3024164140224457,0.8194769620895386,0.3294887840747833,0.13603733479976654,0.2964535653591156,0.23842163383960724,0.1638646274805069
by,0.2455483376979828,0.1872738152742386,0.18574509024620056,0.15382802486419678,0.16883166134357452,0.41259682178497314,0.4408751428127289,0.22627022862434387,0.3646814823150635,0.1981421560049057,0.4289871156215668,0.17329886555671692,0.17966607213020325
the,0.42745697498321533,0.22713270783424377,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.4565047025680542,1.0,0.2568643093109131,0.733189046382904,0.2576843202114105,0.5171257257461548,0.3069547414779663,0.22068053483963013
roman,0.17852471768856049,0.26079413294792175,0.1483525037765503,0.19715401530265808,0.16615907847881317,0.15456973016262054,0.2862859070301056,0.3211804926395416,0.31028008460998535,0.16551996767520905,0.2730041444301605,0.23588518798351288,0.1663191318511963
