,what,was,the,building,that,formerly,occupied,the,v,&,a,'s,present,site,called,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3159640431404114,0.5473989248275757,0.2854805290699005,0.3288927674293518,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.2829846143722534,0.288954496383667,0.489897221326828,0.22068053483963013
land,0.23411516845226288,0.23751215636730194,0.28587454557418823,0.2101743221282959,0.256797194480896,0.1666637808084488,0.28851157426834106,0.28587454557418823,0.1269713044166565,0.10297435522079468,0.247930645942688,0.10497291386127472,0.17324933409690857,0.2008039504289627,0.2831287086009979,0.1432059109210968
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.237406387925148,0.33670201897621155,0.2907106578350067,0.3012172281742096,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.008974763564765453,0.1278916448354721,0.24460934102535248,0.33927658200263977,0.18412111699581146
occupied,0.2295091450214386,0.3012172281742096,0.3288927674293518,0.1967766135931015,0.21359877288341522,0.20723533630371094,1.0,0.3288927674293518,-0.010108087211847305,0.15014635026454926,0.17403075098991394,-0.009159070439636707,0.26661163568496704,0.21716323494911194,0.23208269476890564,0.11679025739431381
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.20441755652427673,0.37496164441108704,0.19880634546279907,0.2622529864311218,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,-0.010884488001465797,0.15190309286117554,0.16451333463191986,0.3092815577983856,0.17966607213020325
brompton,0.19883570075035095,0.274530827999115,0.29877346754074097,0.17507410049438477,0.21462026238441467,0.18266187608242035,0.12564478814601898,0.29877346754074097,0.20121900737285614,0.21738947927951813,0.27073436975479126,-0.08359377086162567,0.11245729774236679,0.14707809686660767,0.2239612340927124,0.15745997428894043
park,0.13500720262527466,0.22738584876060486,0.24748283624649048,0.23498322069644928,0.1718325912952423,0.18194232881069183,0.2364445924758911,0.24748283624649048,0.11575467139482498,0.1779061108827591,0.2207280695438385,-0.027052083984017372,0.10979211330413818,0.248991459608078,0.20937706530094147,0.13508929312229156
house,0.200801283121109,0.28759756684303284,0.2847244441509247,0.33306685090065,0.1695767343044281,0.11231263726949692,0.2117038369178772,0.2847244441509247,0.15695612132549286,0.1367931067943573,0.26758551597595215,0.0011872146278619766,0.18096774816513062,0.19717395305633545,0.20276714861392975,0.13736455142498016
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2374238669872284,0.4137537479400635,0.2646653354167938,0.27128130197525024,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.267320841550827,0.2036259025335312,0.26549121737480164,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.3029557466506958,0.6894589066505432,0.31071120500564575,0.23706555366516113,0.6521818041801453,0.1653934270143509,0.16294614970684052,0.56894451379776,0.03856118768453598,0.27609559893608093,0.25946786999702454,0.5573342442512512,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.237406387925148,0.33670201897621155,0.2907106578350067,0.3012172281742096,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.008974763564765453,0.1278916448354721,0.24460934102535248,0.33927658200263977,0.18412111699581146
extended,0.20863614976406097,0.23736250400543213,0.3160722553730011,0.1037982851266861,0.31359121203422546,0.18781697750091553,0.22313562035560608,0.3160722553730011,0.16251450777053833,0.056424155831336975,0.24976085126399994,-0.0012415836099535227,0.16503408551216125,0.08088938891887665,0.22847604751586914,0.17568568885326385
