,who,did,peyton,manning,complete,an,18,yard,pass,to,on,the,opening,drive,?
denver,0.20955970883369446,0.16413381695747375,0.38455939292907715,0.36400365829467773,0.047634780406951904,0.17798778414726257,-0.05334141477942467,0.2258097231388092,0.16917091608047485,0.23706497251987457,0.1561855524778366,0.2052404284477234,0.10460881143808365,0.12098202109336853,0.1520889848470688
took,0.2481452226638794,0.42470768094062805,0.20924805104732513,0.18411393463611603,0.16344034671783447,0.1708475798368454,-0.07835880666971207,0.07918303459882736,0.10032956302165985,0.24576251208782196,0.22459004819393158,0.31657639145851135,0.2356862723827362,0.1290472149848938,0.14109265804290771
the,0.3733934462070465,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.277624249458313,0.4207492768764496,-0.07796193659305573,0.22634266316890717,0.25961899757385254,0.535392165184021,0.5107308030128479,1.0,0.37298497557640076,0.2083187699317932,0.22068053483963013
opening,0.12329958379268646,0.143735870718956,0.2150452733039856,0.24547283351421356,0.2717154622077942,0.1827966272830963,-0.1059313416481018,0.21728107333183289,0.2594235837459564,0.2393702119588852,0.2229088544845581,0.37298497557640076,1.0,0.17058205604553223,0.16502447426319122
kickoff,0.15115003287792206,0.12269725650548935,0.38470762968063354,0.45715853571891785,0.20733028650283813,0.18702736496925354,-0.028088971972465515,0.36719992756843567,0.2549406588077545,0.22069962322711945,0.23558132350444794,0.17987047135829926,0.2133951038122177,0.24157564342021942,0.1969275325536728
and,0.41279885172843933,0.34479495882987976,0.27112144231796265,0.2638654112815857,0.20886704325675964,0.2838519215583801,-0.07680561393499374,0.20639188587665558,0.2433357536792755,0.48971283435821533,0.4077630043029785,0.5171257257461548,0.23275460302829742,0.19344621896743774,0.20544172823429108
started,0.2424432635307312,0.3904789686203003,0.16369487345218658,0.2606656551361084,0.19704578816890717,0.2356705665588379,-0.09985212981700897,0.10493400692939758,0.0926477462053299,0.24973157048225403,0.35066497325897217,0.3222070634365082,0.21723462641239166,0.09280993044376373,0.19447724521160126
out,0.3129808306694031,0.28413498401641846,0.2924584746360779,0.2759818434715271,0.2413482367992401,0.2333006113767624,-0.09987758100032806,0.24262209236621857,0.18695145845413208,0.42386990785598755,0.39060163497924805,0.39404502511024475,0.2739563286304474,0.20891399681568146,0.22020699083805084
strong,0.2281126081943512,0.21554261445999146,0.16783413290977478,0.12544776499271393,0.2095242440700531,0.2345537394285202,0.022467851638793945,0.08865299075841904,0.16807568073272705,0.2913058400154114,0.19628293812274933,0.22482411563396454,0.11281617730855942,0.13409742712974548,0.11990999430418015
with,0.3282766342163086,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.20904628932476044,0.2730048894882202,-0.08583108335733414,0.12714087963104248,0.16526761651039124,0.4239959120750427,0.40749499201774597,0.4223487675189972,0.20575091242790222,0.1761467009782791,0.2433311939239502
