,how,many,soldiers,were,in,each,tumen,?
there,0.3328511416912079,0.4993700683116913,0.2598743736743927,0.4359818994998932,0.5361666083335876,0.36370885372161865,0.23729954659938812,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.4077155888080597,1.0000001192092896,0.3815755248069763,0.23227569460868835,0.2708328068256378,0.17890112102031708
4,-0.09503452479839325,-0.054631516337394714,0.22030988335609436,0.08416327089071274,0.08310048282146454,-0.013482154347002506,0.08412773162126541,0.010515431873500347
han,0.1633017361164093,0.24089652299880981,0.14858531951904297,0.185258150100708,0.1791689544916153,0.17680934071540833,0.30259591341018677,0.17129439115524292
tumens,0.1711575835943222,0.2821034789085388,0.2781006097793579,0.28452253341674805,0.23258556425571442,0.22566105425357819,0.815503716468811,0.11407921463251114
and,0.33647966384887695,0.5296266674995422,0.25842928886413574,0.42175528407096863,0.4954058527946472,0.2984027564525604,0.23015248775482178,0.20544172823429108
3,0.12271612882614136,0.026462629437446594,-0.00012284802505746484,-0.03975234925746918,0.06326868385076523,0.064928337931633,-0.002902757842093706,0.005975271109491587
khitan,0.15470613539218903,0.178911492228508,0.25019556283950806,0.23881027102470398,0.20611163973808289,0.12046881020069122,0.3521793484687805,0.22136270999908447
tumens,0.1711575835943222,0.2821034789085388,0.2781006097793579,0.28452253341674805,0.23258556425571442,0.22566105425357819,0.815503716468811,0.11407921463251114
",",0.22659391164779663,0.40610817074775696,0.2250073105096817,0.36755475401878357,0.5201468467712402,0.207483172416687,0.28969746828079224,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.22975948452949524,0.3179011940956116,0.4080928862094879,0.4100050628185272,0.14469502866268158,0.2433311939239502
each,0.4183253347873688,0.35348209738731384,0.23573772609233856,0.23227569460868835,0.30816060304641724,1.0,0.14841964840888977,0.21173812448978424
tumen,0.10131923109292984,0.18678119778633118,0.34878435730934143,0.2708328068256378,0.23089802265167236,0.14841964840888977,0.9999999403953552,0.09744579344987869
consisting,0.12645268440246582,0.20334763824939728,0.20788292586803436,0.3004372715950012,0.2985212802886963,0.3682107925415039,0.2226485162973404,0.006223649252206087
of,0.2480744868516922,0.37253960967063904,0.26257410645484924,0.34038281440734863,0.5696388483047485,0.38460010290145874,0.2844906747341156,0.1826142966747284
"10,000",-0.08011393249034882,-0.13516037166118622,-0.09736804664134979,-0.13171876966953278,-0.056806739419698715,-0.11767719686031342,-0.009869352914392948,0.10342991352081299
troops,0.10607875138521194,0.21669772267341614,0.6848421096801758,0.3331645429134369,0.25826749205589294,0.1581915318965912,0.25634026527404785,0.14329779148101807
.,0.3287222981452942,0.3974229395389557,0.24540002644062042,0.3378238379955292,0.5591574311256409,0.31204065680503845,0.2238851934671402,0.4130953550338745
