,how,long,has,the,imagery,of,the,mermaid,been,used,by,warsaw,?
this,0.45272302627563477,0.3617446720600128,0.4198763072490692,0.6274310946464539,0.21874389052391052,0.45148900151252747,0.6274310946464539,0.20109975337982178,0.3736515939235687,0.3996967375278473,0.38438332080841064,0.1978864073753357,0.3155723512172699
imagery,0.16688841581344604,0.10728905349969864,0.10745920985937119,0.1883656531572342,1.0,0.21418070793151855,0.1883656531572342,0.3416931927204132,0.1840617060661316,0.24169965088367462,0.21309833228588104,0.04410519823431969,0.13269741833209991
has,0.26820555329322815,0.2952231168746948,1.0,0.4177538752555847,0.10745920985937119,0.3909035325050354,0.4177538752555847,0.22706973552703857,0.6162750124931335,0.23367926478385925,0.3254803419113159,0.16755639016628265,0.15994466841220856
been,0.26456597447395325,0.3324016332626343,0.6162750124931335,0.3563927710056305,0.1840617060661316,0.31685134768486023,0.3563927710056305,0.21954768896102905,0.9999998807907104,0.2855360507965088,0.39107078313827515,0.1453571766614914,0.24354910850524902
in,0.2601168751716614,0.2759332060813904,0.4173259735107422,0.6662389636039734,0.19859579205513,0.5696388483047485,0.6662389636039734,0.22369128465652466,0.3515113592147827,0.3090210556983948,0.370934396982193,0.22642600536346436,0.20430970191955566
use,0.39296725392341614,0.2960711717605591,0.2701425552368164,0.34342584013938904,0.2461569905281067,0.2750902473926544,0.34342584013938904,0.09769199788570404,0.27338850498199463,0.7127541303634644,0.21048003435134888,0.15681643784046173,0.32795652747154236
since,0.2347431182861328,0.2609017491340637,0.5216675996780396,0.4054957628250122,0.16196706891059875,0.35513219237327576,0.4054957628250122,0.14694425463676453,0.6581953763961792,0.23610791563987732,0.32704517245292664,0.2226824164390564,0.2876587212085724
at,0.2154216170310974,0.2525537312030792,0.2743658423423767,0.457212895154953,0.16337420046329498,0.42558613419532776,0.457212895154953,0.14362943172454834,0.2504468560218811,0.22295412421226501,0.2368064820766449,0.20140162110328674,0.21978627145290375
least,0.2839330732822418,0.23195859789848328,0.31280517578125,0.3428877890110016,0.1001494973897934,0.32696738839149475,0.3428877890110016,0.12937285006046295,0.3547329306602478,0.21684689819812775,0.21649974584579468,0.09520521014928818,0.28866854310035706
the,0.33890387415885925,0.3075225353240967,0.4177538752555847,1.0,0.1883656531572342,0.733189046382904,1.0,0.23196867108345032,0.3563927710056305,0.3718377649784088,0.4408751428127289,0.23137180507183075,0.22068053483963013
mid-14th,0.2518998086452484,0.1537427306175232,0.1609157919883728,0.39211341738700867,0.20847512781620026,0.28643304109573364,0.39211341738700867,0.2595134377479553,0.15633408725261688,0.3130057156085968,0.298223614692688,0.1959676742553711,0.053286656737327576
century,0.1569085419178009,0.12708476185798645,0.2044479250907898,0.3617299497127533,0.18829938769340515,0.2826060354709625,0.3617299497127533,0.17319388687610626,0.2718826234340668,0.29442450404167175,0.29995259642601013,0.17518171668052673,0.1026201918721199
.,0.3287222981452942,0.3247973620891571,0.4105546176433563,0.5934505462646484,0.1871396005153656,0.5352458953857422,0.5934505462646484,0.19383952021598816,0.33645182847976685,0.33111312985420227,0.3936232924461365,0.26825499534606934,0.4130953550338745
