,what,was,suggested,at,the,symposium,in,1967
a,0.3320399522781372,0.4508470594882965,0.2665110230445862,0.3095070421695709,0.5829201340675354,0.20539188385009766,0.539380669593811,-0.005675012711435556
member,0.09932345896959305,0.31559354066848755,0.18879809975624084,0.17957790195941925,0.2806392312049866,0.13347220420837402,0.20856694877147675,0.1102122813463211
of,0.33290785551071167,0.4069072902202606,0.29373469948768616,0.42558613419532776,0.733189046382904,0.24309422075748444,0.5696388483047485,0.07289459556341171
davies,0.14111879467964172,0.2509008049964905,0.20306484401226044,0.22345958650112152,0.22865624725818634,0.14746974408626556,0.1982824057340622,-0.11694514006376266
',0.3245812654495239,0.33675912022590637,0.25618064403533936,0.22634780406951904,0.474788099527359,0.17843973636627197,0.4158826768398285,0.028114009648561478
team,0.17632107436656952,0.13986483216285706,0.12388374656438828,0.22562791407108307,0.22564226388931274,0.12945932149887085,0.18841172754764557,-0.001711815013550222
(,0.2411840260028839,0.2980341613292694,0.2011171281337738,0.23315078020095825,0.33289089798927307,0.17494726181030273,0.3087427020072937,0.0372605174779892
roger,0.1456337571144104,0.26313790678977966,0.09866059571504593,0.2144312709569931,0.1998666524887085,0.15029096603393555,0.16691862046718597,0.00948551669716835
scantlebury,0.27987539768218994,0.3184419572353363,0.3150007426738739,0.29433730244636536,0.3742935061454773,0.3101605176925659,0.3381694555282593,-0.030588053166866302
),0.26259949803352356,0.3267642855644226,0.20355874300003052,0.23338089883327484,0.3456730246543884,0.1743326634168625,0.3326910734176636,0.06566459685564041
met,0.2157946228981018,0.3100595772266388,0.30696967244148254,0.30074748396873474,0.2303115278482437,0.1422051340341568,0.23768870532512665,0.023737497627735138
lawrence,0.17999349534511566,0.206548273563385,0.12228991091251373,0.23584625124931335,0.2352556735277176,0.2229667454957962,0.2335701733827591,-0.11674808710813522
roberts,0.1479903757572174,0.26560845971107483,0.12118427455425262,0.23507584631443024,0.2579696774482727,0.19376309216022491,0.26282280683517456,-0.1116822361946106
at,0.2838611304759979,0.36707764863967896,0.22737403213977814,1.0,0.457212895154953,0.25675860047340393,0.4374977946281433,-0.02278926596045494
the,0.42745697498321533,0.48711544275283813,0.28443726897239685,0.457212895154953,1.0,0.20559418201446533,0.6662389636039734,-0.012038951739668846
1967,-0.0218155886977911,0.059212569147348404,0.03536595404148102,-0.02278926596045494,-0.012038951739668846,0.05657413229346275,0.004017085302621126,1.0000001192092896
acm,0.18937039375305176,0.20171700417995453,0.14826467633247375,0.23626156151294708,0.24140942096710205,0.4525901675224304,0.21246437728405,0.052362240850925446
symposium,0.22630378603935242,0.226090207695961,0.2138422280550003,0.25675860047340393,0.20559418201446533,1.0000001192092896,0.22913138568401337,0.05657413229346275
on,0.34226128458976746,0.3909217119216919,0.231298565864563,0.4806317389011383,0.5107308030128479,0.2558846175670624,0.46853652596473694,-0.11705082654953003
operating,0.25311869382858276,0.22596235573291779,0.12047168612480164,0.20436453819274902,0.28778329491615295,0.21590043604373932,0.2706070840358734,-0.1296069324016571
system,0.23557309806346893,0.2147521674633026,0.18025240302085876,0.1684759259223938,0.3233085572719574,0.2443929761648178,0.21978288888931274,-0.06822383403778076
principles,0.3122304081916809,0.15514956414699554,0.2790316939353943,0.1440499871969223,0.21452596783638,0.34663328528404236,0.16260969638824463,0.09369894117116928
and,0.31309178471565247,0.3740963041782379,0.2645586431026459,0.3571503460407257,0.5171257257461548,0.15306447446346283,0.4954058527946472,-0.056995928287506104
suggested,0.30050885677337646,0.30712512135505676,0.9999999403953552,0.22737403213977814,0.28443726897239685,0.2138422280550003,0.23595884442329407,0.03536595404148102
it,0.45803478360176086,0.4577186405658722,0.26964178681373596,0.36473900079727173,0.6251175999641418,0.20869331061840057,0.5130809545516968,-0.06324918568134308
for,0.3017193675041199,0.3863949179649353,0.3348638117313385,0.34237727522850037,0.4739971458911896,0.22173579037189484,0.4322226941585541,0.033193573355674744
use,0.3453877568244934,0.17744606733322144,0.24385641515254974,0.22117964923381805,0.34342584013938904,0.16788093745708466,0.2715643048286438,-0.06990125775337219
in,0.30808621644973755,0.45514053106307983,0.23595884442329407,0.4374977946281433,0.6662389636039734,0.22913138568401337,1.0,0.004017085302621126
the,0.42745697498321533,0.48711544275283813,0.28443726897239685,0.457212895154953,1.0,0.20559418201446533,0.6662389636039734,-0.012038951739668846
arpanet,0.21845723688602448,0.19370940327644348,0.2727094292640686,0.21949471533298492,0.26561665534973145,0.31122127175331116,0.20853756368160248,-0.09137476235628128
.,0.3567904531955719,0.40146201848983765,0.2633555829524994,0.4549728035926819,0.5934505462646484,0.18931154906749725,0.5591574311256409,0.03085298277437687
