,when,was,the,agreement,to,acquire,abc,approved,by,upt,'s,board,?
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.22078442573547363,0.41031414270401,0.1614929735660553,0.2862928807735443,0.276600182056427,0.33887791633605957,0.27111709117889404,0.0026888418942689896,0.31186380982398987,0.2714994251728058
june,0.2469879388809204,0.42821118235588074,0.24568822979927063,0.253805547952652,0.22441016137599945,0.0800921767950058,0.22739821672439575,0.3059597909450531,0.19631804525852203,0.10262235254049301,-0.0547623410820961,0.1592637002468109,0.31416764855384827
6,0.11803975701332092,0.021614471450448036,0.041227471083402634,0.02815352939069271,0.14752747118473053,0.043217141181230545,0.07212936878204346,0.02314123511314392,0.02900889329612255,0.053937625139951706,0.06298240274190903,0.029627623036503792,0.045001473277807236
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23435252904891968,0.44245919585227966,0.19705404341220856,0.2097204476594925,0.28550124168395996,0.3680937886238098,0.23893846571445465,-0.0016132977325469255,0.25734269618988037,0.31091248989105225
1951,-0.14713290333747864,-0.15923678874969482,-0.20524539053440094,-0.15478456020355225,-0.14842139184474945,-0.05168536677956581,-0.20744729042053223,-0.3120972812175751,-0.2066641002893448,-0.08868690580129623,0.05847541242837906,-0.17017140984535217,-0.20064012706279755
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23435252904891968,0.44245919585227966,0.19705404341220856,0.2097204476594925,0.28550124168395996,0.3680937886238098,0.23893846571445465,-0.0016132977325469255,0.25734269618988037,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.2490699142217636,0.535392165184021,0.19284681975841522,0.2068762183189392,0.30207422375679016,0.4408751428127289,0.25772973895072937,-0.01540423184633255,0.2871673107147217,0.22068053483963013
tentative,0.16400499641895294,0.18638502061367035,0.20629741251468658,0.2130165994167328,0.2593776285648346,0.08868654072284698,0.15956665575504303,0.29378971457481384,0.1938110888004303,0.05151538923382759,-0.06239745765924454,0.14248491823673248,0.16796042025089264
agreement,0.23616954684257507,0.23975293338298798,0.2490699142217636,1.0,0.2757699489593506,0.1907636970281601,0.16430042684078217,0.3694762587547302,0.19332832098007202,0.15421871840953827,0.012729662470519543,0.14477859437465668,0.15830197930335999
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.23975293338298798,0.3636345863342285,0.16291773319244385,0.21565799415111542,0.27298814058303833,0.4752357602119446,0.14962729811668396,0.008974763564765453,0.20878413319587708,0.18412111699581146
approved,0.23851343989372253,0.27298814058303833,0.30207422375679016,0.3694762587547302,0.2687867283821106,0.20851317048072815,0.1413784772157669,1.0,0.297686904668808,0.14860785007476807,-0.004867183975875378,0.19380652904510498,0.25914356112480164
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.19332832098007202,0.33534231781959534,0.2215878963470459,0.17600902915000916,0.297686904668808,1.0000001192092896,0.22814954817295074,-0.010884488001465797,0.15669898688793182,0.17966607213020325
upt,0.24586787819862366,0.14962729811668396,0.25772973895072937,0.15421871840953827,0.28000348806381226,0.20275548100471497,0.16452030837535858,0.14860785007476807,0.22814954817295074,0.9999999403953552,-0.040505778044462204,0.128250852227211,0.22407570481300354
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.012729662470519543,0.03782717138528824,-0.037388402968645096,0.06670809537172318,-0.004867183975875378,-0.010884488001465797,-0.040505778044462204,0.9999999403953552,-0.025999367237091064,-0.023395681753754616
board,0.2081456184387207,0.20878413319587708,0.2871673107147217,0.14477859437465668,0.20624859631061554,0.11304259300231934,0.08729095011949539,0.19380652904510498,0.15669898688793182,0.128250852227211,-0.025999367237091064,1.0000001192092896,0.1261475533246994
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.21259461343288422,0.41548454761505127,0.19236667454242706,0.14607268571853638,0.3106788992881775,0.3646814823150635,0.16551406681537628,-0.03817026689648628,0.23488809168338776,0.1826142966747284
directors,0.14910128712654114,0.2526875138282776,0.28179070353507996,0.10773168504238129,0.2201766073703766,0.15777362883090973,0.1020636036992073,0.23919375240802765,0.28984856605529785,0.13323169946670532,0.0054014031775295734,0.3815777599811554,0.10687020421028137
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.20123955607414246,0.4645031690597534,0.15675117075443268,0.2567209303379059,0.29869166016578674,0.3936232924461365,0.25213178992271423,-0.003708066651597619,0.2503213584423065,0.4130953550338745
