,what,law,connects,relative,velocities,with,inertia,?
by,0.2455483376979828,0.1977037936449051,0.14947642385959625,0.18679097294807434,0.20300723612308502,0.39731505513191223,0.19757124781608582,0.17966607213020325
making,0.30777570605278015,0.1884552538394928,0.11094070971012115,0.17829468846321106,0.14712806046009064,0.37677428126335144,0.1470915973186493,0.2539324164390564
rest,0.35225364565849304,0.19642703235149384,0.2811182737350464,0.21159076690673828,0.19792932271957397,0.3280266523361206,0.2708790600299835,0.1725541204214096
physically,0.30163097381591797,0.25126391649246216,0.16172969341278076,0.21859154105186462,0.241829976439476,0.3012513220310211,0.36620578169822693,0.10199815034866333
indistinguishable,0.2814302146434784,0.22251413762569427,0.2312123328447342,0.3319045901298523,0.2749062478542328,0.24904482066631317,0.33782702684402466,0.14603234827518463
from,0.2737620174884796,0.19070591032505035,0.2195621281862259,0.14469009637832642,0.22769242525100708,0.26272761821746826,0.10158716887235641,0.19969791173934937
non-zero,0.2520442605018616,0.1750219613313675,-0.026928801089525223,0.2510574460029602,0.3573591709136963,0.2581758201122284,0.3387168347835541,0.2880384027957916
constant,0.22559526562690735,0.27736684679985046,0.07369238883256912,0.4503496587276459,0.41172677278518677,0.23216186463832855,0.49287816882133484,0.14516431093215942
velocity,0.21937116980552673,0.18315158784389496,0.07161367684602737,0.4274245500564575,0.8766971230506897,0.18260422348976135,0.5580039024353027,0.20807628333568573
",",0.3087472915649414,0.24953721463680267,0.2184714376926422,0.21147610247135162,0.2471611648797989,0.4120737314224243,0.18049104511737823,0.31091248989105225
newton,0.20841743052005768,0.34055307507514954,-0.004879786632955074,0.2467290312051773,0.30810993909835815,0.1584642082452774,0.30453911423683167,0.09645649790763855
's,0.02692362666130066,-0.06109188124537468,0.001717011327855289,-0.023081103339791298,-0.015531021170318127,-0.04624466598033905,-0.02465587668120861,-0.023395681753754616
first,0.28086137771606445,0.1839938908815384,0.12306834012269974,0.18837742507457733,0.117905393242836,0.2691199779510498,0.1837179958820343,0.18701928853988647
law,0.2145031988620758,1.0000001192092896,0.10374802350997925,0.24416032433509827,0.1953982561826706,0.12950056791305542,0.29094550013542175,0.1528988480567932
directly,0.3618607521057129,0.2082669883966446,0.2767544090747833,0.17978207767009735,0.27680066227912903,0.23776929080486298,0.25082433223724365,0.2187996357679367
connects,0.17800764739513397,0.10374802350997925,1.0,0.16908113658428192,0.10476911067962646,0.24056369066238403,0.10142191499471664,0.06525750458240509
inertia,0.2659069001674652,0.29094550013542175,0.10142191499471664,0.4137860834598541,0.5524364709854126,0.12954220175743103,0.9999998807907104,0.20492924749851227
with,0.2464839518070221,0.12950056791305542,0.24056369066238403,0.3084399700164795,0.23956559598445892,0.9999999403953552,0.12954220175743103,0.2433311939239502
the,0.42745697498321533,0.24548950791358948,0.3196312189102173,0.24540278315544128,0.23509471118450165,0.4223487675189972,0.2222520112991333,0.22068053483963013
concept,0.28724339604377747,0.2657865881919861,0.17224416136741638,0.26792243123054504,0.2785061299800873,0.16215780377388,0.3397224545478821,0.17160645127296448
of,0.33290785551071167,0.2816956341266632,0.26901975274086,0.32158899307250977,0.20356988906860352,0.41827285289764404,0.23255228996276855,0.1826142966747284
relative,0.24426062405109406,0.24416032433509827,0.16908113658428192,1.0000001192092896,0.4329923093318939,0.3084399700164795,0.4137860834598541,0.1457768678665161
velocities,0.2293684184551239,0.1953982561826706,0.10476911067962646,0.4329923093318939,1.0000001192092896,0.23956559598445892,0.5524364709854126,0.21449832618236542
.,0.3567904531955719,0.24482665956020355,0.18689489364624023,0.21581801772117615,0.22351732850074768,0.4446153938770294,0.21765384078025818,0.4130953550338745
,what,law,connects,relative,velocities,with,inertia,?
that,0.6297725439071655,0.23277728259563446,0.18619242310523987,0.30116739869117737,0.3261851370334625,0.4154358208179474,0.3041691482067108,0.32716336846351624
is,0.28837618231773376,0.18597714602947235,0.3361116349697113,0.23987647891044617,0.1743892878293991,0.3250955045223236,0.2161921113729477,0.22961433231830597
",",0.3087472915649414,0.24953721463680267,0.2184714376926422,0.21147610247135162,0.2471611648797989,0.4120737314224243,0.18049104511737823,0.31091248989105225
