,when,did,espn,take,over,responsibility,for,abc,'s,sports,division,?
due,0.27254438400268555,0.15152592957019806,0.15675073862075806,0.16709844768047333,0.2075299322605133,0.25480857491493225,0.2363993525505066,0.13995635509490967,0.03925589844584465,0.09680258482694626,0.06413672864437103,0.10954997688531876
to,0.5423505902290344,0.4452643394470215,0.21040675044059753,0.4075521230697632,0.38635820150375366,0.27145519852638245,0.4451248347759247,0.1762417107820511,0.03782717138528824,0.1915440857410431,0.20332986116409302,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.19345609843730927,0.31620436906814575,0.39856547117233276,0.3036732077598572,0.4739971458911896,0.2068762183189392,-0.01540423184633255,0.20313861966133118,0.26203617453575134,0.22068053483963013
erratic,0.2907237410545349,0.19137661159038544,0.16666676104068756,0.22214290499687195,0.22971372306346893,0.13441888988018036,0.20360496640205383,0.12125429511070251,0.017877105623483658,0.0301803071051836,-0.006360480561852455,0.17828913033008575
and,0.4716290831565857,0.34479495882987976,0.17554140090942383,0.296702116727829,0.4021143913269043,0.2740771174430847,0.5064792633056641,0.16453155875205994,0.06895173341035843,0.2629663348197937,0.23460866510868073,0.20544172823429108
(,0.2459595799446106,0.18979617953300476,0.19824522733688354,0.21149633824825287,0.20570816099643707,0.13447000086307526,0.3357032239437103,0.183883935213089,0.0012731997994706035,0.15170113742351532,0.2016449272632599,0.40561532974243164
outside,0.43530115485191345,0.21874573826789856,0.21249689161777496,0.1965198814868927,0.33282721042633057,0.19208885729312897,0.2657284140586853,0.05827951431274414,-0.10228612273931503,0.2454913854598999,0.15315228700637817,0.14839068055152893
of,0.3757161796092987,0.2513895630836487,0.12878696620464325,0.29282352328300476,0.36136594414711,0.28464245796203613,0.4185989499092102,0.14607268571853638,-0.03817026689648628,0.24392472207546234,0.23579144477844238,0.1826142966747284
college,0.1806776076555252,0.2254478633403778,0.32239606976509094,0.15795546770095825,0.12901878356933594,0.18870869278907776,0.22815082967281342,0.24934804439544678,0.012106797657907009,0.23840469121932983,0.20711952447891235,0.11076676845550537
football,0.17074745893478394,0.1318265050649643,0.3977890610694885,0.11103905737400055,0.1593274474143982,0.11679962277412415,0.23134100437164307,0.17121970653533936,-0.03938785195350647,0.4357759952545166,0.2724754512310028,0.14957410097122192
