,what,type,of,writings,did,the,reading,of,the,qur'an,bring,out,in,luther,?
he,0.3114890456199646,0.11091722548007965,0.38706058263778687,0.22338810563087463,0.3292143940925598,0.4571082592010498,0.22704051434993744,0.38706058263778687,0.4571082592010498,0.20480568706989288,0.21812371909618378,0.29240235686302185,0.41690486669540405,0.2454872578382492,0.2089974731206894
went,0.20164033770561218,0.06476227194070816,0.2527906000614166,0.15244626998901367,0.4810470640659332,0.3345835506916046,0.21747365593910217,0.2527906000614166,0.3345835506916046,0.1321139633655548,0.2865409851074219,0.2536795139312744,0.30470821261405945,0.16118715703487396,0.12109432369470596
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.1818399876356125,0.2670976221561432,0.5107308030128479,0.26369044184684753,0.3966929316520691,0.5107308030128479,0.11925455182790756,0.21795320510864258,0.39060163497924805,0.46853652596473694,0.19090485572814941,0.2714994251728058
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.18383939564228058,0.4452643394470215,0.535392165184021,0.28756070137023926,0.41548454761505127,0.535392165184021,0.2178901880979538,0.4213464558124542,0.42386990785598755,0.45010748505592346,0.18029534816741943,0.29463258385658264
produce,0.1685742735862732,0.22653578221797943,0.19541172683238983,0.11793772876262665,0.21033655107021332,0.23457570374011993,0.08081214129924774,0.19541172683238983,0.23457570374011993,0.12369443476200104,0.3100503981113434,0.20198281109333038,0.21160131692886353,0.08841759711503983,0.19229066371917725
several,0.22446060180664062,0.13228869438171387,0.3271615505218506,0.27136826515197754,0.24080568552017212,0.40559855103492737,0.1976407766342163,0.3271615505218506,0.40559855103492737,0.14116060733795166,0.1912255585193634,0.23978015780448914,0.39405709505081177,0.2095126509666443,0.15595775842666626
critical,0.3103362023830414,0.12196051329374313,0.2872886061668396,0.3515731394290924,0.26059970259666443,0.25937238335609436,0.27279454469680786,0.2872886061668396,0.25937238335609436,0.20093008875846863,0.17924970388412476,0.2543366551399231,0.23975791037082672,0.15676313638687134,0.2388133704662323
pamphlets,0.25429636240005493,0.13009800016880035,0.23330137133598328,0.5337362289428711,0.23580940067768097,0.21724416315555573,0.2260804921388626,0.23330137133598328,0.21724416315555573,0.287475049495697,0.2134794443845749,0.2154592126607895,0.24570704996585846,0.25356394052505493,0.253634512424469
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.1818399876356125,0.2670976221561432,0.5107308030128479,0.26369044184684753,0.3966929316520691,0.5107308030128479,0.11925455182790756,0.21795320510864258,0.39060163497924805,0.46853652596473694,0.19090485572814941,0.2714994251728058
islam,0.23237212002277374,0.08514412492513657,0.21728332340717316,0.32748955488204956,0.19058109819889069,0.2207694798707962,0.15845341980457306,0.21728332340717316,0.2207694798707962,0.595927357673645,0.1910422444343567,0.17286203801631927,0.16687287390232086,0.2635498344898224,0.18358638882637024
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21987015008926392,0.3015086054801941,0.4933079481124878,0.28206467628479004,0.4946078956127167,0.4933079481124878,0.12573015689849854,0.2407366931438446,0.3161109685897827,0.5201468467712402,0.23255878686904907,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.21949607133865356,0.2750149369239807,0.6521818041801453,0.2681724727153778,0.5011631846427917,0.6521818041801453,0.23077735304832458,0.3096829950809479,0.37864550948143005,0.4840516746044159,0.17501473426818848,0.25814583897590637
he,0.3114890456199646,0.11091722548007965,0.38706058263778687,0.22338810563087463,0.3292143940925598,0.4571082592010498,0.22704051434993744,0.38706058263778687,0.4571082592010498,0.20480568706989288,0.21812371909618378,0.29240235686302185,0.41690486669540405,0.2454872578382492,0.2089974731206894
called,0.3235960602760315,0.30593958497047424,0.4222904443740845,0.2153959423303604,0.277748167514801,0.489897221326828,0.1250811517238617,0.4222904443740845,0.489897221326828,0.17668463289737701,0.21885177493095398,0.3122950792312622,0.40847352147102356,0.09754475206136703,0.18963319063186646
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.023104794323444366,-0.029888948425650597,0.029072100296616554,-0.013096900656819344,0.06780257821083069,0.029072100296616554,0.12468928098678589,-0.04662468656897545,0.024644849821925163,0.04765888676047325,-0.013964727520942688,0.0685480609536171
mohammedanism,0.24628566205501556,0.2225542515516281,0.25661736726760864,0.3256889581680298,0.19241629540920258,0.2599872052669525,0.12342903763055801,0.25661736726760864,0.2599872052669525,0.4932842552661896,0.15963321924209595,0.14286494255065918,0.22275248169898987,0.25505807995796204,0.21348468959331512
