,what,year,did,tvontario,start,showing,doctor,who,episodes,?
tvontario,0.19549939036369324,0.2034512311220169,0.14903606474399567,1.0,0.20111700892448425,0.11449515074491501,0.20310617983341217,0.2034616470336914,0.23587249219417572,0.16048352420330048
picked,0.22830641269683838,0.19117599725723267,0.21608832478523254,0.21586991846561432,0.2641966938972473,0.1846872717142105,0.11820527911186218,0.3212279677391052,0.24141937494277954,0.11181110143661499
up,0.28591108322143555,0.16653390228748322,0.21613863110542297,0.20766928791999817,0.3789933919906616,0.21138198673725128,0.15522944927215576,0.26056501269340515,0.22401122748851776,0.1819818764925003
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2780003249645233,0.3656389117240906,0.34540408849716187,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.22068053483963013
show,0.29653704166412354,0.14376221597194672,0.1697595715522766,0.1906670182943344,0.21123769879341125,0.5041070580482483,0.2094513326883316,0.2095358669757843,0.5198086500167847,0.2520138621330261
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.2929712235927582,0.29979339241981506,0.2822064757347107,0.25567495822906494,0.2792111933231354,0.17357411980628967,0.20430970191955566
1976,0.1609642058610916,0.06069868057966232,0.18825019896030426,0.06729067116975784,0.04285428673028946,0.0040593985468149185,0.16571776568889618,0.16651569306850433,0.14190183579921722,0.08586528897285461
beginning,0.3351518511772156,0.38203126192092896,0.28616875410079956,0.22713597118854523,0.5557746887207031,0.2224310040473938,0.14553077518939972,0.25200510025024414,0.2861580550670624,0.19413669407367706
with,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.24743889272212982,0.26863762736320496,0.3176843225955963,0.17277967929840088,0.3282766342163086,0.24692673981189728,0.2433311939239502
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2780003249645233,0.3656389117240906,0.34540408849716187,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.22068053483963013
three,0.24888746440410614,0.2806354761123657,0.2043166607618332,0.25106966495513916,0.17157593369483948,0.23200224339962006,0.12298633903265,0.2491552233695984,0.2550216317176819,0.20928427577018738
doctors,0.28694474697113037,0.09199967980384827,0.28996434807777405,0.14139781892299652,0.1687961220741272,0.13455772399902344,0.6945362687110901,0.34335678815841675,0.2150476723909378,0.19305896759033203
and,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.27332356572151184,0.2890162169933319,0.2609715461730957,0.21673844754695892,0.41279885172843933,0.246442511677742,0.20544172823429108
aired,0.1692323386669159,0.2463400959968567,0.1378907710313797,0.27307212352752686,0.17475402355194092,0.20601864159107208,0.23426684737205505,0.15698964893817902,0.6296877264976501,0.22283338010311127
each,0.3353266417980194,0.286208838224411,0.20516681671142578,0.17623651027679443,0.30052313208580017,0.29122108221054077,0.1160493865609169,0.27337536215782166,0.23675084114074707,0.21173812448978424
series,0.17328087985515594,0.2600080966949463,0.15581852197647095,0.29626965522766113,0.1727558672428131,0.20155158638954163,0.2712797522544861,0.21484537422657013,0.5597400069236755,0.1709602326154709
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.2573746144771576,0.21442380547523499,0.17631499469280243,0.1570640504360199,0.2443375140428543,0.17736345529556274,0.40561532974243164
several,0.22446060180664062,0.21163222193717957,0.24080568552017212,0.22210006415843964,0.14809980988502502,0.23635220527648926,0.1561049073934555,0.30628830194473267,0.23043577373027802,0.15595775842666626
years,0.1981470286846161,0.5195499062538147,0.2695724070072174,0.2590563893318176,0.2326207011938095,0.0758078321814537,0.1280619502067566,0.29867154359817505,0.23877567052841187,0.1914375126361847
late,0.1576872020959854,0.2591397762298584,0.27609187364578247,0.26770344376564026,0.3330981135368347,0.20153620839118958,0.09912649542093277,0.19296042621135712,0.19589118659496307,0.11339222639799118
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.2549140155315399,0.24182365834712982,0.19856099784374237,0.1509941965341568,0.2457384318113327,0.1691657453775406,0.42300865054130554
through,0.23167094588279724,0.14608070254325867,0.14190755784511566,0.14471903443336487,0.3071753978729248,0.20549440383911133,0.17974799871444702,0.17793183028697968,0.18837817013263702,0.16913433372974396
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.15465132892131805,0.33345553278923035,0.2401157021522522,0.22950075566768646,0.42656609416007996,0.21516069769859314,0.29463258385658264
series,0.17328087985515594,0.2600080966949463,0.15581852197647095,0.29626965522766113,0.1727558672428131,0.20155158638954163,0.2712797522544861,0.21484537422657013,0.5597400069236755,0.1709602326154709
24,0.01621486060321331,-0.059001874178647995,-0.04566230997443199,-0.05827411636710167,-0.11006905138492584,-0.0738939717411995,0.009352179244160652,-0.03541684150695801,-0.035430166870355606,0.016154835000634193
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.2929712235927582,0.29979339241981506,0.2822064757347107,0.25567495822906494,0.2792111933231354,0.17357411980628967,0.20430970191955566
1991,0.15930123627185822,0.04858509823679924,0.21974095702171326,-0.056260522454977036,0.08220232278108597,-0.03241506963968277,0.09401901066303253,0.230638325214386,-0.05138033255934715,0.175977423787117
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.28096485137939453,0.3501981496810913,0.2555331587791443,0.22361043095588684,0.3541337847709656,0.22130145132541656,0.4130953550338745
