,which,countries,use,the,green,greek,cross,as,a,symbol,of,pharmacy,?
other,0.50507652759552,0.42453643679618835,0.389494389295578,0.44152235984802246,0.188397616147995,0.19001959264278412,0.23444709181785583,0.42805421352386475,0.2806335389614105,0.2017587274312973,0.38583824038505554,0.18628889322280884,0.24682199954986572
symbols,0.26877260208129883,0.18791139125823975,0.35798344016075134,0.22359615564346313,0.17072123289108276,0.23022708296775818,0.20481543242931366,0.23502181470394135,0.2283145785331726,0.7318593859672546,0.276145339012146,0.0870528593659401,0.16658984124660492
are,0.42922598123550415,0.35174399614334106,0.4174068570137024,0.40399202704429626,0.21746626496315002,0.1616707146167755,0.16982895135879517,0.3826591968536377,0.265255331993103,0.12635833024978638,0.39081433415412903,0.1491841822862625,0.24591213464736938
common,0.3148902356624603,0.3351489007472992,0.3850046396255493,0.2705984115600586,0.17993487417697906,0.18304435908794403,0.1533031463623047,0.2140667736530304,0.29638534784317017,0.19994765520095825,0.2949881851673126,0.06683652102947235,0.20434872806072235
in,0.4840516746044159,0.3027990758419037,0.2715643048286438,0.6662389636039734,0.22731968760490417,0.17752651870250702,0.18247009813785553,0.3887844979763031,0.539380669593811,0.1552523821592331,0.5696388483047485,0.22082467377185822,0.20430970191955566
different,0.48997771739959717,0.4056633412837982,0.4095414876937866,0.36412742733955383,0.17447316646575928,0.2437198907136917,0.23368598520755768,0.2646806538105011,0.29175353050231934,0.16834916174411774,0.3747533857822418,0.20134437084197998,0.24476227164268494
countries,0.29131221771240234,0.9999999403953552,0.33462896943092346,0.33290645480155945,0.09409714490175247,0.17334295809268951,0.11188627034425735,0.2406298965215683,0.2672088146209717,0.128437802195549,0.2800094783306122,0.19641880691051483,0.15128466486930847
:,-0.11049769818782806,0.04958808794617653,-0.16000241041183472,-0.03403344005346298,-0.055407725274562836,0.02829708904027939,0.03692231699824333,-0.11037297546863556,-0.0007584693375974894,-0.0374993272125721,-0.08807745575904846,0.010269176214933395,-0.07156077772378922
the,0.6521818041801453,0.33290645480155945,0.34342584013938904,1.0,0.24099771678447723,0.23564283549785614,0.25741100311279297,0.48381632566452026,0.5829201340675354,0.22023849189281464,0.733189046382904,0.1938311904668808,0.22068053483963013
green,0.23538582026958466,0.09409714490175247,0.16682563722133636,0.24099771678447723,1.0,0.22144715487957,0.19352516531944275,0.21718569099903107,0.2557748556137085,0.1711380034685135,0.2225196659564972,0.17769809067249298,0.11409882456064224
greek,0.2572530210018158,0.17334295809268951,0.18509520590305328,0.23564283549785614,0.22144715487957,0.9999999403953552,0.14948628842830658,0.16667966544628143,0.25844764709472656,0.24591036140918732,0.2256247103214264,0.1446525901556015,0.11180876195430756
cross,0.24171970784664154,0.11188627034425735,0.15100742876529694,0.25741100311279297,0.19352516531944275,0.14948628842830658,1.0000001192092896,0.19365482032299042,0.21602843701839447,0.2407768815755844,0.2018742561340332,0.13658829033374786,0.12288589030504227
in,0.4840516746044159,0.3027990758419037,0.2715643048286438,0.6662389636039734,0.22731968760490417,0.17752651870250702,0.18247009813785553,0.3887844979763031,0.539380669593811,0.1552523821592331,0.5696388483047485,0.22082467377185822,0.20430970191955566
france,0.1980295330286026,0.35085076093673706,0.1956159770488739,0.35517507791519165,0.1958528459072113,0.1926981657743454,0.16428516805171967,0.19034622609615326,0.24802380800247192,0.09523778408765793,0.3265724182128906,0.18034416437149048,0.15069349110126495
",",0.3658004403114319,0.2966555655002594,0.3276674151420593,0.4933079481124878,0.2583938241004944,0.24548614025115967,0.2534312307834625,0.48816442489624023,0.427140474319458,0.20107677578926086,0.4946078956127167,0.19815339148044586,0.31091248989105225
argentina,0.22525161504745483,0.2562027871608734,0.08195126056671143,0.23775234818458557,0.10120602697134018,0.16997355222702026,0.12212888151407242,0.1435072422027588,0.19504624605178833,0.07319638133049011,0.21014365553855896,0.07972320169210434,0.14880703389644623
