,what,percentage,of,victorians,are,christian,?
about,0.47976887226104736,0.1676761358976364,0.40939709544181824,0.20366565883159637,0.36165615916252136,0.16377709805965424,0.302409827709198
61.1,0.08620630949735641,0.12147466093301773,-0.05926447734236717,0.04894113168120384,0.06525470316410065,-0.05888548493385315,0.04074889048933983
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.17421793937683105,0.21077655255794525,0.08844535052776337,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.29739347100257874,0.39081433415412903,0.23494116961956024,0.1826142966747284
victorians,0.2266119122505188,0.22787761688232422,0.29739347100257874,0.9999998807907104,0.2585675120353699,0.22470399737358093,0.08565028756856918
describe,0.3217031955718994,0.15580224990844727,0.2764313519001007,0.23323757946491241,0.29026734828948975,0.17236992716789246,0.15151022374629974
themselves,0.34807315468788147,0.22746950387954712,0.2638634443283081,0.3179321587085724,0.45687565207481384,0.2049691528081894,0.20170879364013672
as,0.31749409437179565,0.19401364028453827,0.3886612355709076,0.24589599668979645,0.3826591968536377,0.23712071776390076,0.27043893933296204
christian,0.17849333584308624,0.1121363416314125,0.23494116961956024,0.22470399737358093,0.13086310029029846,1.0,0.1508396863937378
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.22587034106254578,0.3452940285205841,0.2474701702594757,0.4130953550338745
