,who,did,reuters,claim,won,the,1915,nobel,prize,in,physics,?
on,0.2340552806854248,0.2670976221561432,0.19463567435741425,0.21378369629383087,0.21146643161773682,0.5107308030128479,0.09293102473020554,0.18425551056861877,0.1964096873998642,0.46853652596473694,0.13778355717658997,0.2714994251728058
6,0.06694239377975464,-0.0043754540383815765,0.04023447632789612,0.09757792949676514,-0.02354123815894127,0.041227471083402634,0.017172422260046005,0.03498375043272972,0.010745232924818993,-0.0005521549028344452,0.014917938970029354,0.045001473277807236
november,0.2615586519241333,0.27178457379341125,0.24301497638225555,0.16473451256752014,0.27256760001182556,0.25734350085258484,0.12886469066143036,0.19579195976257324,0.19674205780029297,0.27148663997650146,0.16553720831871033,0.3159552216529846
1915,0.16446161270141602,0.10237006098031998,-0.02593415044248104,0.12961921095848083,0.10566910356283188,0.08504247665405273,0.9999999403953552,-0.03383350372314453,-0.03872782737016678,0.006125167012214661,-0.06717569380998611,0.2152155190706253
",",0.3365725874900818,0.3015086054801941,0.2229081392288208,0.2664267122745514,0.35968565940856934,0.4933079481124878,0.09898091107606888,0.29036787152290344,0.28670501708984375,0.5201468467712402,0.26689431071281433,0.31091248989105225
a,0.36608949303627014,0.2552328109741211,0.11235032975673676,0.19074557721614838,0.22534137964248657,0.5829201340675354,0.029343442991375923,0.17441873252391815,0.189753457903862,0.539380669593811,0.1683787703514099,0.23916715383529663
reuters,0.22986286878585815,0.19831395149230957,1.0,0.13472041487693787,0.14157788455486298,0.1947241574525833,-0.02593415044248104,0.31986334919929504,0.23193740844726562,0.1834297925233841,0.2798762321472168,0.20030519366264343
news,0.17873786389827728,0.18422135710716248,0.33378198742866516,0.23600463569164276,0.12613561749458313,0.2294066995382309,0.028686659410595894,0.17183344066143036,0.17029766738414764,0.19753123819828033,0.1270664483308792,0.1899169683456421
agency,0.11960361897945404,0.16776791214942932,0.2589476406574249,0.1906357705593109,0.07317864149808884,0.24253644049167633,-0.13119246065616608,0.16344189643859863,0.1490451693534851,0.18450471758842468,0.14583811163902283,0.18185843527317047
report,0.17796188592910767,0.2986995279788971,0.3351598083972931,0.28365734219551086,0.14105527102947235,0.2556745111942291,-0.015275253914296627,0.21449755132198334,0.20042599737644196,0.204250767827034,0.14797310531139374,0.3138936758041382
