,who,produced,the,doctor,who,revival,series,?
the,0.3733934462070465,0.22045251727104187,1.0,0.2820442318916321,0.3733934462070465,0.30452626943588257,0.31376904249191284,0.22068053483963013
programme,0.2317163497209549,0.23252727091312408,0.23601844906806946,0.2561369240283966,0.2317163497209549,0.2837023138999939,0.300445556640625,0.139840766787529
was,0.3318818509578705,0.28463777899742126,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.3003317415714264,0.2261398285627365,0.18412111699581146
relaunched,0.15200558304786682,0.2715343236923218,0.2622116804122925,0.11113741993904114,0.15200558304786682,0.26445671916007996,0.2725633978843689,0.2140672206878662
in,0.2792111933231354,0.2542861998081207,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.2631177604198456,0.2914260923862457,0.20430970191955566
2005,0.18423187732696533,-0.01997634768486023,0.037273142486810684,0.07635467499494553,0.18423187732696533,0.10179609805345535,0.04714697599411011,0.10709824413061142
by,0.39727845788002014,0.4647648334503174,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.24192027747631073,0.267352432012558,0.17966607213020325
russell,0.2708354890346527,0.06240518018603325,0.2413037121295929,0.12072563916444778,0.2708354890346527,0.18377439677715302,0.21904300153255463,0.11642709374427795
t,0.23457348346710205,0.1999693363904953,0.2083338052034378,0.17748232185840607,0.23457348346710205,0.14321601390838623,0.13229136168956757,0.4954066574573517
davies,0.24405889213085175,0.21945281326770782,0.22865624725818634,0.2710629403591156,0.24405889213085175,0.23878809809684753,0.28206896781921387,0.12641099095344543
",",0.3365725874900818,0.22260788083076477,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2530691921710968,0.24060699343681335,0.31091248989105225
who,0.9999998807907104,0.12907662987709045,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.1408388912677765,0.21484537422657013,0.26220351457595825
was,0.3318818509578705,0.28463777899742126,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.3003317415714264,0.2261398285627365,0.18412111699581146
showrunner,0.219046488404274,0.32750198245048523,0.33062198758125305,0.2384563386440277,0.219046488404274,0.27305516600608826,0.4031081795692444,0.22338807582855225
and,0.41279885172843933,0.24455034732818604,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.2417616993188858,0.26972857117652893,0.20544172823429108
head,0.20998527109622955,0.08458568900823593,0.3079071640968323,0.13413478434085846,0.20998527109622955,0.09569352120161057,0.1065300703048706,0.10879309475421906
writer,0.26322856545448303,0.20138831436634064,0.1583879292011261,0.3492763638496399,0.26322856545448303,0.2350967973470688,0.22928641736507416,0.1860569268465042
for,0.37110671401023865,0.16180217266082764,0.4739971458911896,0.1556548923254013,0.37110671401023865,0.24443419277668,0.2715710699558258,0.264628142118454
the,0.3733934462070465,0.22045251727104187,1.0,0.2820442318916321,0.3733934462070465,0.30452626943588257,0.31376904249191284,0.22068053483963013
first,0.39065709710121155,0.2504335343837738,0.49448907375335693,0.27244147658348083,0.39065709710121155,0.2658042013645172,0.3264976441860199,0.18701928853988647
five,0.22190363705158234,0.1278446465730667,0.41977158188819885,0.11301461607217789,0.22190363705158234,0.20531456172466278,0.29426780343055725,0.18342848122119904
years,0.29867154359817505,0.1589319407939911,0.2912273406982422,0.1280619502067566,0.29867154359817505,0.12069829553365707,0.23415371775627136,0.1914375126361847
of,0.2827862501144409,0.18961067497730255,0.733189046382904,0.16895952820777893,0.2827862501144409,0.2109367549419403,0.22268271446228027,0.1826142966747284
its,0.1326070874929428,0.19729402661323547,0.559237003326416,0.13759362697601318,0.1326070874929428,0.26118358969688416,0.16496503353118896,0.15103481709957123
revival,0.1408388912677765,0.1837950497865677,0.30452626943588257,0.13733609020709991,0.1408388912677765,1.0,0.22159305214881897,0.09967152029275894
",",0.3365725874900818,0.22260788083076477,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2530691921710968,0.24060699343681335,0.31091248989105225
produced,0.12907662987709045,1.0000001192092896,0.22045251727104187,0.12545296549797058,0.12907662987709045,0.1837950497865677,0.2875058650970459,0.1623450517654419
in-house,0.26785269379615784,0.1944567859172821,0.28147611021995544,0.26454970240592957,0.26785269379615784,0.29820728302001953,0.23399043083190918,0.28404587507247925
by,0.39727845788002014,0.4647648334503174,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.24192027747631073,0.267352432012558,0.17966607213020325
bbc,0.2086644321680069,0.2725476324558258,0.2735401690006256,0.32370132207870483,0.2086644321680069,0.24121804535388947,0.31758952140808105,0.20556949079036713
wales,0.21292947232723236,0.14799216389656067,0.23852568864822388,0.1123022586107254,0.21292947232723236,0.15469901263713837,0.15444718301296234,0.15627945959568024
in,0.2792111933231354,0.2542861998081207,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.2631177604198456,0.2914260923862457,0.20430970191955566
cardiff,0.14675560593605042,0.11195668578147888,0.25310054421424866,0.24443048238754272,0.14675560593605042,0.25599536299705505,0.2781163454055786,0.1484801173210144
.,0.3541337847709656,0.2634154260158539,0.5934505462646484,0.22361043095588684,0.3541337847709656,0.1816873699426651,0.3121925890445709,0.4130953550338745
