,how,did,other,countries,have,copies,of,the,show,?
some,0.4180530905723572,0.42553430795669556,0.6399164199829102,0.4101204574108124,0.6421269774436951,0.22543174028396606,0.4300730526447296,0.4566698372364044,0.2778988778591156,0.2562315762042999
episodes,0.16633862257003784,0.1200496256351471,0.1943424642086029,0.2006951868534088,0.22485783696174622,0.2337178885936737,0.19166667759418488,0.1889590173959732,0.5198086500167847,0.21740183234214783
have,0.4370637536048889,0.3783526122570038,0.559082567691803,0.3603367507457733,0.9999999403953552,0.26075875759124756,0.3802283704280853,0.40389683842658997,0.33534201979637146,0.32991164922714233
been,0.26456597447395325,0.2835664749145508,0.34575363993644714,0.27339351177215576,0.6493861675262451,0.28778189420700073,0.31685134768486023,0.3563927710056305,0.23647178709506989,0.24354910850524902
returned,0.1224946528673172,0.32570260763168335,0.1327231526374817,0.1355547457933426,0.19268153607845306,0.16365493834018707,0.28002414107322693,0.32857778668403625,0.2268332540988922,0.07695316523313522
to,0.44169697165489197,0.4452643394470215,0.4193183183670044,0.3111797273159027,0.4544740617275238,0.2263323962688446,0.41548454761505127,0.535392165184021,0.29833272099494934,0.29463258385658264
the,0.33890387415885925,0.34736719727516174,0.44152235984802246,0.33290645480155945,0.40389683842658997,0.2581797242164612,0.733189046382904,1.0,0.319829523563385,0.22068053483963013
bbc,0.1965121626853943,0.1677953153848648,0.15187552571296692,0.22241735458374023,0.1851632297039032,0.1522749662399292,0.1797877550125122,0.2735401690006256,0.33555880188941956,0.20556949079036713
from,0.22939439117908478,0.20248863101005554,0.30141791701316833,0.2355131208896637,0.30702701210975647,0.20756195485591888,0.4249346852302551,0.40150508284568787,0.2004580795764923,0.19969791173934937
the,0.33890387415885925,0.34736719727516174,0.44152235984802246,0.33290645480155945,0.40389683842658997,0.2581797242164612,0.733189046382904,1.0,0.319829523563385,0.22068053483963013
archives,0.16531193256378174,0.21038533747196198,0.19192597270011902,0.18846239149570465,0.19894465804100037,0.2633441984653473,0.19350644946098328,0.22798994183540344,0.12245099991559982,0.24684664607048035
of,0.2480744868516922,0.2513895630836487,0.38583824038505554,0.2800094783306122,0.3802283704280853,0.17081943154335022,1.0,0.733189046382904,0.21383242309093475,0.1826142966747284
other,0.3591516315937042,0.31707024574279785,0.9999999403953552,0.42453643679618835,0.559082567691803,0.21267762780189514,0.38583824038505554,0.44152235984802246,0.2846641540527344,0.24682199954986572
countries,0.22695748507976532,0.2888847887516022,0.42453643679618835,0.9999999403953552,0.3603367507457733,0.2818300426006317,0.2800094783306122,0.33290645480155945,0.16571639478206635,0.15128466486930847
who,0.4070430099964142,0.34038686752319336,0.3612329661846161,0.3002627491950989,0.39246654510498047,0.18713273108005524,0.2827862501144409,0.3733934462070465,0.2095358669757843,0.26220351457595825
bought,0.09772953391075134,0.25327521562576294,0.18991942703723907,0.22680413722991943,0.20176640152931213,0.3187101483345032,0.1588076800107956,0.2111053764820099,0.14879070222377777,0.09624434262514114
prints,0.19542020559310913,0.2071412056684494,0.27397415041923523,0.17657247185707092,0.1817108690738678,0.40193790197372437,0.19528880715370178,0.2235361486673355,0.2595939636230469,0.1650606393814087
for,0.3308170735836029,0.318512886762619,0.3273986279964447,0.299202024936676,0.41175219416618347,0.1877291053533554,0.4185989499092102,0.4739971458911896,0.3141973614692688,0.264628142118454
broadcast,0.17885947227478027,0.17054221034049988,0.1580214649438858,0.23805029690265656,0.1174817755818367,0.23940637707710266,0.20155203342437744,0.2713715434074402,0.43468156456947327,0.15760008990764618
",",0.22659391164779663,0.3015086054801941,0.4446498453617096,0.2966555655002594,0.3541618287563324,0.24248404800891876,0.4946078956127167,0.4933079481124878,0.31928569078445435,0.31091248989105225
or,0.3378981947898865,0.28211739659309387,0.5325124859809875,0.33534011244773865,0.46389055252075195,0.1812519133090973,0.3792596757411957,0.4174870550632477,0.2248045802116394,0.32389625906944275
by,0.34370526671409607,0.18574509024620056,0.3321913778781891,0.2241220921278,0.3359639644622803,0.21902962028980255,0.3646814823150635,0.4408751428127289,0.2779667377471924,0.17966607213020325
private,0.08935344964265823,0.1676381528377533,0.2100534588098526,0.241952583193779,0.1496797353029251,0.12842929363250732,0.18706899881362915,0.18291357159614563,0.08201774954795837,0.14389030635356903
individuals,0.32629096508026123,0.18585044145584106,0.40354102849960327,0.36480799317359924,0.4619733393192291,0.23283721506595612,0.27365922927856445,0.3022412955760956,0.19179430603981018,0.20243582129478455
who,0.4070430099964142,0.34038686752319336,0.3612329661846161,0.3002627491950989,0.39246654510498047,0.18713273108005524,0.2827862501144409,0.3733934462070465,0.2095358669757843,0.26220351457595825
acquired,0.11872366070747375,0.13529880344867706,0.19088530540466309,0.1758137196302414,0.1963210105895996,0.20030204951763153,0.20385384559631348,0.22202405333518982,0.12544946372509003,0.09366346150636673
them,0.5142028331756592,0.44189682602882385,0.5832898020744324,0.35276833176612854,0.5357621312141418,0.2986483573913574,0.34503093361854553,0.4788833558559418,0.26552045345306396,0.35435691475868225
by,0.34370526671409607,0.18574509024620056,0.3321913778781891,0.2241220921278,0.3359639644622803,0.21902962028980255,0.3646814823150635,0.4408751428127289,0.2779667377471924,0.17966607213020325
various,0.3173779249191284,0.19538888335227966,0.5197291374206543,0.3272593021392822,0.3855627775192261,0.19216085970401764,0.3196488320827484,0.3235042691230774,0.2917119562625885,0.12823495268821716
means,0.27608850598335266,0.16748420894145966,0.2498726099729538,0.310310423374176,0.3350207805633545,0.18080194294452667,0.29942914843559265,0.32225894927978516,0.17148660123348236,0.21233566105365753
.,0.3287222981452942,0.35288307070732117,0.41511186957359314,0.27938392758369446,0.41614407300949097,0.24854950606822968,0.5352458953857422,0.5934505462646484,0.3016606271266937,0.4130953550338745
