,why,do,the,island,archipelagos,comprise,a,smaller,number,of,electors,?
the,0.30742117762565613,0.30239659547805786,1.0,0.2837921977043152,0.2971819341182709,0.30294761061668396,0.5829201340675354,0.3588939607143402,0.35145696997642517,0.733189046382904,0.25203925371170044,0.22068053483963013
island,0.1358938217163086,0.17919838428497314,0.2837921977043152,1.0000001192092896,0.5844554901123047,0.19377677142620087,0.2505504786968231,0.1864350438117981,0.13937516510486603,0.24887794256210327,0.17638199031352997,0.0887429490685463
archipelagos,0.1863110363483429,0.20803293585777283,0.2971819341182709,0.5844554901123047,1.0,0.2911781966686249,0.22549158334732056,0.23948323726654053,0.22882306575775146,0.30860787630081177,0.18866291642189026,0.13594458997249603
of,0.28464117646217346,0.26150479912757874,0.733189046382904,0.24887794256210327,0.30860787630081177,0.37900012731552124,0.5052502155303955,0.30439993739128113,0.2778518795967102,1.0,0.3100139796733856,0.1826142966747284
orkney,0.1709495633840561,0.14337868988513947,0.22511912882328033,0.41325125098228455,0.454689085483551,0.23555316030979156,0.18075275421142578,0.17416095733642578,0.154896080493927,0.2625340521335602,0.17394322156906128,0.09430721402168274
",",0.2827242314815521,0.3283645510673523,0.4933079481124878,0.2801448106765747,0.2568475008010864,0.24136890470981598,0.427140474319458,0.24995659291744232,0.2535701394081116,0.4946078956127167,0.21254508197307587,0.31091248989105225
shetland,0.18951058387756348,0.10981310158967972,0.2004086673259735,0.4186331629753113,0.5130451917648315,0.1973743736743927,0.1440514326095581,0.2583996653556824,0.13276642560958862,0.25319623947143555,0.16587795317173004,0.11575647443532944
and,0.27806392312049866,0.276123583316803,0.5171257257461548,0.25724759697914124,0.22259603440761566,0.24621130526065826,0.3739250600337982,0.3409501612186432,0.28545793890953064,0.5116966962814331,0.20594942569732666,0.20544172823429108
the,0.30742117762565613,0.30239659547805786,1.0,0.2837921977043152,0.2971819341182709,0.30294761061668396,0.5829201340675354,0.3588939607143402,0.35145696997642517,0.733189046382904,0.25203925371170044,0.22068053483963013
western,0.10176598280668259,0.05893397331237793,0.37920868396759033,0.27411848306655884,0.2749353051185608,0.23253072798252106,0.21111781895160675,0.2292640060186386,0.12987546622753143,0.32974064350128174,0.20262779295444489,0.17439141869544983
isles,0.10512416809797287,0.0970991775393486,0.25618767738342285,0.47059008479118347,0.4624767303466797,0.261086106300354,0.17816804349422455,0.20476919412612915,0.08891595155000687,0.2235337346792221,0.20881010591983795,0.12991288304328918
comprise,0.0826217532157898,0.14939749240875244,0.30294761061668396,0.19377677142620087,0.2911781966686249,1.0000001192092896,0.25452208518981934,0.31187814474105835,0.2541370093822479,0.37900012731552124,0.1700422763824463,0.056415483355522156
a,0.2667238116264343,0.26237669587135315,0.5829201340675354,0.2505504786968231,0.22549158334732056,0.25452208518981934,1.0,0.26141878962516785,0.2992287278175354,0.5052502155303955,0.17672351002693176,0.23916715383529663
much,0.4051775634288788,0.312346875667572,0.35023224353790283,0.14583943784236908,0.20401060581207275,0.12304354459047318,0.2958075702190399,0.4065636396408081,0.21815651655197144,0.2671096920967102,0.16676026582717896,0.23442231118679047
smaller,0.20204110443592072,0.21029867231845856,0.3588939607143402,0.1864350438117981,0.23948323726654053,0.31187814474105835,0.26141878962516785,1.0000001192092896,0.2625497281551361,0.30439993739128113,0.1994169056415558,0.17881669104099274
number,0.22887302935123444,0.21539703011512756,0.35145696997642517,0.13937516510486603,0.22882306575775146,0.2541370093822479,0.2992287278175354,0.2625497281551361,1.0,0.2778518795967102,0.2256544530391693,0.19256845116615295
