,there,were,many,chinese,with,what,unexpected,status,?
the,0.47025805711746216,0.3906462490558624,0.4335206151008606,0.2785343527793884,0.4223487675189972,0.42745697498321533,0.24451082944869995,0.23601171374320984,0.22068053483963013
historian,0.14013808965682983,0.1882687658071518,0.2182922214269638,0.2847811281681061,0.0884474515914917,0.21019703149795532,0.19284182786941528,0.15179243683815002,0.14715451002120972
frederick,0.14093439280986786,0.24533021450042725,0.12648706138134003,0.07141705602407455,0.1661866009235382,0.21608632802963257,0.12415821850299835,0.14362432062625885,0.16359178721904755
w.,0.015709755942225456,-0.019313666969537735,-0.04898321256041527,-0.06373243033885956,0.029718251898884773,-0.0846915990114212,-0.020012032240629196,-0.006441737990826368,-0.07353907823562622
mote,0.23500965535640717,0.2555443346500397,0.26957419514656067,0.18092644214630127,0.16485001146793365,0.273597776889801,0.18521925806999207,0.1629789173603058,0.23141184449195862
wrote,0.27538132667541504,0.3381096124649048,0.283401757478714,0.1253928691148758,0.18946580588817596,0.2664989233016968,0.19277815520763397,0.03554448485374451,0.19322504103183746
that,0.6006520986557007,0.35517072677612305,0.5391656160354614,0.21811583638191223,0.4154358208179474,0.6297725439071655,0.34081077575683594,0.2510426938533783,0.32716336846351624
the,0.47025805711746216,0.3906462490558624,0.4335206151008606,0.2785343527793884,0.4223487675189972,0.42745697498321533,0.24451082944869995,0.23601171374320984,0.22068053483963013
usage,0.23188795149326324,0.12525568902492523,0.24674084782600403,0.2188180685043335,0.200782909989357,0.27315184473991394,0.24613386392593384,0.1795095056295395,0.20954200625419617
of,0.44397735595703125,0.34038281440734863,0.37253960967063904,0.24275560677051544,0.41827285289764404,0.33290785551071167,0.22868290543556213,0.20139996707439423,0.1826142966747284
the,0.47025805711746216,0.3906462490558624,0.4335206151008606,0.2785343527793884,0.4223487675189972,0.42745697498321533,0.24451082944869995,0.23601171374320984,0.22068053483963013
term,0.18960846960544586,0.12587958574295044,0.22119450569152832,0.1647641509771347,0.18053050339221954,0.25282326340675354,0.23655273020267487,0.10329493135213852,0.1901002675294876
``,0.0756821483373642,0.006090171169489622,0.012824942357838154,0.08159855753183365,0.08974023163318634,0.008517155423760414,0.06125282868742943,0.03250358626246452,0.0685480609536171
social,0.17675381898880005,0.18136808276176453,0.2721116840839386,0.16334404051303864,0.20528239011764526,0.22217629849910736,0.2112722098827362,0.24450013041496277,0.1615191102027893
classes,0.22966980934143066,0.248728409409523,0.2907905578613281,0.19662074744701385,0.19796571135520935,0.20746955275535583,0.12009839713573456,0.21925225853919983,0.14397528767585754
'',0.03646579384803772,0.007215402089059353,-0.016843097284436226,0.01746375672519207,0.07907696813344955,0.08143015950918198,0.02559087425470352,-0.040966056287288666,0.018684765323996544
for,0.3728419542312622,0.33592689037323,0.40972793102264404,0.20530261099338531,0.39140474796295166,0.3017193675041199,0.2355942726135254,0.18810321390628815,0.264628142118454
this,0.47775381803512573,0.25469228625297546,0.43532639741897583,0.21244050562381744,0.36358317732810974,0.5489566326141357,0.32874318957328796,0.2951132357120514,0.3155723512172699
system,0.19495093822479248,0.1800099015235901,0.2631138563156128,0.2205471247434616,0.14296101033687592,0.23557309806346893,0.1367052048444748,0.2480931580066681,0.15556083619594574
was,0.24909798800945282,0.590133786201477,0.260356068611145,0.21259073913097382,0.27411898970603943,0.22111038863658905,0.175581693649292,0.18093566596508026,0.18412111699581146
