,what,aid,is,available,to,underprivileged,students,seeking,to,attend,a,private,university,?
the,0.42745697498321533,0.21952909231185913,0.5823672413825989,0.26723232865333557,0.535392165184021,0.27323421835899353,0.25268980860710144,0.27082350850105286,0.535392165184021,0.23206810653209686,0.5829201340675354,0.18291357159614563,0.263973206281662,0.22068053483963013
private,0.16778090596199036,0.2063334733247757,0.1420905888080597,0.2584626078605652,0.18892748653888702,0.34737417101860046,0.35454505681991577,0.22003120183944702,0.18892748653888702,0.2815968096256256,0.20346391201019287,1.0,0.33786600828170776,0.14389030635356903
education,0.19940856099128723,0.23261067271232605,0.18778188526630402,0.1610902100801468,0.2626708149909973,0.2589898109436035,0.5498206615447998,0.2512337267398834,0.2626708149909973,0.42204952239990234,0.21779850125312805,0.34071704745292664,0.503289520740509,0.18067774176597595
student,0.20548318326473236,0.1649511307477951,0.18911804258823395,0.09577571600675583,0.21220189332962036,0.2429964542388916,0.7746244072914124,0.17809034883975983,0.21220189332962036,0.40515321493148804,0.3207114636898041,0.3240567743778229,0.46536099910736084,0.13282090425491333
financial,0.1900392472743988,0.33156654238700867,0.1937110424041748,0.22125805914402008,0.27715611457824707,0.36429181694984436,0.2152647078037262,0.26237714290618896,0.27715611457824707,0.2194334715604782,0.2513774335384369,0.26591238379478455,0.22760559618473053,0.06444920599460602
assistance,0.21387380361557007,0.49666354060173035,0.09867464005947113,0.20831067860126495,0.30718302726745605,0.35004594922065735,0.2888839542865753,0.35077425837516785,0.30718302726745605,0.23278453946113586,0.22738111019134521,0.201083704829216,0.21822020411491394,0.14602699875831604
is,0.28837618231773376,0.10512593388557434,1.0,0.20822511613368988,0.42745086550712585,0.2136673927307129,0.2124544233083725,0.19011691212654114,0.42745086550712585,0.15351234376430511,0.658733606338501,0.1420905888080597,0.20346471667289734,0.22961433231830597
made,0.23419176042079926,0.16716445982456207,0.29543453454971313,0.29420849680900574,0.3377571105957031,0.19772498309612274,0.13892392814159393,0.14801546931266785,0.3377571105957031,0.11763296276330948,0.3180864453315735,0.195161372423172,0.143972709774971,0.17218779027462006
available,0.22032985091209412,0.23969674110412598,0.20822511613368988,1.0000001192092896,0.2394571453332901,0.29402226209640503,0.185553640127182,0.21509942412376404,0.2394571453332901,0.15171261131763458,0.19077399373054504,0.2584626078605652,0.15907880663871765,0.2501629889011383
to,0.455847829580307,0.2690417766571045,0.42745086550712585,0.2394571453332901,1.0,0.32416561245918274,0.2905822694301605,0.3810454308986664,1.0,0.3481958508491516,0.45503583550453186,0.18892748653888702,0.20192374289035797,0.29463258385658264
underprivileged,0.3557085692882538,0.2705961763858795,0.2136673927307129,0.29402226209640503,0.32416561245918274,1.0,0.25571003556251526,0.4034722149372101,0.32416561245918274,0.22975918650627136,0.29625362157821655,0.34737417101860046,0.13433636724948883,0.3116796016693115
",",0.3087472915649414,0.1953202486038208,0.4691906273365021,0.2614012062549591,0.44245919585227966,0.2723269760608673,0.26501646637916565,0.25406455993652344,0.44245919585227966,0.24214935302734375,0.427140474319458,0.1899166703224182,0.3017033040523529,0.31091248989105225
but,0.5029441118240356,0.21321524679660797,0.4106791317462921,0.2779572904109955,0.5542377829551697,0.3788479268550873,0.24682527780532837,0.34689861536026,0.5542377829551697,0.27506303787231445,0.44750767946243286,0.21809467673301697,0.18116535246372223,0.27921953797340393
deserving,0.3822925090789795,0.23629730939865112,0.2236301302909851,0.23732297122478485,0.3391253650188446,0.42143186926841736,0.2457537055015564,0.37805214524269104,0.3391253650188446,0.2836749255657196,0.27959710359573364,0.27936848998069763,0.12935568392276764,0.3707028925418854
